setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Misery Business,6SpLc7EXZIPpy0sVko0aoU,0.517,0.906,1,-3.677,1,0.0735,0.00272,9.26e-06,0.113,0.731,172.977
2,"This Ain't A Scene, It's An Arms Race",1oagRT7LfpVlNJN6FSZDGp,0.435,0.887,9,-4.07,1,0.0636,0.000747,0.0,0.0327,0.408,199.935
3,Jamie All Over,05qCCJQJiOwvPQBb7akf1R,0.426,0.868,1,-3.702,1,0.047,6.54e-05,0.0,0.0723,0.402,149.042
4,That's What You Get,1JdKrFyoU05abww0Zv0ayQ,0.528,0.831,8,-3.607,1,0.0429,9.43e-05,0.0,0.141,0.632,131.094
5,The Middle,6GG73Jik4jUlQCkKg9JuGO,0.643,0.849,2,-5.428,1,0.0526,0.0371,0.0,0.058,0.903,162.152
6,MakeDamnSure,6fTgbkBiMITtHUmik95ClX,0.552,0.836,6,-5.608,1,0.0453,0.00942,0.0,0.372,0.432,140.496
7,I'm Not Okay (I Promise),7lRlq939cDG4SzWOF4VAnd,0.21,0.94,9,-3.427,1,0.123,0.00602,0.0,0.269,0.255,179.722
8,My Own Worst Enemy,33iv3wnGMrrDugd7GBso1z,0.494,0.946,4,-2.757,1,0.0637,0.00129,0.0,0.398,0.741,103.408
9,Cute Without The 'E' (Cut From The Team) - Remastered,6OyKBwLzq4h15XmxeWf5n4,0.398,0.89,1,-2.248,0,0.0473,0.0252,0.0,0.0472,0.572,95.095
10,"Sugar, We're Goin Down",2TfSHkHiFO4gRztVIkggkE,0.494,0.842,7,-4.784,1,0.0843,0.00579,0.0,0.122,0.574,162.011
11,Face Down,4wzjNqjKAKDU82e8uMhzmr,0.545,0.932,7,-2.189,0,0.0399,0.000665,0.0,0.127,0.464,92.956
12,Teenagers,7j31rVgGX9Q2blT92VBEA0,0.463,0.857,4,-3.063,1,0.0632,0.0506,0.0,0.184,0.856,111.647
13,I Write Sins Not Tragedies,4bPQs0PHn4xbipzdPfn6du,0.569,0.83,9,-4.106,0,0.14,0.0807,0.0,0.114,0.609,170.094
14,The Kill,0lP4HYLmvowOKdsQ7CVkuq,0.179,0.912,4,-3.881,0,0.0791,0.0014,0.000294,0.582,0.289,182.99
15,Fat Lip,4KacUpvbA3Mfo05gttTjhN,0.402,0.914,9,-5.215,1,0.142,0.000579,0.0,0.065,0.626,196.505
16,"Swing, Swing",003FTlCpBTM4eSqYSWPv4H,0.553,0.717,7,-5.857,1,0.0318,6.48e-05,0.128,0.0385,0.318,127.947
17,Ocean Avenue,23oxJmDc1V9uLUSmN2LIvx,0.486,0.904,6,-3.751,0,0.0638,3.43e-05,2.83e-05,0.0947,0.786,173.734
18,The Great Escape,6GIrIt2M39wEGwjCQjGChX,0.423,0.94,1,-4.012,0,0.0635,0.00166,0.0,0.178,0.505,149.934
19,The Taste of Ink,5jZ1Z2GFTf2gwmFc3qiUxs,0.541,0.904,7,-3.001,1,0.0435,0.00143,0.0,0.193,0.541,98.122
20,Thnks fr th Mmrs,3Zwu2K0Qa5sT6teCCHPShP,0.459,0.891,10,-5.057,0,0.0623,0.00511,0.0,0.106,0.588,154.837
21,Tell Me I'm A Wreck,203zTFd1zbfG0fiOG9OREv,0.578,0.76,5,-2.307,1,0.0329,0.00188,0.0,0.142,0.7,127.904
22,Sweetness,429IbFR4yp2J81CeTwF5iY,0.487,0.898,5,-4.436,1,0.038,0.00305,0.0,0.26,0.597,135.331
23,First Date,1fJFuvU2ldmeAm5nFIHcPP,0.579,0.928,0,-4.344,1,0.0411,0.000715,0.0,0.18,0.882,95.594
24,Ohio Is For Lovers,23DHUWJ7iEieNPMPKvjzBV,0.566,0.835,8,-6.87,0,0.0742,0.0356,0.0,0.241,0.606,170.066
25,The Anthem,0BRHnOFm6sjxN1i9LJrUDu,0.494,0.939,1,-3.127,1,0.126,0.00666,0.0,0.139,0.893,177.751
26,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,5eB7w8UZJKjL5XmnC6Pctg,0.66,0.8,8,-4.644,1,0.0992,0.106,0.0,0.154,0.476,125.966
27,Dirty Little Secret,5ZdzNVOmCSp5HFLk0EgvJS,0.469,0.955,10,-4.253,1,0.0432,0.000343,1.35e-06,0.548,0.462,143.853
28,If It Means A Lot To You,3rEwGRmPVVudVjqdgv0tRR,0.584,0.536,10,-8.158,1,0.0279,0.112,0.0,0.456,0.441,127.001
29,"Dance, Dance",5Xbx9mAWoTiLbMOMQofoE6,0.622,0.957,11,-3.176,0,0.131,0.00485,0.0,0.0863,0.517,114.471
30,Famous Last Words,2d6m2F4I7wCuAKtSsdhh83,0.467,0.883,2,-3.679,0,0.106,0.000321,0.000152,0.125,0.309,122.252
31,Memory,0ChpoNjXfJPjMvCIN6so6J,0.449,0.864,1,-3.892,1,0.0352,2.04e-05,0.0,0.108,0.713,167.154
32,All That I've Got,6IxQ0PdozaZKch1m8tGCwb,0.335,0.858,7,-4.565,1,0.0532,0.00289,0.0,0.148,0.451,177.981
33,Everything Is Alright,6xyiHZgrmXw7sMyYXbXjPV,0.435,0.95,8,-3.869,1,0.106,0.000494,0.0,0.317,0.457,160.987
34,Can't Be Saved,63k8KXOgawK2cNtvm2ZW8y,0.331,0.976,2,-3.242,1,0.113,9.11e-06,0.000117,0.319,0.426,170.059
35,I Miss You,1oTo3ijRbaDAtrjJrGAPSw,0.664,0.781,11,-6.547,1,0.0339,0.00103,5.33e-06,0.0867,0.593,110.0
36,Until the Day I Die,0DKNNR9iDjwfCEpMiFXMJq,0.597,0.931,11,-4.591,0,0.0984,0.127,0.0,0.0504,0.534,92.003
