setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,It's A Killa,2cAYjs1WvosMFadzTDmmzD,0.78,0.914,7,-5.283,1,0.0435,0.00356,0.00701,0.151,0.81,125.986
2,Silenced,2sUkEAXJBIvh9EvuuOOKuW,0.594,0.92,10,-6.399,0,0.0509,0.035,0.0358,0.22,0.0356,121.97
3,Sinner,3LqnR4dZYdZoaVivSIidKH,0.721,0.781,8,-6.924,1,0.0397,0.0461,0.087,0.138,0.734,126.975
4,Ferrari,4zN21mbAuaD0WqtmaTZZeP,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004
5,Sete,5B4gUqNKYgU38ULSWP5Bzj,0.736,0.827,6,-3.902,0,0.0643,0.0199,0.00828,0.351,0.814,125.008
6,Be My One,2KN5wY5R4gXbka8wB2kXh8,0.666,0.906,0,-4.938,1,0.0446,0.0196,0.000346,0.0947,0.659,120.94
7,Won't Forget You - Edit,3I10tZ5MgEMo4WryCNJkZQ,0.656,0.655,7,-6.766,0,0.024,0.02,0.00816,0.103,0.555,127.001
8,La Danza,2FEUloDXMvRnyfLcsrCfkw,0.797,0.88,6,-5.722,0,0.0442,0.00298,0.574,0.183,0.357,125.996
9,Carnaval de Paris,5b58AS0u6Xr4vaxWnY2C1n,0.76,0.558,0,-5.495,0,0.0563,0.00107,0.905,0.292,0.0717,127.026
10,About You,4IoWprg6W4DxHjxm1Pi4KT,0.566,0.868,3,-6.532,0,0.0487,0.00666,0.918,0.0669,0.611,125.984
11,400,4tvlhGkTprgA9dY8gfQISz,0.834,0.792,4,-4.67,0,0.165,0.0348,0.00112,0.124,0.0555,124.965
12,Back In The Dance,02K93YKyLxK8xCY2C4ePtI,0.722,0.865,8,-8.386,1,0.0356,0.0169,0.725,0.118,0.709,127.988
13,Check Out,2n6qz4opcJlHsEpI8030YM,0.814,0.675,10,-6.761,0,0.042,0.00577,0.0818,0.0956,0.776,125.0
14,You Give Me A Feeling,1YKp8PG1DEQJ0hLc2CJGO8,0.761,0.867,2,-6.168,1,0.0499,0.259,0.615,0.0689,0.679,126.03
15,California Dreamin' (feat. High Jinx),4ASOMWcJUrwEpjJy4GEijz,0.685,0.911,9,-4.977,1,0.144,0.00552,0.0247,0.285,0.351,128.02
16,Jack Machine,0I2o7qTj2YoYq5JwVKm8R2,0.805,0.958,1,-7.336,1,0.0474,0.0163,0.489,0.039,0.729,127.0
17,Acid in My Blood,3b3TFgnFPhUSk8lvHdO6lX,0.8,0.759,1,-6.938,1,0.0469,0.00112,0.332,0.0845,0.478,126.006
18,We Don’t Need - Club Edit,3hp1sx2wqHipS9fanoPrzV,0.729,0.811,0,-6.829,1,0.0307,0.00473,0.0354,0.644,0.399,124.997
19,Human (feat. Echoes),4G4patpYxsF6ovHZOX9wgR,0.544,0.856,5,-6.84,0,0.0314,0.00162,0.818,0.0763,0.233,125.992
20,Love Vibration,5B2Fil0dJNfob1W8gpL5E4,0.773,0.903,11,-5.279,1,0.0417,0.00171,0.617,0.0476,0.762,123.926
21,We Can Come Together,0YG1fyqSZpuIfNlkOeN3eD,0.685,0.922,10,-7.416,1,0.0364,0.00563,0.00149,0.0904,0.422,124.988
22,Drinkee - Vintage Culture & John Summit Remix,68raS6F0ad2Iilql3yYeCt,0.741,0.726,11,-6.404,0,0.0462,0.021,0.776,0.0776,0.37,124.009
23,Back Tomorrow,4q2azQakSVVyqljRiCZtu3,0.689,0.791,8,-6.633,1,0.0478,0.0595,0.0,0.51,0.543,125.012
24,Can't Stop Thinking About,1xLQkOUvCKqAlFt974GTfn,0.803,0.791,4,-9.13,1,0.0605,0.00785,0.822,0.111,0.624,126.982
25,Billie (Loving Arms),46E2xeKBLrxS8hJ37Gq35G,0.648,0.775,5,-4.798,1,0.0694,0.0561,0.0,0.444,0.371,128.072
26,Welcome To The People,4O3APpGNhOldqDsPF8IaS5,0.716,0.917,6,-5.091,1,0.0331,0.123,0.396,0.0628,0.751,124.032
27,Just Feels Tight,2cegJfpyiaWXclqj5HRsZG,0.808,0.994,1,-6.326,1,0.071,0.00153,0.874,0.0686,0.719,127.004
28,Garden,77uXlUY5qtAxiN1UCtAcyF,0.664,0.874,4,-5.918,0,0.0378,0.00999,0.256,0.189,0.729,127.971
29,Alive (with Roland Clark),6nGtbklEfeXapvjTbV8kzn,0.68,0.912,11,-8.785,1,0.058,0.0149,0.0316,0.69,0.327,124.994
30,Somebody To Love - Gorgon City Remix,4gJMsAYnnwNBsrhqjLWbWi,0.691,0.849,1,-8.735,0,0.0456,0.0453,0.49,0.106,0.0345,123.978
31,Temptation,5UkoWcFsdWn8NtSAh73Vli,0.808,0.878,9,-5.282,1,0.0948,0.00665,0.0152,0.208,0.624,125.011
32,Do It For Yourself,4znWmau1H1ythOHAUQ44bS,0.66,0.603,2,-9.302,1,0.0412,0.00011,0.865,0.0298,0.191,128.009
33,Wasteland (feat. Little Boots),4DgTU3kxMj4VdDDTFqlIf0,0.913,0.797,6,-5.949,0,0.0771,0.0103,0.0236,0.103,0.727,125.013
34,Middle,7cb1au0v5kAw8fPdCio8Zi,0.737,0.976,11,-5.958,0,0.0561,0.0112,0.43,0.298,0.692,127.009
35,Freedom (You Bring Me),2I0EV5B4RgDQPcSuDGzz2N,0.642,0.958,5,-4.786,0,0.0958,0.000551,0.0127,0.271,0.82,125.035
36,Believer,1Ckah0ICBG4AoAY0x6LbSF,0.638,0.856,1,-5.116,1,0.0382,0.0784,0.022,0.0914,0.36,125.987
37,Better Things,54C72WBiGX5leus7p8y418,0.762,0.642,2,-8.704,0,0.254,0.16,4.32e-06,0.11,0.337,122.967
38,079,1ULaCASWLNrzg76Jt3VDWd,0.806,0.7,1,-7.253,1,0.339,0.0104,0.0389,0.12,0.594,125.061
39,Sextacy,7Fbx8mVJy36dsVq9IYTRXu,0.809,0.953,1,-4.793,0,0.048,0.00439,0.312,0.312,0.873,125.008
40,Dancing,7xbBNB9bivza5vrYfnZJYg,0.74,0.877,1,-8.357,1,0.0497,0.372,0.544,0.0886,0.377,125.033
41,Lauren (I Can't Stay Forever),33tYADyL2aZctrvR59K1bQ,0.702,0.912,9,-8.687,0,0.0652,0.0773,0.309,0.0926,0.957,128.018
42,My Humps,3BbD2sqk7P7Rc9V0KF9o4s,0.862,0.79,4,-8.412,0,0.0672,0.0418,0.00615,0.0746,0.587,129.005
43,Nonchalant,2TETqexWXvMdhbYy7kJrZa,0.833,0.895,9,-3.861,0,0.126,0.0055,0.132,0.183,0.78,123.991
44,24,1pvvg93oaSTKKCUzeEWYwo,0.667,0.98,5,-4.07,0,0.0603,0.00321,0.706,0.113,0.86,125.995
45,Dreams,0yiDgx6WOtlJCVPQ5Q7Ob3,0.671,0.897,6,-5.232,0,0.0298,0.0553,0.272,0.148,0.493,123.985
46,Lost Myself Again,1uRkLJG9sdMFIB8Hb18uGx,0.803,0.823,2,-5.968,1,0.0598,0.00596,0.0012,0.336,0.769,124.998
47,Liquor Store,3aLsMcZZTLgQqjpWgeWMMM,0.803,0.932,0,-7.123,1,0.0912,0.0225,0.581,0.078,0.726,124.963
48,Nightjar (feat. SHELLS),2rNy5Ils7RO6m2E2W83CR5,0.78,0.863,9,-5.425,0,0.0384,0.0686,0.284,0.316,0.735,124.004
49,Your Body,697HW34FLNURvRAbSieICv,0.833,0.744,4,-6.735,0,0.0886,0.168,0.458,0.615,0.917,126.987
50,Do It To It,20on25jryn53hWghthWWW3,0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927
51,In My Arms - Edit,5ukTUKLwsaThljUaV6IVAs,0.693,0.911,10,-10.002,0,0.0539,0.00355,0.577,0.35,0.147,126.327
52,Skywalk,4AHbsdacRagQT4GklwTtON,0.672,0.712,9,-8.198,0,0.0594,0.000587,0.24,0.088,0.0389,124.015
53,Make Me Feel,4vgP9RNzsXEUcW7Ws50VrI,0.767,0.67,2,-9.153,1,0.045,0.0243,0.828,0.117,0.434,126.013
54,Kush,1mcKSOFFc19eci3MVpMLEu,0.759,0.837,7,-4.71,1,0.045,0.00039,0.895,0.0839,0.703,125.041
55,Love Again,6WarP4oMloYg0Z8H8IHeDq,0.679,0.876,0,-4.86,0,0.0512,0.0874,0.0,0.245,0.383,125.985
56,Lights Go Out,18KVIouF8klKE9HdqdpUxd,0.624,0.888,3,-5.909,0,0.0474,0.0975,0.313,0.0899,0.278,126.081
57,Don’t Keep Me Waiting,1aEHWqvtZ1JIBUl1loQBDn,0.731,0.807,7,-6.575,1,0.0432,0.0527,0.00023,0.0737,0.304,126.033
58,My Carousel,65tzGxRAwbrZd2yhHcGgLf,0.563,0.735,6,-6.488,0,0.108,0.0109,2.32e-05,0.0871,0.24,125.076
59,Carry Us,40U8KhwvDcaoBFYV4hKfRn,0.728,0.947,0,-4.22,0,0.0828,0.0177,0.00254,0.0987,0.553,125.874
60,Talamanca - Cristoph Remix,1u2jnokwA7wxow0gZ64Fvh,0.597,0.707,7,-9.176,1,0.0455,0.0013,0.91,0.0858,0.594,125.007
61,Palm Beach Banga,2Q4nScd22kJ70CqQbQqWFD,0.766,0.799,0,-6.37,1,0.116,0.00918,0.00197,0.165,0.645,125.999
62,I’ve Been Missing You,7tRNDdDcUQqrOPHfIIbzGd,0.767,0.748,7,-8.523,1,0.106,0.199,0.000102,0.186,0.443,125.039
63,Like That,0ddvXI226RBn6NXy692GK7,0.718,0.754,3,-7.919,0,0.0374,0.0173,0.0111,0.143,0.198,123.98
64,Disconnected,3MK2rvp7XjarzRKFrPGMOb,0.842,0.811,2,-6.476,1,0.109,0.00579,0.176,0.0702,0.594,125.995
65,My Shadow,6bUC7jA13apX8WIGeUcQYG,0.702,0.901,11,-6.117,0,0.0393,0.0736,0.209,0.0352,0.902,122.982
66,Feel The Vibe,12RAnp0xkdW22UGfgejElE,0.699,0.962,7,-5.848,1,0.0743,0.00105,0.501,0.185,0.531,127.041
67,A Drug From God,4skbQNtyjy8A7mo8oqe2oD,0.714,0.883,9,-4.43,1,0.0625,0.00819,0.843,0.231,0.819,126.016
68,Togetherness,4aXij4j5BNOKKNrxgA6wc6,0.712,0.868,10,-5.618,1,0.08,0.00355,0.0117,0.035,0.779,126.018
69,Acrobatic,2ZDssPiWL5pxRB03Ll9WWy,0.735,0.949,9,-3.734,1,0.084,0.00212,0.561,0.347,0.557,125.03
70,My Own,4paaxnKFJoHfL319b7HMTP,0.843,0.951,0,-7.296,1,0.142,0.175,0.00291,0.242,0.387,126.03
71,Rollercoaster,636kRUoh1D1ZJifHip4RtS,0.732,0.96,7,-7.606,1,0.0485,3.9e-05,0.826,0.333,0.424,129.984
72,Basement,0qAGuRY2EQLbK5TM8ydzrn,0.639,0.954,9,-3.504,0,0.0379,0.155,0.0144,0.186,0.807,125.0
73,Crystallise,7jJfACKhaxK3kF3bda6AVS,0.72,0.755,8,-8.032,0,0.0369,0.0234,0.523,0.0782,0.293,128.007
74,No Diggity,74svMcorgPABViSTZka4yw,0.809,0.777,6,-8.677,0,0.0498,0.016,0.83,0.0721,0.436,125.034
