setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Aguardiente,7lFpX8kcAFe1Jv9MmKIdMV,0.521,0.515,4,-4.945,0,0.0313,0.366,1.76e-06,0.277,0.533,173.924
2,Si Te Pudiera Mentir,3p6eieHX6oEOzJStPtEsLu,0.764,0.585,2,-7.796,1,0.0305,0.348,0.00294,0.369,0.89,90.013
3,Se Acabo - En Vivo,0lyZyn18awzOJuVM7qzCmd,0.593,0.364,2,-7.242,1,0.175,0.515,0.0,0.348,0.652,83.133
4,Chale,74WROFXsox6wkeUrEK2DS6,0.551,0.436,8,-8.029,1,0.0428,0.395,0.0,0.0719,0.862,188.651
5,JGL,5kpxVMDvYGRmNqawPqDTYR,0.702,0.586,8,-5.317,1,0.118,0.55,0.0,0.27,0.965,112.852
6,Se Fue La Pantera (En Vivo),6Yard5LK4aXEn0kBKtHSob,0.557,0.66,3,-4.467,1,0.0768,0.118,0.0,0.085,0.907,128.179
7,El Ruddy,0vNtFN67TIMgDokyyuUUwA,0.736,0.593,7,-9.364,1,0.184,0.117,2.5e-06,0.189,0.785,114.196
8,Ya Acabo,4H3t8C59tXjKf1R2iKtc5M,0.673,0.326,0,-7.481,1,0.0348,0.696,3.73e-06,0.103,0.672,133.309
9,La Sinvergüenza,1xO7tp4J5Wj0NeKrzIpd1V,0.704,0.482,9,-5.352,1,0.0349,0.211,0.0,0.3,0.604,102.01
10,Hay Que Hacer Dinero,4eqDVqsli1ILflQfB5MoeP,0.726,0.516,9,-6.532,0,0.0281,0.551,0.0,0.126,0.91,103.511
11,A La Antigüita,798ahLNEcoFER7Vywg1FMT,0.651,0.726,8,-4.144,1,0.0539,0.382,0.0,0.0535,0.963,179.99
12,Y Si Se Quiere Ir,6b68vfUlXy2i2dO79z3h5W,0.777,0.467,3,-4.605,1,0.0559,0.552,0.0,0.0403,0.969,145.065
13,Música Romántica,0gOwkN1piWLMINfj97SogV,0.677,0.455,8,-7.123,1,0.0708,0.231,0.0,0.101,0.817,159.941
14,Es Que Me Gustas - En Vivo,6nyl8kugrRsjzvpFhvw4hE,0.627,0.339,8,-5.065,1,0.0342,0.541,0.0,0.147,0.657,81.426
15,Mientras Me Voy,184ZZoYZ0dyt0lzevDOlKS,0.746,0.69,10,-3.51,1,0.0457,0.765,0.0,0.123,0.912,127.469
16,Tú,1nLs8r6K4YN0avBwUmmTnr,0.669,0.476,9,-6.635,0,0.0395,0.382,9.85e-06,0.21,0.905,143.826
17,Fuerte No Soy,7A07Yu1dRND3RKDzbhKrDs,0.659,0.433,11,-11.015,0,0.0362,0.117,0.000427,0.0829,0.455,125.556
18,En Tu Perra Vida,0ldT3gl7aGNzrJyd4b1CA4,0.546,0.438,5,-4.748,1,0.0669,0.353,0.0,0.261,0.568,112.136
19,Ya No Somos Ni Seremos,0UXlu64mDLvfzR8IXMz06J,0.588,0.452,7,-4.75,1,0.0268,0.437,0.0,0.344,0.734,139.953
20,Botella Tras Botella,2MnLkFqY9Rpg9s3Zv6ZJdK,0.727,0.546,0,-4.572,1,0.0437,0.656,0.0,0.122,0.69,106.891
21,La Casita,0vtYnEw1eJwW26BrBnOAYJ,0.832,0.525,10,-6.806,1,0.0412,0.277,1.77e-05,0.142,0.967,112.479
22,Me Vale Madre,2bgzjBJcfn0r0HkJ0N2Lzx,0.72,0.419,5,-5.247,1,0.0589,0.742,0.0,0.0997,0.779,131.278
23,El Doctor,2g12ZAzSIybDe6QC3w9DYl,0.864,0.765,8,-3.604,1,0.11,0.432,0.0,0.386,0.724,104.998
24,2 Veces,4cV6ld7uIs906zOwNscoBM,0.525,0.505,7,-4.199,1,0.032,0.538,0.0,0.101,0.79,179.968
25,Somos Los Que Somos - En Vivo,1Z04XN4pH2b8JfdiaIEkl5,0.624,0.427,10,-7.109,1,0.0388,0.285,0.0,0.967,0.936,137.091
26,En Esta Vida No Se Pudo,4ZRWZSgXGuMe9kILi6hzKL,0.625,0.386,5,-4.801,1,0.0416,0.473,0.0,0.109,0.591,134.546
27,El Tóxico,7E9GeFGfjXw9LAI4ay6rsw,0.626,0.503,10,-5.087,1,0.141,0.407,0.0,0.234,0.821,72.985
28,Híbrido,5iBBLeUl4UfynWgcJWVGsU,0.65,0.542,6,-6.016,0,0.0434,0.61,0.0,0.15,0.972,80.877
29,Yo Ya No Vuelvo Contigo - En Vivo,4dKY6JFNvj2yWzENIL1P6s,0.644,0.35,4,-5.924,0,0.0783,0.784,0.0,0.104,0.541,118.206
30,El Amor De Tu Vida,5HpXH64cSBNu26yhw3vK37,0.542,0.489,8,-7.89,1,0.0573,0.378,0.0,0.123,0.674,125.336
31,Solo Un Dia (Ahora Te Amo),51RcAoNIqe0G3284yxT8G0,0.692,0.377,5,-7.128,1,0.0497,0.522,0.0,0.0965,0.939,153.495
32,Belleza De Cantina,4ZplewvZRLFcfBa5uyBbhd,0.755,0.596,9,-7.849,0,0.0402,0.282,0.0,0.0508,0.806,96.487
33,Cuál Adiós,5UktVtaCS3KFmA0xBbFeEW,0.54,0.578,10,-5.678,1,0.0345,0.396,1.61e-06,0.0805,0.893,200.063
34,Ya Supérame (En Vivo),6HIIuuUIEzH1meVdGbMXyf,0.436,0.4,0,-6.521,1,0.11,0.463,0.0,0.76,0.568,75.576
35,El Bélico,50pkO56KXHoH53sVPRSbZ3,0.707,0.567,10,-4.091,1,0.0492,0.597,1.28e-06,0.0668,0.964,116.794
36,Creo en Ti,6HOOykUGBMv3LFsR9gObw5,0.677,0.384,0,-8.773,1,0.028,0.7,0.0,0.0945,0.776,153.116
37,Al Final De Nuestra Historia,6orluAPC6hUu3BVZVuZjOu,0.738,0.497,10,-8.149,1,0.0343,0.486,0.0,0.258,0.94,114.981
38,Me Metí En El Ruedo,7KNSQcLwrl3bNEuV1OVHtv,0.805,0.614,9,-6.845,0,0.137,0.615,0.0,0.0915,0.633,100.035
39,Dile a Tu Orgullo - En Vivo,6OpRwk4F7sD8lcNwQdekpO,0.473,0.512,2,-4.622,1,0.0584,0.417,0.0,0.0579,0.605,84.133
40,Ojos Cerrados,4OVpyR6yhYyVoRj9D7CERz,0.513,0.345,7,-7.579,1,0.0691,0.336,0.0,0.0584,0.68,79.981
41,Tranquilito,2LJRoFOtMGLnSxJqlJuhge,0.858,0.634,0,-4.058,1,0.0286,0.518,0.0,0.236,0.909,110.03
42,Amor Limosnero,4vRYHPaBsfsgpvtgyzKVaB,0.711,0.399,2,-6.909,1,0.0441,0.702,5.42e-06,0.243,0.965,107.795
43,Contigo No Fue,24KGKNglICq4YhNvaZfkA7,0.69,0.703,7,-7.202,1,0.0514,0.0385,0.0,0.109,0.476,131.51
44,Hasta la Miel Amarga (feat. Grupo Firme),3D3W7rDsuJIAtjInwh6Moc,0.573,0.424,8,-5.192,1,0.0388,0.433,0.0,0.104,0.749,135.154
45,Soñador Eterno,3NrfU7FvNF0w6mGcFVnlUj,0.582,0.509,11,-10.193,0,0.0489,0.134,0.0,0.082,0.937,142.965
46,Mi Mayor Anhelo,0bBvuLFzIjrHm9PPyvohIA,0.593,0.557,2,-3.18,0,0.031,0.321,0.000845,0.0932,0.568,149.832
47,El Final de Nuestra Historia,73aNc2V32NpepB8lLhnDjW,0.725,0.447,9,-5.693,1,0.0273,0.716,0.0,0.117,0.768,97.532
48,El Amor No Fue Pa´ Mí - En Vivo,3dkEwOKhFselY2m22Nj2vi,0.546,0.663,8,-6.968,1,0.1,0.176,1.82e-06,0.674,0.934,145.422
49,Fuga Pa Cali 2,5IdyvWCaUa7AgTxMsFj0wB,0.743,0.89,7,-5.451,0,0.0837,0.366,0.0,0.0966,0.809,107.635
50,Que Sea,4yKC4OVtG5Z9nIX98r7SQp,0.781,0.693,0,-3.558,1,0.0308,0.701,4.45e-06,0.156,0.939,97.074
51,Ya Me Enteré,4ggabbjjuHrG06SsYnqvEs,0.657,0.591,10,-3.505,1,0.0297,0.835,0.0,0.248,0.687,132.041
52,Ya Te Supere - En Vivo,788e0doWXCkDlnufoDndcy,0.606,0.404,5,-7.723,1,0.17,0.664,0.0,0.278,0.721,135.406
53,Las Monjitas,2KJkMXZKvvV4jDdu8UM44e,0.52,0.522,9,-8.141,1,0.0866,0.395,0.0,0.0792,0.779,207.505
54,Cabrón y Vago - En Vivo,4nbWX2HzrOEnX4xxvYRCyU,0.547,0.638,8,-2.99,1,0.124,0.697,0.0,0.074,0.876,176.277
55,Te Apuesto - En vivo,7wnO6pBzcWWT8zT4vFx7hM,0.724,0.357,8,-8.197,1,0.0715,0.432,0.0,0.12,0.69,141.159
56,Mi Enemigo El Amor,3V5mrjHNr7VFhcUJ5oh45V,0.592,0.579,4,-5.904,1,0.0498,0.198,0.0,0.141,0.633,120.025
57,Mi Última Caravana,0TLYlmmcovm6qxIjg7aDb3,0.751,0.628,10,-4.968,1,0.0622,0.289,0.0,0.0888,0.818,143.278
58,Soy El Ratón,4NQa7zNbJtY2QvnGpzM8Gz,0.818,0.734,2,-5.644,1,0.036,0.265,0.0,0.119,0.774,103.052
59,Desvelado,2JJSGhPpATm8lXeYjD95fw,0.676,0.618,6,-8.987,0,0.046,0.0361,0.0,0.199,0.899,173.955
