setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Talk Too Much,4djIFfof5TpbSGRZUpsTXq,0.598,0.888,4,-5.119,1,0.0807,0.00947,0.0,0.347,0.482,103.966
2,Motion Sickness,5xo8RrjJ9CVNrtRg2S3B1R,0.651,0.546,1,-9.021,1,0.0357,0.774,0.0437,0.0842,0.623,107.021
3,Somebody Else - Alt Edit,4fnctse2eIRf7dvOhIGO4P,0.658,0.834,0,-5.24,1,0.0631,0.125,6.03e-05,0.138,0.605,101.023
4,Bags,6UFivO2zqqPFPoQYsEMuCc,0.742,0.546,1,-7.694,1,0.0315,0.172,0.38,0.115,0.868,104.996
5,Royals,2dLLR6qlu5UJ5gk0dKz0h3,0.674,0.428,7,-9.504,1,0.122,0.121,0.0,0.132,0.337,84.878
6,Beggin For Thread,4PvD06Pmbm2rHG2JjSlElF,0.597,0.696,5,-6.196,0,0.0278,0.00101,0.0735,0.255,0.397,107.96
7,Brazil,4sNG6zQBmtq7M8aeeKJRMQ,0.687,0.617,4,-5.213,1,0.0287,0.0941,1.27e-05,0.0898,0.665,121.079
8,Greek Tragedy,28C4nmrd7BTu0XbOmaTHZr,0.515,0.869,11,-4.732,1,0.0672,0.00257,2.01e-06,0.21,0.452,93.24
9,Tongue Tied,0GO8y8jQk1PkHzS31d699N,0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96
10,I Wanna Get Better,1RwwmiVtLAtPmxAqKVfwgG,0.456,0.891,9,-7.004,1,0.106,0.00266,7.99e-06,0.281,0.385,190.024
11,Electric Love,2GiJYvgVaD2HtM8GqD9EgQ,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041
12,Cough Syrup,1UqhkbzB1kuFwt2iy4h29Q,0.534,0.721,11,-7.307,0,0.0417,0.0343,6.24e-06,0.115,0.225,128.978
13,Are You Bored Yet? (feat. Clairo),57RA3JGafJm5zRtKJiKPIm,0.682,0.683,8,-6.444,0,0.0287,0.156,2.32e-05,0.273,0.64,120.023
