setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Summer In New York,5kyJ6sznnWACqHbw65p34Q,0.706,0.77,10,-6.224,0,0.0653,0.397,1.84e-05,0.209,0.967,117.075
2,Rise (feat. Tasita D'Mour) - Edit,5TNuPYV2poVvrORn4zt7ey,0.747,0.81,7,-5.487,0,0.0324,0.266,0.132,0.0579,0.796,122.001
3,Drop The Pressure,0QZdbOtajbimysXPJDkU3H,0.699,0.869,8,-5.212,1,0.0374,0.101,0.21,0.0767,0.252,124.003
4,Tell Me Why,0qEW1d0ENwecqiAZTK4Uel,0.791,0.736,11,-6.568,0,0.0381,0.133,0.864,0.0749,0.786,123.998
5,Original Sin,0fp6PDlnCkmdE0F3s0tfr6,0.779,0.727,11,-8.59,0,0.053,0.165,0.0194,0.32,0.455,124.021
6,Party Starter,1Cr4BPvz478KxPohfnLuN0,0.813,0.856,9,-7.303,1,0.0454,0.000969,0.517,0.0481,0.518,130.014
7,Glass,3YWp8LJGYmSqJSLGCYEI7D,0.723,0.801,7,-8.154,0,0.0629,0.00772,0.722,0.106,0.371,127.938
8,Jaguwawa,3BP4lwzKXSJNwiPaffklWE,0.69,0.809,2,-7.737,1,0.0417,0.0178,0.0167,0.133,0.466,120.002
9,Temptation (feat. Poppy Baskcomb),3fvsxmytTns1ApIWBqfANZ,0.744,0.703,3,-8.111,0,0.048,0.0195,0.00449,0.141,0.819,125.023
10,Otherdisco,2XcqzuUxFftszDDr4FQSlZ,0.724,0.928,5,-7.941,1,0.0507,9.29e-05,0.901,0.0847,0.361,122.015
11,La Danza,2FEUloDXMvRnyfLcsrCfkw,0.797,0.88,6,-5.722,0,0.0442,0.00298,0.574,0.183,0.357,125.996
12,Kakee,7AynhVxHy3bgRCVmxDWjIC,0.794,0.64,6,-6.669,0,0.0927,0.000141,0.678,0.335,0.962,145.06
13,State Of Mind (feat. Sarah de Warren),2bo8HF4dpbfJrxD6gaW3BJ,0.746,0.923,0,-5.035,1,0.0424,0.000415,0.254,0.1,0.472,124.989
14,Garden,77uXlUY5qtAxiN1UCtAcyF,0.664,0.874,4,-5.918,0,0.0378,0.00999,0.256,0.189,0.729,127.971
15,Dame Mas,0JZdzytn0hL7Zzr538YEos,0.81,0.733,4,-6.882,0,0.043,7.24e-05,0.852,0.0456,0.349,122.007
16,Sun Came Up,2wf2KMhjoHSZXKVHNBoTMg,0.673,0.625,9,-6.854,0,0.0272,0.0243,0.0219,0.0577,0.386,124.001
17,Feel The Vibe,12RAnp0xkdW22UGfgejElE,0.699,0.962,7,-5.848,1,0.0743,0.00105,0.501,0.185,0.531,127.041
18,Twisted Voice,6eCRmIS436mdOdcUJbglWo,0.815,0.849,11,-8.145,0,0.114,0.000629,0.718,0.625,0.522,123.016
19,Sinner,3LqnR4dZYdZoaVivSIidKH,0.721,0.781,8,-6.924,1,0.0397,0.0461,0.087,0.138,0.734,126.975
20,Sete,5B4gUqNKYgU38ULSWP5Bzj,0.736,0.827,6,-3.902,0,0.0643,0.0199,0.00828,0.351,0.814,125.008
21,The Motto,18asYwWugKjjsihZ0YvRxO,0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953
22,Where Are You Now,3uUuGVFu1V7jTQL60S1r8z,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966
23,My Heart Goes (La Di Da) (feat. Topic),4xMbBESczlHPUO8QeYi56p,0.695,0.781,7,-5.578,0,0.0452,0.0185,3.12e-05,0.295,0.456,124.04
24,OUT OUT (feat. Charli XCX & Saweetie),6Dy1jexKYriXAVG6evyUTJ,0.787,0.833,8,-4.403,1,0.0478,0.018,0.00747,0.0374,0.796,123.97
25,Bad Habits - MEDUZA Remix,12N23tQKmfGcEO0z8ObwtM,0.609,0.8,11,-5.102,0,0.0337,0.0992,0.00132,0.0887,0.192,126.031
26,Love Tonight - David Guetta Remix Edit,2prnn41CblB8B4yWACDljP,0.621,0.989,10,-4.225,0,0.0434,0.015,0.357,0.184,0.0348,126.002
27,When I’m Gone (with Katy Perry),5902W4uHWzhtOff1UK7the,0.685,0.886,0,-4.179,1,0.034,0.028,0.0,0.481,0.615,125.034
28,Real Love,4Juaa2ppIOYcSWbrVtcrNp,0.549,0.793,10,-4.313,0,0.104,0.0496,7.7e-05,0.0522,0.541,123.893
29,Anywhere With You,3wfNiPBrzDwuanE75Ar6pS,0.596,0.743,6,-4.149,1,0.0302,0.0696,2.37e-06,0.202,0.531,125.883
30,You - Topic Remix,5bbtc9t6FcerXp732H2XNu,0.733,0.887,6,-5.601,0,0.0692,0.0554,0.000131,0.241,0.696,124.025
31,Crazy What Love Can Do,1WCEAGGRD066z2Q89ObXTq,0.601,0.713,4,-3.758,0,0.0449,0.0282,0.0,0.158,0.464,122.872
32,Off Of My Mind,1HHnQYqcnlnE9q7LGFFGFj,0.798,0.752,1,-5.947,1,0.227,0.128,0.0362,0.0795,0.565,125.996
33,Do It To It,20on25jryn53hWghthWWW3,0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927
34,Love Is Gone (Tiësto Remix),4AoUdMZGoPZZQxVFnoVQEl,0.414,0.765,6,-3.578,1,0.0479,0.00264,0.0,0.438,0.0398,130.105
35,Man On The Moon,0zqBZqm5czQ3A4EoSdKFHj,0.668,0.816,4,-5.648,0,0.0367,0.0557,1.02e-06,0.197,0.5,129.971
36,BED - David Guetta Festival Mix,7ft8GUKMIuFnH4lueyOTQi,0.687,0.916,8,-4.311,1,0.0668,0.00409,0.258,0.0474,0.246,125.001
37,Your Love (9PM),5YaskwnGDZFDRipaqzbwQx,0.669,0.784,7,-5.603,1,0.112,0.194,6.28e-06,0.115,0.517,125.993
38,Thunder,2USlegnFJLrVLpoVfPimKB,0.67,0.896,1,-4.673,1,0.058,0.0342,3.21e-05,0.344,0.403,101.216
39,The Business,6f3Slt0GbA2bPZlz0aIFXN,0.798,0.62,8,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031
40,Follow Me,2Xy1UIVfOlukyye6Fd0wrI,0.673,0.729,6,-4.879,1,0.0496,0.083,0.0,0.1,0.675,122.023
41,Remember,4laAKIq9ZxBCwf99rauPYb,0.612,0.862,8,-2.903,1,0.037,0.041,0.0,0.0907,0.354,123.849
42,Where Did You Go? (feat. MNEK),3sa06xVNmLLYIxdNNmVQN8,0.763,0.782,7,-4.541,0,0.0346,0.182,7.08e-06,0.293,0.502,127.034
43,Dancing Feet (feat. DNCE),4RAR8g8fZNB106ezUurnE0,0.75,0.797,0,-4.826,1,0.118,0.293,0.0,0.392,0.523,105.949
44,By Your Side (feat. Tom Grennan) - Oliver Heldens Remix,3ZFosXgzvmN6wXs9wTaIxh,0.682,0.861,4,-6.047,0,0.0442,0.18,0.00684,0.0975,0.392,124.045
45,In My Mind - Joel Corry Remix,2Eq5AMlqaeqg4sunGbHtV2,0.653,0.74,0,-6.063,1,0.0465,0.00646,0.0,0.136,0.598,122.046
46,Can't Get Over You (feat. Aloe Blacc),46BIpPudYCyNxUTz4f2E8k,0.749,0.843,9,-5.544,0,0.0428,0.121,4.59e-05,0.0877,0.455,119.981
47,Paradise (feat. Dermot Kennedy),6ft4hAq6yde8jPZY2i5zLr,0.632,0.595,8,-7.644,0,0.0401,0.0689,0.0,0.209,0.435,124.114
48,No Fun,3YOZWCREvKsxhcZNJix5xd,0.731,0.904,10,-4.774,0,0.0349,0.00861,0.000164,0.0916,0.328,121.03
49,Where The Lights Are Low,0Cnb8XdGDMHAmIRBUJMkIS,0.759,0.807,8,-5.812,0,0.122,0.448,0.0,0.105,0.62,123.904
50,Lovefool - Nicky Romero Remix,7iydGgbqWUwYQNKiUXaoWq,0.609,0.798,3,-3.759,0,0.0342,0.0142,0.000573,0.155,0.305,126.137
51,Moth To A Flame (with The Weeknd),0VO8gYVDSwM1Qdd2GsMoYK,0.553,0.659,8,-7.295,1,0.0391,0.0027,0.0,0.105,0.105,120.146
52,Good Ones - Joel Corry Remix,2Jt8OOQV33kCWJs7ojOCUJ,0.719,0.807,10,-4.383,1,0.0365,0.0385,0.0178,0.121,0.684,124.961
53,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,4cG7HUWYHBV6R6tHn1gxrl,0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98
54,Bulletproof,0SyxZC4wlqAwf20cHE6Xon,0.752,0.771,6,-5.95,1,0.0311,0.00341,1.73e-05,0.0905,0.527,126.02
55,Why Do I Call,7sRjDSJ5Vp3xC669buQVGi,0.655,0.786,7,-6.588,1,0.0931,0.144,0.0,0.282,0.374,122.946
56,Going Dumb,7arsXR8AtExnOFN3v3HiJI,0.834,0.678,6,-6.242,0,0.0515,0.0546,0.263,0.103,0.551,121.995
57,What Would You Do?,1D2ZNECRd7KIlA4pyOUGsv,0.687,0.895,9,-2.983,1,0.0474,0.149,0.00592,0.121,0.686,124.041
58,It Don’t Matter - Spotify Singles,7ltLi7CG003USSGYsSba9s,0.732,0.864,3,-5.94,0,0.0378,0.161,1.34e-05,0.367,0.568,118.032
59,Sweet Talker,6FRxFke9VsjXmibGgSeKki,0.429,0.905,10,-2.93,1,0.0512,0.228,0.0,0.0714,0.659,121.025
60,Dancing Alone,7A9y0ywTGS4iPM5huZAhKf,0.632,0.731,0,-5.737,1,0.0356,0.0321,5.16e-05,0.317,0.0796,127.949
61,Pepas,5fwSHlTEWpluwOM0Sxnh5k,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001
62,Rasputin,0b18g3G5spr4ZCkz7Y6Q0Q,0.758,0.913,6,-2.926,0,0.113,0.00364,6.92e-05,0.193,0.658,128.04
63,Oohla Oohla,7chO7fuXHHB3nZVjEQMXwx,0.694,0.856,10,-4.937,0,0.222,0.00198,0.000189,0.67,0.486,124.923
64,Somebody To Use,2CMGiyYO8H8GhPwS73LL13,0.604,0.792,0,-4.5,0,0.0866,0.113,1.88e-05,0.149,0.289,119.953
65,Ride With Me (feat. Kid Ink) - Brennan Heart Remix,74CkeJ0vYYTdQImnaLy759,0.693,0.864,4,-4.17,0,0.0483,0.278,0.0388,0.0777,0.142,149.998
66,Dopamine (feat. Eyelar),4gGWAqJkd3HyvJJZa4CXqN,0.691,0.806,11,-5.392,0,0.123,0.0518,0.0,0.192,0.873,117.971
67,We're Still Young,0ha2skoePlU0BDDySj8qf2,0.521,0.831,1,-3.184,0,0.0558,0.029,0.0,0.349,0.0868,127.962
68,Don't Be Shy,0bI7K9Becu2dtXK1Q3cZNB,0.77,0.787,11,-3.748,0,0.0583,0.198,0.0,0.262,0.513,119.986
69,On My Mind (with JC Stewart),3MVrUfY3fYjR1kIK1wvbHN,0.646,0.819,7,-5.725,1,0.0351,0.00819,0.0115,0.106,0.54,125.979
70,We'll Be Dancing Soon,39CyGsoGoW4yayA731IP4s,0.763,0.853,9,-4.538,0,0.17,0.0565,2.62e-06,0.149,0.501,119.958
71,Fireworks (feat. Moss Kena & The Knocks),154YAkNQuFHLV3LbP7gP1f,0.753,0.792,1,-5.292,0,0.0427,0.0072,3.38e-06,0.174,0.788,118.035
72,Cold Heart - PNAU Remix,6zSpb8dQRaw0M1dK8PBwQz,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032
73,Never Going Home,0xfMlIW8lS40qvpsUw1l0X,0.836,0.846,0,-4.673,1,0.0392,0.0907,0.047,0.057,0.942,122.042
74,All We Got (feat. KIDDO) - Ofenbach Remix,2rUsJXt4NeeDiIU6sBvrxo,0.803,0.796,6,-5.077,0,0.0343,0.0522,2.69e-05,0.25,0.549,114.95
75,Move Your Body,6GomT970rCOkKAyyrwJeZi,0.848,0.821,2,-5.408,0,0.0527,0.0169,0.000403,0.0962,0.249,125.051
76,Love Tonight - Edit,6OufwUcCqo81guU2jAlDVP,0.727,0.681,5,-7.114,0,0.0265,0.00214,0.000307,0.0861,0.448,123.028
77,Okay,71H8k9qe7DersxR6KyhUnI,0.513,0.836,2,-3.781,1,0.0579,0.0463,0.0,0.128,0.304,124.964
78,Weekend,6G3t9WroSJiK5S66umOfIA,0.761,0.939,11,-3.34,0,0.0729,0.0594,0.00158,0.0843,0.88,119.981
79,Nobody To Love (with Loren Gray),0SSIu4CcGITHdatDmjlA6H,0.734,0.823,9,-3.684,0,0.0853,0.0937,0.0,0.0853,0.409,122.143
80,Call On Me,1gX4wETtMGvOB7u1proVfj,0.582,0.889,0,-4.386,1,0.0491,0.021,0.0,0.687,0.438,121.977
81,Believe Me,44xO8889yUQHn70P73NILS,0.629,0.876,5,-5.572,0,0.0408,0.129,1.39e-06,0.29,0.645,124.999
82,Good for Me (feat. Anna Straker),1S69G657rrHOIfPkKNihwH,0.725,0.615,5,-7.217,1,0.0453,0.02,0.00821,0.138,0.411,124.987
83,Eyes On You,1evX3NUBE7QujnSmky2ox4,0.917,0.823,0,-6.277,1,0.12,0.0305,0.139,0.131,0.612,124.99
84,Overpass Graffiti - TCTS Remix,7aJipE69xCCq3Upw8w9JOf,0.69,0.915,9,-3.778,0,0.0414,0.000938,0.000875,0.0618,0.882,126.046
85,Vibe,4YprqLB3jEAlHNOMXEcZtm,0.937,0.823,11,-2.867,1,0.0956,0.013,0.397,0.121,0.616,126.063
86,Human (feat. Echoes),4G4patpYxsF6ovHZOX9wgR,0.544,0.856,5,-6.84,0,0.0314,0.00162,0.818,0.0763,0.233,125.992
87,Promises,4VWCn553TnAjZn7Vv57BWP,0.551,0.714,0,-7.757,0,0.0431,0.0177,0.0,0.191,0.408,122.108
88,Losing My Mind,0WNjZebEUjiPEdVqfYjlcZ,0.601,0.881,1,-3.834,1,0.0291,0.0317,0.0364,0.441,0.86,125.026
89,CTRL + ALT + DEL,7ElC7VjUNl3oJ20Q5OpEh9,0.779,0.763,5,-5.58,0,0.34,0.035,1.65e-06,0.112,0.869,119.94
90,Good Luck,7CTdh15dTO5HqoeqRPHFha,0.696,0.792,0,-5.659,1,0.0494,0.113,0.0,0.0564,0.445,121.962
91,It Ain't Right,0lrctx5G3InbHwNO5JyFfL,0.676,0.896,0,-3.706,0,0.0425,0.0414,6.41e-06,0.0519,0.316,125.997
92,Burning (feat. Camden Cox),54Yr0BPkVQ378IeCWnG91Q,0.67,0.796,7,-5.832,0,0.0377,0.0122,0.0117,0.0735,0.6,122.99
93,Like That,0ddvXI226RBn6NXy692GK7,0.718,0.754,3,-7.919,0,0.0374,0.0173,0.0111,0.143,0.198,123.98
94,Destination,4CiWLaMrGQ9CR5j604HyoW,0.779,0.884,10,-4.074,0,0.0878,0.0575,4.04e-06,0.093,0.356,121.981
95,God is A DJ,4exGSaz6lVTxxZVF1xVD4k,0.598,0.964,6,-4.173,1,0.0523,0.0444,0.654,0.234,0.115,126.015
96,Love Me Better (with Shift K3Y & Marc E. Bassy),5zHRrkIk98Adfqh25kMZFU,0.755,0.716,6,-5.089,1,0.0376,0.0253,0.00149,0.131,0.441,124.018
97,Set You Free,4MyPLcBTpqfXZJKcUhMXOg,0.554,0.93,5,-4.646,0,0.0768,0.0024,0.535,0.4,0.431,126.015
98,Lifetime (with Ty Dolla $ign & 070 Shake),3QqHt507QJZCzluEYsnv4u,0.584,0.718,11,-7.824,0,0.126,0.0205,2.99e-06,0.906,0.155,99.841
99,Friday,4t5DaUXvdAFahZJtXYGYpH,0.794,0.839,6,-8.382,1,0.0576,0.0348,0.0367,0.0787,0.516,121.049
100,Physical - Claptone Remix,4KKaV1zUcpDecobqLjwIkB,0.722,0.928,5,-5.97,0,0.0341,0.00029,0.9,0.43,0.875,124.988
100,Physical - Claptone Remix,4KKaV1zUcpDecobqLjwIkB,0.722,0.928,5,-5.97,0,0.0341,0.00029,0.9,0.43,0.875,124.988
101,Naked,1LyTeIRYMHPA13p4b02NvV,0.719,0.837,2,-4.571,0,0.0349,0.0517,0.000509,0.108,0.251,123.989
102,My Carousel,65tzGxRAwbrZd2yhHcGgLf,0.563,0.735,6,-6.488,0,0.108,0.0109,2.32e-05,0.0871,0.24,125.076
103,Don't Even Know Your Name,6s3OlLs8Ey8LCol4xaDb6R,0.763,0.804,4,-3.453,0,0.037,0.0305,1.06e-05,0.147,0.655,123.982
104,Alive (with Roland Clark),6nGtbklEfeXapvjTbV8kzn,0.68,0.912,11,-8.785,1,0.058,0.0149,0.0316,0.69,0.327,124.994
105,Kids (feat. MKLA),3rgTS3933lMWoPiN6CW4qY,0.744,0.866,9,-4.834,1,0.106,0.0107,0.0537,0.528,0.302,128.027
106,Pressure (feat. Tove Lo),4ga4WvRNhMsIL38pkBbnIN,0.859,0.558,7,-8.991,0,0.0902,0.659,0.324,0.124,0.357,114.978
107,Goosebumps,20McUFi8KCIVdNDLrkTDuZ,0.767,0.659,1,-7.429,1,0.0444,0.325,0.0,0.13,0.439,124.946
108,Forget About Me,6EafRI0UtUidrZbbKpFRYq,0.721,0.894,3,-7.59,0,0.0488,0.0428,0.502,0.134,0.88,127.005
109,Clap Your Hands,7g7OshelYRRnOSEMmisJVI,0.878,0.875,1,-4.923,1,0.0658,0.0507,3.42e-05,0.356,0.84,124.006
110,Catch My Love,0C0LsZeUyAG50xJKEIpBgY,0.753,0.851,10,-4.451,0,0.0497,0.00545,0.135,0.245,0.652,126.012
111,Talk About,1olCzMxaeiQKNO64ssWVGr,0.814,0.874,6,-5.316,1,0.0425,0.000222,0.522,0.276,0.434,123.992
112,Life Goes On (feat. Alex Hosking),4toYTJxK1Q7uNkzeFzKJuu,0.41,0.873,5,-3.984,0,0.041,0.243,0.0,0.154,0.529,123.548
113,Ferrari,4zN21mbAuaD0WqtmaTZZeP,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004
114,Talamanca,7dDLAQ1y0qOq3E4DhNh8FS,0.683,0.77,11,-6.641,0,0.0512,0.0988,0.896,0.379,0.527,126.006
115,Think About Us - 90's Club Mix,6FANeHrcPH8cDFUgty6jDS,0.649,0.877,1,-5.983,1,0.0589,0.000633,0.0634,0.335,0.296,119.991
116,Another Chance,0oHLi9gb4Gd97OuN6ckMk8,0.643,0.913,7,-5.597,0,0.0477,0.0218,0.0269,0.375,0.0487,128.01
117,Come With Me,2Ho4XR2Hmtf3y9lNO5w04b,0.691,0.959,2,-2.977,0,0.0369,0.182,0.0461,0.102,0.0362,125.049
118,Sooner Or Later,2QLdrqojYq2yRKHqv6tXh1,0.318,0.764,10,-4.102,1,0.0956,0.00712,0.0,0.0789,0.507,120.984
119,Domino - David Guetta Remix,1wpbmqF1IFW1W1Zut5aquK,0.437,0.954,10,-5.783,0,0.0578,0.137,0.922,0.378,0.0397,129.996
120,Let You Go,0KG7XrgM20KEmJrKsyFDAm,0.584,0.955,7,-4.197,0,0.0507,0.101,0.00243,0.092,0.486,128.04
121,Let Them Know,2lw3naleLuf81Si3tuFVak,0.717,0.855,9,-5.646,1,0.094,0.0148,0.0,0.0887,0.86,125.002
122,Somebody's Watching Me,3vrm4dNThrhQ0BArrLIUOV,0.712,0.857,1,-4.922,0,0.052,0.0855,9.98e-05,0.0723,0.207,124.963
123,Show Me A Sign (with MKLA),49yvk8qS9L7I5aDeIMSutb,0.717,0.763,2,-5.178,1,0.0559,0.0437,6.02e-05,0.154,0.741,126.002
124,SEXUAL,4PZunWMdRDz63eZHAzoeD2,0.728,0.882,6,-8.083,0,0.0508,0.257,0.441,0.111,0.211,125.005
125,Redlight,48Jf12YHPBCAfAzi255Rvr,0.71,0.63,2,-7.003,1,0.0413,0.00879,0.147,0.058,0.216,125.0
126,I Was Made,0ieEZjHQO5eq9Uad7opItK,0.609,0.85,1,-3.471,1,0.0268,0.0823,0.0,0.0999,0.314,128.006
127,In Da Getto,63aj87TQG6F3RVO5nbG2VQ,0.915,0.72,8,-3.126,1,0.0459,0.025,1.42e-05,0.0942,0.631,126.986
128,Good Feeling,1h4zfNDe8UapUvTuaDsTuM,0.693,0.845,9,-3.27,1,0.0348,0.0127,1.84e-06,0.169,0.498,125.009
129,You Give Me A Feeling,1YKp8PG1DEQJ0hLc2CJGO8,0.761,0.867,2,-6.168,1,0.0499,0.259,0.615,0.0689,0.679,126.03
130,Young Forever,2VveodsDiyIi3zcYMDgRx1,0.846,0.637,9,-7.388,0,0.037,0.0219,0.000826,0.0636,0.557,120.997
131,I Just Wanna Dance,1LsoAswipJvPzdcSnoQ46C,0.741,0.914,5,-5.589,1,0.133,0.0247,0.0195,0.22,0.15,124.984
132,Morenita,0pIiCv0GdhtsOjCJ5Y7zHj,0.639,0.769,1,-5.077,1,0.0383,0.000701,0.742,0.0553,0.177,123.983
133,It Gets Better,5PLfjUnpV6eFXymcsXwa37,0.737,0.707,0,-6.979,1,0.0369,0.00272,0.447,0.283,0.0608,118.979
134,Dancing,7xbBNB9bivza5vrYfnZJYg,0.74,0.877,1,-8.357,1,0.0497,0.372,0.544,0.0886,0.377,125.033
135,Last Thought (feat. MKLA),1tZC1ktebdhQSlhnFSetLk,0.711,0.656,11,-8.262,0,0.0308,0.00762,0.398,0.121,0.0914,124.005
136,Everybody Wants To Party,3hbi5zXAgQt0Z9V5JSOnCe,0.72,0.858,0,-5.657,1,0.0314,0.000307,0.692,0.0932,0.565,124.001
137,Bloodstream,7BJvauk2ddcxirw5px8Wfa,0.65,0.756,2,-4.789,0,0.309,0.0538,0.000345,0.372,0.445,126.157
138,Have Me All (feat. Jelita),5uxSxL44LynLj2xstL0ogf,0.685,0.846,7,-3.771,0,0.0462,0.099,0.00168,0.344,0.255,126.046
139,Driver Seat,4suOHUdKByW9TMWodgwBKo,0.729,0.802,11,-6.363,0,0.056,0.013,0.0,0.114,0.507,126.005
140,Liquor Store,3aLsMcZZTLgQqjpWgeWMMM,0.803,0.932,0,-7.123,1,0.0912,0.0225,0.581,0.078,0.726,124.963
141,Good Luck (feat. Pia Mia) - PS1 Remix,3txlbadheKtYDsywClnjMU,0.669,0.896,5,-4.451,0,0.0471,0.00331,4.3e-06,0.299,0.355,125.961
142,Drinkee - Vintage Culture & John Summit Remix,68raS6F0ad2Iilql3yYeCt,0.741,0.726,11,-6.404,0,0.0462,0.021,0.776,0.0776,0.37,124.009
143,Just Feels Tight,2cegJfpyiaWXclqj5HRsZG,0.808,0.994,1,-6.326,1,0.071,0.00153,0.874,0.0686,0.719,127.004
144,Forever Love (feat. Viiq),6bVWGtN2BVH53il4JSFON8,0.668,0.9,6,-4.228,0,0.0429,0.0953,1.06e-05,0.368,0.709,124.045
145,Follow,5aXTfpNOqLj35ydEiLio67,0.588,0.78,11,-6.102,0,0.0432,0.0333,0.193,0.0728,0.201,127.085
146,Beg For You (feat. Rina Sawayama),50ZFpw2wS6ERvLmW8TINhq,0.788,0.945,9,-5.091,1,0.0599,0.223,2.97e-06,0.115,0.466,128.036
147,Coming Home (feat. Anabel Englund),6V59f06aj9W103sjzIwIGE,0.616,0.853,7,-10.016,1,0.0395,0.00141,0.34,0.233,0.367,125.011
148,Believer,1Ckah0ICBG4AoAY0x6LbSF,0.638,0.856,1,-5.116,1,0.0382,0.0784,0.022,0.0914,0.36,125.987
