setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Summer Madness,2uMqG8w8oi09fB2YA2QLOm,0.298,0.327,6,-16.515,0,0.031,0.00834,0.86,0.0724,0.454,175.898
2,Summertime,20XdEFyaUR9C7aDIdq2OAd,0.677,0.539,7,-14.439,1,0.063,0.0455,1.84e-06,0.845,0.469,95.116
3,Nice For What,3CA9pLiwRIGtUBiMjbZmRw,0.585,0.909,8,-6.474,1,0.0707,0.0891,9.7e-05,0.119,0.758,93.372
4,Just Fine,33vzOPcd9FRirYGlCu32x4,0.923,0.795,11,-3.61,0,0.117,0.0394,0.000565,0.101,0.588,123.021
5,Don't Stop 'Til You Get Enough,46eu3SBuFCXWsPT39Yg3tJ,0.878,0.821,11,-9.875,1,0.089,0.126,0.0461,0.183,0.947,118.881
6,Got To Give It Up - Pt. 1,7ohR0qPH6f2Vuj2pUNanJG,0.855,0.847,2,-9.019,1,0.042,0.234,0.00062,0.345,0.89,122.644
7,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066
8,Before I Let Go - Homecoming Live Bonus Track,7LikBkHerFGZ58QHVOKp1t,0.71,0.842,6,-5.424,0,0.0944,0.0686,0.0,0.337,0.435,102.994
9,Candy,0Aj8EagrPfDoOe5OlUdrLC,0.705,0.709,11,-12.649,0,0.0489,0.119,1.69e-05,0.286,0.853,110.522
10,Essence (feat. Tems),5FG7Tl93LdH117jEKYl3Cm,0.849,0.707,0,-6.002,1,0.113,0.0266,8.58e-06,0.618,0.602,104.027
11,Angles (feat. Chris Brown),1rdTdOTRfGXjQ9Auwn1gzx,0.654,0.792,7,-6.116,1,0.351,0.192,0.0,0.708,0.194,94.878
12,"I Wanna Be Down (feat. Queen Latifah, Yo-Yo & MC Lyte) - Remix",3OZs6tgXsBmb3TWPn07YCF,0.893,0.433,11,-5.88,0,0.396,0.33,0.0,0.395,0.675,86.01
13,Shoop,0Pu71wxadDlB8fJXfjIjeJ,0.939,0.675,0,-7.232,1,0.211,0.0915,0.0,0.0565,0.795,96.918
14,Rather Be (with Kiana Ledé),5wDeGgYjng63MbfVQyEt0O,0.724,0.565,3,-6.128,0,0.0463,0.279,6.46e-06,0.2,0.239,101.975
15,Get Down On It - Single Version,4yKZACkuudvfd600H2dQie,0.879,0.626,7,-6.344,1,0.0604,0.205,6.07e-05,0.056,0.968,110.864
16,Let's Groove,3koCCeSaVUyrRo3N2gHrd8,0.869,0.648,11,-8.698,0,0.0633,0.121,2.17e-05,0.126,0.9,125.035
17,I Feel for You,5yR9u8QiOt8hJaddv32oo7,0.698,0.912,11,-8.993,1,0.0675,0.0145,0.0225,0.279,0.797,124.917
18,Party (feat. André 3000),42qh86p7TLXyumxSHn65kc,0.648,0.593,10,-6.267,1,0.0506,0.0188,0.0,0.169,0.712,160.979
19,My Boo - Hitman's Club Mix,4c0rkFPszqQTyC753tsCMU,0.885,0.477,6,-9.196,0,0.0664,0.000131,0.000664,0.336,0.691,130.078
20,Fantasy (feat. O.D.B.),2itAOPLerxnnc8KXHMqPWu,0.837,0.548,2,-9.658,1,0.116,0.0407,0.0,0.05,0.821,102.497
21,Toosie Slide,466cKvZn1j45IpxDdYZqdA,0.83,0.49,1,-8.82,0,0.209,0.289,3.04e-06,0.113,0.845,81.604
22,Cha Cha Slide - Original Live Platinum Band Mix,0RC2B9uIITHA0wtDFfQk3K,0.978,0.691,6,-5.787,1,0.218,0.00148,7.99e-05,0.28,0.482,122.026
23,All I Do,0k3fBeBIcok5gbYQyQbxP5,0.849,0.5,11,-16.705,1,0.0915,0.0842,0.0,0.107,0.88,117.217
24,All Night Long,7iyjZ4paFWpTrJJenM0yZb,0.796,0.431,7,-10.3,1,0.214,0.171,0.00811,0.0894,0.667,94.875
25,Hey Mr. D.J. - Original Mix - Edit,7tklytz84iS8vnUJrBRSVj,0.865,0.645,2,-6.939,1,0.071,0.0836,0.00117,0.109,0.89,101.313
26,Right Here - Human Nature Radio Mix,7tUEDtHchueeUJTfEFEhii,0.615,0.72,9,-5.16,0,0.0658,0.068,0.0105,0.0889,0.696,94.002
27,Feels Good,4cRR2gUTOerkUOW5iZpm91,0.827,0.852,2,-12.052,1,0.0942,0.115,1.49e-05,0.299,0.635,117.17
28,Redbone,0wXuerDYiBnERgIpbb3JBR,0.743,0.344,1,-11.174,1,0.118,0.169,0.00879,0.103,0.577,160.15
29,Flash Light,1v1PV2wERHiMPesMWX0qmO,0.702,0.735,7,-10.458,0,0.0465,0.243,0.117,0.474,0.687,105.177
30,Luchini AKA This Is It,20DcrlNK0NcRknbX4wcEO4,0.721,0.949,6,-5.685,1,0.278,0.0495,0.0,0.327,0.835,83.028
31,Risin' to the Top,5iVxHPyHVO7vWSDnRpNH5d,0.729,0.54,0,-9.33,0,0.0606,0.189,0.000208,0.14,0.815,94.071
32,Square Biz,52bz3fOCyr6GgkJQsLK9PM,0.769,0.922,2,-7.479,1,0.119,0.148,0.000197,0.5,0.723,113.621
33,I Wanna Be Where You Are,3mnVgyzn5HC7Sqkn3B5zHs,0.605,0.843,4,-8.546,0,0.0604,0.469,0.00235,0.118,0.662,103.817
34,It Was A Good Day,2qOm7ukLyHUXWyR4ZWLwxA,0.798,0.744,7,-5.328,0,0.136,0.33,0.000106,0.292,0.794,82.356
35,Lovely Day,0bRXwKfigvpKZUurwqAlEh,0.692,0.651,9,-8.267,1,0.0324,0.292,0.00241,0.105,0.706,97.923
36,Happy Feelin's,2YQ4R8eICy851TjCdFYUSd,0.578,0.414,2,-14.1,1,0.0425,0.223,1.05e-06,0.0953,0.862,73.204
37,"Summer Breeze, Pts. 1 & 2",7wcP2Aa2SliFhwi4SyfvfV,0.31,0.629,9,-10.057,0,0.0484,0.212,0.00894,0.122,0.544,152.276
38,Turnin' Me Up,5MjAFPcmrR1DYCgZrXCN4d,0.734,0.776,2,-4.193,1,0.0826,0.0406,0.193,0.0547,0.843,78.542
39,One More Chance / Stay with Me - Radio Edit; 2014 Remaster,1nU9Fn9kh4pQ9zSghlh1Ka,0.77,0.693,0,-5.632,1,0.251,0.112,1.26e-05,0.0993,0.627,92.202
