setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Misery Business,6SpLc7EXZIPpy0sVko0aoU,0.517,0.906,1,-3.677,1,0.0735,0.00272,9.26e-06,0.113,0.731,172.977
2,"Dance, Dance",0a7BloCiNzLDD9qSQHh5m7,0.622,0.961,11,-3.198,0,0.154,0.00523,0.0,0.0854,0.449,114.452
3,The Rock Show,2ydUT1pFhuLDnouelIv4WH,0.41,0.959,9,-4.563,1,0.0869,0.000324,0.0,0.0766,0.83,193.155
4,In Too Deep,1HNE2PX70ztbEl6MLxrpNL,0.568,0.844,9,-5.875,1,0.0505,0.000189,0.0,0.0607,0.766,116.046
5,I'm Not Okay (I Promise),7lRlq939cDG4SzWOF4VAnd,0.21,0.94,9,-3.427,1,0.123,0.00602,0.0,0.269,0.255,179.722
6,"Dear Maria, Count Me In",0JJP0IS4w0fJx01EcrfkDe,0.459,0.895,2,-3.126,1,0.0805,0.00725,0.0,0.206,0.572,181.04
7,"Check Yes, Juliet",0wVluBsVAVzBKrqspuCcwR,0.352,0.912,7,-4.253,1,0.0725,0.00197,0.0,0.193,0.351,166.795
8,Jamie All Over,05qCCJQJiOwvPQBb7akf1R,0.426,0.868,1,-3.702,1,0.047,6.54e-05,0.0,0.0723,0.402,149.042
9,Still into You,1yjY7rpaAQvKwpdUliHx0d,0.602,0.923,5,-3.763,1,0.044,0.0098,0.0,0.0561,0.765,136.01
10,"Sugar, We're Goin Down",2TfSHkHiFO4gRztVIkggkE,0.494,0.842,7,-4.784,1,0.0843,0.00579,0.0,0.122,0.574,162.011
11,Tell Me I'm A Wreck,203zTFd1zbfG0fiOG9OREv,0.578,0.76,5,-2.307,1,0.0329,0.00188,0.0,0.142,0.7,127.904
12,Stupid for You,1N7Aep1OewK9diaN9WbuuR,0.581,0.922,1,-3.408,0,0.0666,0.024,0.0,0.202,0.596,118.408
13,forget me too (feat. Halsey),1VSuFS7PahCN3SWbOcQ98m,0.654,0.875,1,-4.845,1,0.0744,0.000417,0.0086,0.194,0.522,99.975
14,Monsters (feat. blackbear),0tyR7Bu9P086aWBFZ4QJoo,0.369,0.845,0,-3.449,0,0.0611,0.0493,0.0,0.416,0.782,78.532
15,Teenagers,7j31rVgGX9Q2blT92VBEA0,0.463,0.857,4,-3.063,1,0.0632,0.0506,0.0,0.184,0.856,111.647
16,December (again) [feat. Mark Hoppus],1Ztka7fCyxUv46FW1mZH9T,0.403,0.953,5,-3.213,0,0.119,9.74e-05,0.0,0.0915,0.362,160.035
17,The Great Escape,6GIrIt2M39wEGwjCQjGChX,0.423,0.94,1,-4.012,0,0.0635,0.00166,0.0,0.178,0.505,149.934
18,The Middle,6GG73Jik4jUlQCkKg9JuGO,0.643,0.849,2,-5.428,1,0.0526,0.0371,0.0,0.058,0.903,162.152
19,Bite Me,6dfwRetlyLPBoQzdufbOWj,0.491,0.792,8,-4.382,1,0.0699,0.00381,0.0,0.359,0.74,169.997
20,Thnks fr th Mmrs,3Zwu2K0Qa5sT6teCCHPShP,0.459,0.891,10,-5.057,0,0.0623,0.00511,0.0,0.106,0.588,154.837
21,Face Down,4wzjNqjKAKDU82e8uMhzmr,0.545,0.932,7,-2.189,0,0.0399,0.000665,0.0,0.127,0.464,92.956
22,Welcome to the Black Parade,5wQnmLuC1W7ATsArWACrgW,0.217,0.905,2,-4.103,1,0.0752,0.000289,0.00011,0.222,0.236,96.95
23,Black Butterflies and Déjà Vu,6QZ8h3RqIgTRTo3hfaqryx,0.452,0.945,5,-4.515,1,0.103,0.0373,4e-05,0.22,0.504,167.95
24,Weightless,0aZJGkkXR3DgaFqo5sB8ot,0.497,0.923,2,-4.512,1,0.138,0.00282,0.0,0.158,0.663,181.074
25,weapon,5z0QlOV93W6Yo7DG2SYOJP,0.402,0.924,7,-4.089,0,0.156,0.00021,0.0,0.237,0.443,180.075
26,That's What You Get,1JdKrFyoU05abww0Zv0ayQ,0.528,0.831,8,-3.607,1,0.0429,9.43e-05,0.0,0.141,0.632,131.094
27,bloody valentine,6mADjHs6FXdroPzEGW6KVJ,0.533,0.858,2,-4.212,1,0.0766,0.00021,0.0,0.148,0.506,160.057
28,Ocean Avenue,23oxJmDc1V9uLUSmN2LIvx,0.486,0.904,6,-3.751,0,0.0638,3.43e-05,2.83e-05,0.0947,0.786,173.734
29,What You Make It,2eXSPTZmhkXRGob1hsFdVd,0.567,0.517,8,-7.548,1,0.0708,0.000292,0.0,0.141,0.627,179.959
30,I Write Sins Not Tragedies,4bPQs0PHn4xbipzdPfn6du,0.569,0.83,9,-4.106,0,0.14,0.0807,0.0,0.114,0.609,170.094
31,Where I Belong (feat. We The Kings),6XbmIuDxm4gWpVYoGg5DQX,0.477,0.964,8,-2.459,1,0.096,0.000295,0.0,0.0763,0.597,92.065
32,Coffee Talk,7wXays9vrRN3i4wBpBYb2d,0.274,0.963,8,-2.956,1,0.153,0.00041,0.00303,0.36,0.412,174.021
33,Dirty Little Secret,5lDriBxJd22IhOH9zTcFrV,0.465,0.954,10,-4.251,1,0.044,0.000346,5.38e-06,0.573,0.458,143.85
34,When You Know,3DaSurzbFuzWE45tQm1TO5,0.546,0.782,8,-4.801,1,0.0371,0.00155,0.000545,0.0528,0.44,108.049
35,Coffee at Midnight,0O5WAeW9fQb0E1sKUi5QZt,0.393,0.953,6,-3.492,1,0.169,0.000136,0.0,0.861,0.634,176.938
36,Voldemort,27oxSfW0iib7w0NG4zf9Fp,0.54,0.949,7,-4.23,0,0.0702,0.000181,2.39e-05,0.746,0.747,103.458
