setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Your Song,38zsOOcu31XbbYj9BIPUF1,0.554,0.315,3,-11.028,1,0.0298,0.828,5.53e-06,0.101,0.325,128.157
2,Feels Like Home,5z389dy6N80WE9rSkfwDn0,0.602,0.213,0,-10.769,1,0.0296,0.871,0.0,0.107,0.238,97.974
3,Come Home To Me,2K8elWg8ihrZRwZJ7Gy6L3,0.66,0.193,11,-8.904,1,0.0725,0.953,0.0,0.0953,0.296,82.035
4,A Safe Place to Land (feat. John Legend),55fyE9Q754QhXpmcLtmmam,0.424,0.253,10,-13.259,1,0.0366,0.825,0.0,0.117,0.16,129.812
5,Carry Me Away,4Szq4dulKN9bOvLRW6uMdZ,0.677,0.713,4,-6.626,1,0.0288,0.0117,0.15,0.0952,0.744,119.997
6,"Here, Right Now",0voYwjeuMfvXlF76oesZKu,0.496,0.391,10,-9.844,1,0.0311,0.826,0.0126,0.108,0.492,108.868
7,Landslide,5ihS6UUlyQAfmp48eSkxuQ,0.414,0.161,7,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375
8,I'll Buy a House - Acoustic,0DUYYLUzQNVNRMtr2vk1lh,0.599,0.314,1,-9.034,1,0.0462,0.831,0.0,0.095,0.423,79.956
9,Change the Whole Thing,41SYWf4AZzsVbPakCgdXJg,0.729,0.744,7,-7.368,1,0.0351,0.225,0.0,0.112,0.874,146.027
10,Dreamers Of The Shore,6ZyZGbujKBzxfzcjVOvGW5,0.648,0.704,2,-8.419,1,0.0325,0.833,0.000252,0.362,0.438,107.97
11,Missing Peace,5fTJGZ6k0zokfh5KLfe0sm,0.572,0.317,0,-9.108,1,0.0241,0.705,0.00385,0.528,0.38,78.009
12,What A Day,2cnuiYBSniFCbnVBw2vVXH,0.54,0.238,11,-13.259,1,0.0318,0.967,0.602,0.0727,0.249,88.013
13,Sailor's Heart,2PvZNsVhnHvhXQG2SAYDTp,0.482,0.37,4,-10.913,1,0.0271,0.412,0.0,0.101,0.266,90.066
14,Headlights,6PLllSULxhWMcitreJ2isg,0.614,0.221,2,-8.633,1,0.0293,0.798,0.000984,0.0976,0.505,74.993
15,I Guess I Just Feel Like,4Im6GRj17qa7NW76OsJh1s,0.548,0.483,4,-9.102,1,0.0268,0.515,0.0674,0.0922,0.166,159.952
16,Barefoot,023dRXdxcLXjVCRsMt5Rah,0.51,0.715,11,-8.927,1,0.0279,0.405,0.00688,0.138,0.611,160.042
17,Bitter With The Sweet,6bMrfP9V5s5fgL3Z02tcES,0.691,0.429,8,-13.252,1,0.0575,0.81,0.000495,0.115,0.69,99.031
18,Free,3hOWsTM9OpI6c72iQHP4EB,0.627,0.213,10,-12.634,1,0.0349,0.877,0.0,0.204,0.18,92.054
19,Fast Car,2M9ro2krNb7nr7HSprkEgo,0.711,0.292,4,-15.523,0,0.037,0.313,0.0,0.131,0.194,103.951
20,Beyond,1Omt5bfz1tZUCqd26HxbS0,0.581,0.687,6,-5.4,1,0.105,0.229,0.0,0.109,0.187,76.014
21,Love on the Weekend,0oiCeOPwm4zhwfyIpAE37y,0.718,0.583,7,-7.884,1,0.0288,0.623,0.000681,0.0612,0.422,119.971
22,Make You Feel My Love,5FgPwJ7Nh2FVmIXviKl2VF,0.317,0.172,10,-10.636,1,0.0326,0.907,0.000383,0.105,0.0963,65.18
23,Don't Know Why,4yZYolqyUgoGxSCoKZuYjN,0.739,0.199,5,-11.763,1,0.028,0.877,1.23e-05,0.0591,0.631,88.466
24,Honey,78x5EmgSFz6SJV8x2Q8hqx,0.703,0.313,0,-10.399,1,0.114,0.228,0.000322,0.109,0.424,79.998
