setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Dirty Deeds Done Dirt Cheap,2d4e45fmUnguxh6yqC7gNT,0.668,0.906,11,-4.881,0,0.17,0.214,0.00245,0.135,0.507,135.653
2,Black Summer,3a94TbZOxhkI9xuNwYL53b,0.417,0.682,1,-5.071,1,0.0295,0.0267,0.000669,0.109,0.351,105.542
3,Seven Nation Army,3dPQuX8Gs42Y7b454ybpMR,0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596
4,Howlin' for You,0grFc6klR3hxoHLcgCYsF4,0.705,0.735,11,-6.646,1,0.0931,0.028,0.0783,0.112,0.448,132.627
5,All My Life,6tsojOQ5wHaIjKqIryLZK6,0.577,0.604,5,-5.703,1,0.0495,0.000218,0.000579,0.477,0.637,167.719
6,The Well,4wszHgvhXYlN2Io813hLQ1,0.58,0.573,9,-8.137,1,0.061,0.00305,0.0015,0.182,0.477,121.225
7,Are You Gonna Be My Girl,305WCRhhS10XUcH6AEwZk6,0.613,0.953,2,-3.435,1,0.0855,0.00148,0.000582,0.152,0.537,105.046
8,Figure It Out,6V0A3jkb9ntudO0kmcJ1xd,0.658,0.814,0,-4.631,1,0.0558,0.229,0.00676,0.216,0.69,108.016
9,Uprising,4VqPOruhp5EdPBeR92t6lQ,0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019
10,Don’t Back Down,1RYI0fqfKDuLi8e4B9XwSe,0.5,0.932,7,-4.564,1,0.127,3.42e-05,0.000676,0.102,0.419,139.981
11,Ain't No Rest for the Wicked,3Pzh926pXggbMe2ZpXyMV7,0.636,0.849,0,-7.075,1,0.106,0.0438,0.0,0.372,0.917,156.036
12,Song 2,0YZLy2PSpOA7Nw2Yg0Hfxa,0.658,0.709,8,-6.736,1,0.0904,0.00188,0.00447,0.0657,0.855,129.701
13,No Good,5Xx8krVxg1pRy6CXieB7FS,0.378,0.925,9,-3.781,1,0.185,0.0234,0.00062,0.18,0.584,108.525
14,Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03
15,The Hardest Cut,5QUhSXDrrX7euR87oeQevM,0.671,0.683,7,-5.271,1,0.0965,0.135,0.00107,0.0534,0.809,164.943
16,Joker And The Thief,7ISL3LO8AWP3fKIXunvqTa,0.264,0.78,0,-2.741,1,0.0517,0.0452,0.0222,0.376,0.456,155.376
17,Step Aside,5hmAx18RDdlqvN1ikcPCC1,0.666,0.724,1,-5.548,1,0.0462,0.022,0.00342,0.074,0.261,127.905
18,The Rush,2w1PqXuQG6Fjum7259GzO8,0.747,0.842,0,-2.912,1,0.0489,0.000583,1.68e-05,0.0785,0.558,129.976
19,How High,0UqNIatgH3yQrJwqajOM2G,0.602,0.571,7,-6.957,0,0.04,0.00272,0.267,0.149,0.719,127.983
20,Highway Tune,7aOor99o8NNLZYElOXlBG1,0.582,0.962,4,-3.037,1,0.0542,0.0096,0.128,0.283,0.506,123.971
21,Eye of the Tiger,2KH16WveTQWT6KOG9Rg6e2,0.817,0.599,0,-9.249,0,0.0328,0.132,0.000311,0.0873,0.548,108.873
22,Death By Rock And Roll,6ISZ6sKcNBdYJS7XYHm5cV,0.493,0.943,4,-3.321,1,0.0608,0.000679,0.00897,0.134,0.493,96.997
23,Take Me Away,2TmVlVk2t6d9MoqLNasfgS,0.474,0.85,3,-4.439,0,0.0607,9.14e-05,0.143,0.225,0.572,156.267
24,Taking Me Back,7s7m8L8NcIYzgw0qmoghA8,0.678,0.746,7,-6.337,1,0.128,0.000994,0.000293,0.061,0.431,116.98
25,Shakin' Off The Rust,0Aergaee1PD3zbWcjxcUJl,0.585,0.8,7,-6.094,1,0.035,0.0017,4.96e-06,0.0981,0.368,110.971
26,Wayne,3ZFaioRJSjrdH01nfBgbNB,0.444,0.926,4,-4.948,1,0.123,0.0444,0.000715,0.547,0.279,150.134
27,Fire,5w6B0sAH7XauCvMOAtplQj,0.548,0.64,10,-6.285,0,0.0306,0.21,0.000328,0.08,0.392,108.326
28,Let The Bad Times Roll,0O2UONKvVfdwDyefKh5Yo1,0.495,0.976,6,-0.91,1,0.0792,0.00233,0.0,0.0668,0.603,159.01
29,So Happy It Hurts,6RZNw4khjjd6mehiLQ6Ztz,0.615,0.773,2,-3.491,1,0.0319,0.00205,0.0,0.106,0.666,123.476
30,When I'm Gone,7mVYYM1jFHP5d5ygTgjrf6,0.445,0.917,1,-3.17,1,0.0512,0.000294,0.000463,0.118,0.582,90.979
31,Low Down Rolling Stone,59oXRNRnmmTbwgkZkV7l4g,0.337,0.809,0,-2.969,0,0.0327,0.00738,0.000272,0.319,0.319,145.879
32,bad for you,5ft1dov1gOCcf63ZiqlPnY,0.546,0.785,9,-5.683,0,0.0553,0.0148,0.0,0.758,0.603,120.045
33,Adrenaline,5iaTwwgtEyJ7cy6lLTlGBb,0.523,0.783,9,-5.35,0,0.0333,0.00114,0.0,0.151,0.283,140.039
34,Quick Escape,3FoykAESe8MNT69DpM6B4c,0.417,0.932,9,-5.482,1,0.055,0.000187,0.00121,0.326,0.436,163.527
35,Gasoline,0GoXEhMzYwI1LCaohRqxGl,0.518,0.906,0,-4.14,1,0.0399,0.000957,0.000971,0.249,0.5,127.066
36,No One Knows,6NvRxjfYkkT2SpirAlmsjH,0.507,0.588,0,-4.881,1,0.0641,0.0359,0.000129,0.373,0.637,170.889
