setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,I'M ON ONE (feat. Drake),6wyhUr4Xw8z5uSy0AhoZfU,0.773,0.707,11,-5.71,1,0.0568,0.0103,1.04e-05,0.296,0.113,76.977
2,"Blood All On it (feat. Key Glock, Young Dolph)",2DdpOlqObnMU1IcMGLp0nk,0.858,0.7,7,-4.677,1,0.258,0.0277,0.0,0.109,0.825,140.08
3,Frozen,19n0UZuW8AArMVWNztoXu9,0.516,0.639,6,-8.716,1,0.5,0.141,0.0,0.101,0.252,126.073
4,Certified (feat. Gunna),31xA2Iti4kb3aMiX75e8Y5,0.664,0.559,6,-7.568,0,0.075,0.139,0.0,0.303,0.548,153.95
5,"Shake It (feat. Cardi B, Dougie B & Bory300)",0RkCnqwF8Tfl2QGPZwopyk,0.87,0.835,1,-5.875,1,0.311,0.0353,0.0,0.142,0.901,140.051
6,Petty Too (feat. Future),0VlpgNPHWCyh8xxLcaK2fp,0.824,0.577,2,-9.443,1,0.357,0.0109,0.0,0.107,0.442,154.081
7,Mopstick (feat. Kodak Black),5FAQb7Cfps6JCYl2ZjtWHO,0.847,0.358,1,-8.274,1,0.473,0.00179,0.0,0.111,0.218,163.979
8,Scrape It Off (feat. Lil Uzi Vert & Don Toliver),1dp8aQANyTRKssDeAYPiZe,0.594,0.679,7,-3.702,1,0.345,0.484,7.83e-06,0.114,0.66,106.726
9,CHICKENS (feat. EST Gee),53wBhj706wDMNuBj4FJ0RI,0.862,0.619,11,-6.197,0,0.221,0.0403,0.0,0.253,0.624,148.059
10,New 50's,1E2ukB8wWsO5BFVrhpgg99,0.784,0.626,1,-8.372,1,0.326,0.0172,0.0,0.215,0.534,83.989
11,Right On,6ws54n2IzyrIxxyzlG2bVJ,0.535,0.618,2,-5.668,1,0.382,0.0245,0.0,0.103,0.211,165.991
12,Hold That Heat (feat. Travis Scott),6OrTKLtcF7EBayOV2QqkSK,0.744,0.608,2,-6.386,1,0.0442,0.0295,0.0,0.397,0.0692,130.045
13,Thump Shit,5tLdDm1cVYAH2kk7TyjmdW,0.718,0.607,5,-7.307,0,0.185,0.00227,1.32e-06,0.299,0.499,144.93
14,Krazy Krazy,6ZjP85QdIaiTojLrKixvbT,0.593,0.818,11,-5.332,1,0.306,0.00207,7.57e-06,0.291,0.385,162.036
15,Serial Killers,5KcZNsrl7PMIxJ2xBbTwH3,0.752,0.617,7,-5.68,1,0.0544,0.0319,0.0,0.261,0.137,144.006
16,MilTroit (feat. Lakeyah),1K3LqqgTfHKyQfY0EMbnQF,0.609,0.783,0,-5.737,0,0.294,0.0775,0.0,0.169,0.598,180.123
17,I Be,3p4YmRsO7aOu8PUbwdN3OB,0.905,0.724,0,-6.255,1,0.237,0.00813,0.0,0.329,0.361,136.982
18,Goin Up,1wNdGz7BlB9kH5lDc1eLLb,0.732,0.672,10,-8.462,0,0.148,0.0642,0.0,0.121,0.16,137.03
19,Waddup (feat. Polo G),5teSgJfTCFK0ngDASJb99U,0.706,0.637,1,-7.261,1,0.35,0.187,0.0,0.199,0.289,76.062
20,Very Special,3S6DSiBFZuQrkqirp33iSB,0.866,0.649,1,-7.11,1,0.258,0.0419,0.0,0.098,0.195,155.042
21,Open Air,5JURxzoZ0r9FP6N01XRAAi,0.641,0.72,4,-6.373,0,0.315,0.0012,0.0,0.182,0.374,79.377
22,Ghetto Praise,1kAQDi1RFgIZ1ZvQMJ2bR6,0.684,0.612,6,-8.008,0,0.328,0.0542,9.71e-06,0.396,0.326,160.041
23,Slime Them (feat. Lil Yachty),15PbmOjutHh9O5IRp5yW6Z,0.735,0.65,1,-6.841,1,0.252,0.114,0.0,0.132,0.391,144.121
24,All 100s,3tZWlcLtAp7YHH8zt7cDVb,0.646,0.551,1,-9.034,0,0.434,0.0279,0.0,0.101,0.524,76.724
25,She Know It,07L33zaQbYewmYsNSSOxtf,0.896,0.443,2,-7.716,1,0.455,0.00734,0.0,0.125,0.0737,119.97
26,They Not Ready,6E5dZiOO0DswcJZH0qPOvU,0.624,0.767,2,-4.204,1,0.207,0.00703,0.0,0.298,0.335,167.724
27,Bestie,6r9xnueU24r4eoG3HXC87E,0.807,0.625,0,-6.67,1,0.351,0.0741,0.0,0.487,0.871,146.031
28,We Set The Trends (feat. Migos & ‎Juelz Santana) - Remix,3KNxJvz0dM6aPb6bVJdyKi,0.801,0.794,6,-4.674,0,0.315,0.0771,0.0,0.204,0.757,119.044
29,Computer Murderers,4N9YvASsNimNYJmSAVHA9f,0.672,0.564,1,-10.418,1,0.183,0.000408,0.0,0.0893,0.195,173.007
30,Thief In The Night (with G Herbo),46gUCMauloWD4iuobiQdsu,0.713,0.678,1,-6.34,1,0.156,0.0182,0.0,0.136,0.702,143.899
31,Repeat,3KFef9uMAxT4gyS2fEi9vd,0.887,0.403,1,-8.174,0,0.41,0.00677,2.1e-06,0.134,0.0852,139.978
32,4PF,1ijXnrufGNYg0LpSFVSsrf,0.697,0.464,8,-8.993,0,0.404,0.0829,0.0,0.115,0.208,156.254
33,4's Up,2f5hNzC7H56KsR1GAdG5cR,0.819,0.772,10,-4.961,0,0.3,0.00659,0.0,0.258,0.583,162.993
34,Bottom Of The Trap (feat. Icewear Vezzo & EST Gee),0Btz9n7eympYOWBp6ICg1P,0.892,0.464,1,-6.496,1,0.295,0.017,0.0,0.109,0.241,140.057
35,Free The Shiners,7f0jidOh8lBPZRZpANOEER,0.705,0.717,8,-7.498,0,0.223,0.0161,0.0,0.381,0.575,76.994
