setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Take It Easy - 2013 Remaster,4yugZvBYaoREkJKtbG08Qr,0.575,0.67,7,-10.39,1,0.0318,0.343,4.95e-06,0.129,0.74,139.191
2,Lowdown,0nlZjTPzW6S9JIESuGfImT,0.662,0.788,11,-5.544,0,0.0635,0.0812,0.141,0.0351,0.929,116.499
3,Escape (The Pina Colada Song),5IMtdHjJ1OtkxbGe4zfUxQ,0.836,0.509,0,-13.668,1,0.0548,0.467,4.1e-06,0.0436,0.949,138.714
4,Reminiscing - Remastered,34D6mvDTAPypm92EPs8Rxa,0.54,0.465,7,-11.259,1,0.0302,0.652,0.00544,0.132,0.341,94.731
5,Minute by Minute,37oLDb3119IdKSIFQmSGRj,0.735,0.276,0,-18.071,1,0.044,0.549,0.000201,0.1,0.966,142.979
6,Summer Breeze,01UYpHuzHi4eB9PAbDoPY2,0.49,0.581,5,-6.566,1,0.0388,0.553,0.0177,0.0764,0.318,88.718
7,Guilty (feat. Barry Gibb),60mGckXEG1EzR4VmjYLfEW,0.626,0.425,0,-15.656,1,0.0356,0.231,0.0,0.114,0.952,150.875
8,Brandy (You're a Fine Girl),2BY7ALEWdloFHgQZG6VMLA,0.716,0.625,1,-11.369,0,0.0601,0.396,1.97e-05,0.134,0.826,125.276
9,Biggest Part of Me,6JHXiRD1QjMK1N6AQEnL04,0.498,0.723,10,-8.053,1,0.05,0.238,0.0,0.353,0.882,153.227
10,Don't Go Breaking My Heart,7HW5WIw7ZgZORCzUxv5gW5,0.729,0.844,5,-8.824,1,0.0344,0.149,2.87e-06,0.0604,0.777,131.459
11,She's Gone,5dFoWIiJ2814hRwMYDcFiU,0.523,0.341,4,-14.034,1,0.0388,0.313,0.000114,0.621,0.355,77.487
12,Reelin' In The Years,1I7zHEdDx8Ny5RxzYPqsU2,0.523,0.758,2,-9.81,1,0.0403,0.133,0.0,0.0952,0.766,135.437
13,He's so Shy,6R9NqD0WX9sJYs6PbA5onu,0.871,0.736,0,-7.896,0,0.0675,0.22,0.000725,0.0894,0.967,115.149
14,Lido Shuffle,2NtqZmfRIDkXJ2YvY2Kv1F,0.593,0.783,10,-4.716,1,0.0358,0.0165,7.26e-05,0.167,0.646,141.345
15,What You Won't Do for Love,6Dk5fHTvH897XrVzCO64Mx,0.642,0.396,6,-16.843,1,0.0642,0.462,0.000823,0.106,0.797,84.082
16,What a Fool Believes,2yBVeksU2EtrPJbTu4ZslK,0.758,0.378,8,-15.308,0,0.0449,0.284,0.0,0.049,0.985,120.736
17,Dance with Me,2GORop0i2cyx8C0A3JzL44,0.565,0.392,2,-10.083,1,0.0268,0.551,0.000106,0.247,0.493,98.485
18,"Whenever I Call You ""Friend"" (feat. Stevie Nicks)",5NCY3uTCovd93aqwbodUhm,0.461,0.551,0,-13.095,1,0.0345,0.114,0.0,0.11,0.689,129.716
19,Sara Smile,1qjrYozGqc7upUgfN776lZ,0.592,0.398,2,-10.81,0,0.0678,0.357,0.000925,0.119,0.204,150.038
20,FM,0zw5bUUdOxVLBGMsb0SuBh,0.787,0.607,11,-9.133,0,0.0274,0.119,0.00305,0.0929,0.681,109.38
21,Thunder Island,3FkQN4NyCFlfn7fWzBkWCj,0.497,0.718,0,-7.744,1,0.0275,0.00113,0.0606,0.544,0.792,127.79
22,Steal Away - Remastered,7v5rsCN3LhX9XaIlWyTdx3,0.72,0.569,2,-11.466,1,0.0418,0.142,0.000188,0.0629,0.713,122.403
23,Everywhere - 2017 Remaster,254bXAqt3zP6P50BdQvEsq,0.73,0.487,4,-10.991,1,0.0303,0.258,0.01,0.0852,0.731,114.965
24,You Make My Dreams (Come True),2dlEdDEmuQsrcXaAL3Znzi,0.737,0.569,5,-6.702,1,0.0552,0.261,0.308,0.046,0.912,167.202
25,Takin' It to the Streets,1WDgdCoNSN0fosaTaLGXKU,0.637,0.697,0,-8.903,1,0.0297,0.171,0.0,0.108,0.938,147.103
26,So Into You,3Sm5TYFgMXyXwgAcY2xweX,0.622,0.409,5,-13.484,0,0.0362,0.65,0.023,0.142,0.785,86.173
27,How Long,4AjKVyNUMdUveKK5OH1OJD,0.717,0.406,0,-13.954,0,0.0305,0.587,0.103,0.0869,0.703,123.213
28,Ride Like the Wind,7gUMShP1l20tC0xf17Zplk,0.669,0.707,0,-13.66,0,0.0478,0.347,0.000716,0.0997,0.806,124.335
29,Hey Nineteen,1tjK9HhmpEfk0ijyIKsoUk,0.952,0.301,2,-13.936,1,0.0612,0.0126,0.000931,0.0387,0.728,119.629
30,I'd Really Love to See You Tonight,2r008pcfVYc0zgQvSRqUJE,0.62,0.556,5,-12.044,1,0.0336,0.184,0.0,0.301,0.592,119.172
31,Islands In the Stream,6dnco8haegnJYtylV26cBq,0.617,0.411,8,-12.075,1,0.0373,0.675,1.04e-06,0.0886,0.738,203.934
32,"Lovin', Touchin', Squeezin'",0VQ0n5gMgJLNixG8BfWBT5,0.403,0.644,2,-8.608,1,0.0439,0.0991,0.000179,0.231,0.714,211.27
33,Lovely Day,0bRXwKfigvpKZUurwqAlEh,0.692,0.651,9,-8.267,1,0.0324,0.292,0.00241,0.105,0.706,97.923
34,Love Will Keep Us Together,4pCNJwixy2ImFncaPY2yE2,0.621,0.788,4,-4.326,1,0.0314,0.354,0.0,0.305,0.926,129.62
35,Love Will Find A Way,2LqzuRukwnpeWYLXBtiwmq,0.78,0.491,7,-13.934,1,0.0351,0.00719,1.8e-05,0.0677,0.843,124.238
36,Peg,5DQAHkO9U4IZIombHefcqK,0.797,0.566,7,-11.132,1,0.0321,0.0608,0.000362,0.14,0.939,116.976
37,This Is It,0YO8KsprTrEUEvJevpI7Na,0.641,0.497,7,-12.228,0,0.029,0.254,2.15e-06,0.158,0.743,102.274
38,Save It For A Rainy Day,5AHjRKFCVUaRClF2Oxx8Ld,0.625,0.536,8,-8.962,1,0.0354,0.572,8.03e-05,0.119,0.729,129.178
39,Rosanna,37BTh5g05cxBIRYMbw8g2T,0.365,0.513,7,-13.034,0,0.0357,0.0208,0.000147,0.205,0.739,80.647
40,Hot Rod Hearts - Remastered,1QEZIhNmz28cJ2Lr45MKJ4,0.601,0.487,7,-11.119,1,0.0335,0.334,1.6e-06,0.315,0.674,118.371
41,Right Down the Line,2Xb6wJYGi0QXwURw5WWvI5,0.783,0.322,0,-15.091,1,0.0343,0.213,0.00243,0.114,0.77,128.226
42,Alibis,5t8YfppCGP89RcJrjs4Ybj,0.84,0.503,9,-13.006,1,0.03,0.304,2.74e-05,0.0683,0.78,107.149
43,How Much I Feel,3GVhCuS4BRxCTvVj4Cmc8w,0.667,0.513,4,-7.96,1,0.026,0.305,0.0,0.0851,0.518,95.306
44,I Keep Forgettin' (Every Time You're Near),5GvWrvLIqoHroq7YvO260M,0.734,0.485,4,-13.865,0,0.0465,0.357,0.00019,0.0401,0.933,95.321
45,Sailing,6Hu6dzwlvoyg3zBUC8k4BK,0.469,0.382,2,-13.203,1,0.0374,0.364,0.00025,0.36,0.178,149.994
46,On And On,0Vth3l4XAo8hNYmxjzhr2y,0.57,0.462,11,-10.483,1,0.0283,0.74,0.000223,0.104,0.545,102.3
47,Hold On,1NZAeh2a8Y6Ry5hGBPGP1e,0.671,0.516,7,-15.981,0,0.0519,0.488,2.8e-05,0.138,0.711,124.699
48,You Can't Change That,5vIvHVCP0n6EXTMH0fOpAp,0.691,0.706,1,-5.983,0,0.115,0.27,0.0,0.272,0.892,169.722
49,Sundown,0SjnBEHZVXgCKvOrpvzL2k,0.794,0.427,11,-15.492,1,0.029,0.334,1.04e-05,0.0703,0.751,105.732
50,Time Passages,5zVKisBri6JH1fooBhUaVq,0.694,0.649,3,-7.176,1,0.0281,0.357,0.00258,0.0868,0.603,111.98
51,Easy Lover,5LYJ631w9ps5h9tdvac7yP,0.74,0.923,1,-5.082,1,0.0369,0.105,0.000163,0.0825,0.93,128.871
52,Get Used to It,4lFO4X6ef61SR6M1KXkSRN,0.661,0.842,0,-6.893,1,0.047,0.0986,0.000124,0.0534,0.899,85.427
53,Heart to Heart,2KaA0Tgl3RmQLzcvLEtzLH,0.698,0.456,0,-12.773,1,0.039,0.356,2.96e-05,0.0313,0.796,81.66
54,Magic,56BSwBKWHYldQOgYLHiehs,0.697,0.611,2,-5.997,1,0.0265,0.0178,8.92e-05,0.11,0.603,103.77
55,You're the Only Woman - You & I,11qmuUlW5q5diLiVSOlsSF,0.738,0.516,8,-8.861,0,0.026,0.0899,0.0,0.0666,0.869,104.925
56,Slow Hand,3fvDLsiTHPQNgzuMd3Mpb5,0.826,0.558,6,-7.766,1,0.0322,0.403,1.94e-05,0.0631,0.359,110.77
