setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,In a Stranger's Arms,7s6jUeM4ENpUrHCSzQZV0v,0.497,0.433,9,-7.521,1,0.0278,0.377,0.0,0.099,0.357,97.856
2,Dear August,16gW9O8A4rIMx5OOVlzsSn,0.643,0.324,0,-7.817,1,0.0338,0.8,0.0,0.111,0.444,147.019
3,Someone Like You (feat. Joy Oladokun),0hiHNxqKGf3GZgVTIOAiiK,0.614,0.526,5,-7.492,1,0.0603,0.468,0.0,0.0939,0.366,177.913
4,Almost (Sweet Music),5Apvsk0suoivI1H8CmBglv,0.523,0.687,7,-5.601,1,0.105,0.0215,2.86e-06,0.203,0.711,90.036
5,Out Of The Blue,3aV4xJGmhJHnyRhnzx5iHE,0.515,0.311,6,-7.743,1,0.0287,0.328,0.000153,0.111,0.172,116.575
6,July (feat. Leon Bridges),3V0nnQhqvbE3JmiDdnzQFQ,0.708,0.211,9,-9.603,0,0.0424,0.853,0.0,0.131,0.362,72.5
7,willow,0lx2cLdOt3piJbcaXIV74f,0.392,0.574,7,-9.195,1,0.17,0.833,0.00179,0.145,0.529,81.112
8,Slow Burn,6ET9kf9riLETWs9lePUEAI,0.555,0.43,2,-9.105,1,0.0295,0.462,0.000191,0.0869,0.274,147.613
9,Head And Heart On Fire,0p4j657L1sMElovvsUlyiD,0.569,0.311,10,-8.267,1,0.0276,0.699,0.0,0.0938,0.244,125.913
10,Every Time You Go Away,5OtvDpNhxUde1hkAjvzSzE,0.322,0.127,7,-14.197,1,0.0352,0.894,5.99e-05,0.143,0.119,144.2
11,October Sky,4YcZgvktXXqoI6WKtG7sl3,0.52,0.491,2,-6.003,0,0.0258,0.561,0.000208,0.297,0.414,81.934
12,If I Didn’t Love You,2Zy7SjGT12yzvFohfAKWDq,0.567,0.242,10,-11.616,1,0.0487,0.879,9.12e-06,0.105,0.35,147.299
13,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),4CHpVfAhuxNJ3ibExe6kxO,0.599,0.494,2,-7.61,1,0.0372,0.816,0.0,0.101,0.44,142.893
14,Queen of Silver Linings,2v705YlYolKiu6P2FbqOat,0.466,0.253,0,-6.265,1,0.0334,0.838,1.33e-06,0.254,0.342,140.629
15,In My Life,2kgnKo9QCHpohSPxkDStLy,0.609,0.143,8,-12.388,1,0.0282,0.893,0.0,0.156,0.189,87.153
16,Small Talk,1HkB10b5D1tb0fSb1QsOvD,0.854,0.379,2,-8.572,1,0.044,0.197,0.0,0.135,0.649,112.974
17,Rainbow,79qxwHypONUt3AFq0WPpT9,0.581,0.197,3,-7.697,1,0.0329,0.88,0.0,0.107,0.349,130.367
18,In Your Eyes,5c0z1ccAIoZl1okUhiqNOc,0.44,0.453,1,-7.556,1,0.0392,0.903,1.34e-05,0.112,0.352,90.214
19,august,3hUxzQpSfdDqwM3ZTFQY0K,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,0.403,89.937
20,Beyond,1Omt5bfz1tZUCqd26HxbS0,0.581,0.687,6,-5.4,1,0.105,0.229,0.0,0.109,0.187,76.014
21,Wildflowers,46Nz7uguhTyUWOXhRBbzxa,0.474,0.213,11,-11.677,1,0.028,0.853,3.1e-06,0.241,0.353,84.962
22,Mood Ring,7rb4dcBfW0m1LQQcDCh4Hv,0.683,0.478,5,-10.435,1,0.0744,0.422,1.17e-05,0.24,0.373,95.011
23,If You Love Her,727Z2S2mtNH46CbP9EWPwY,0.286,0.445,6,-8.087,1,0.0347,0.355,0.0,0.114,0.278,50.827
24,In Real Life,1WF1MdrtmlazEkZT7Rzhve,0.564,0.518,7,-7.343,0,0.0294,0.0144,0.000336,0.0946,0.348,139.968
25,What They'll Say About Us,4W1gUkq2TAOOFCBet3i3WR,0.538,0.318,7,-13.036,0,0.0417,0.88,7.28e-05,0.116,0.0897,144.988
26,cherry blossom,3PT3dmokgfqJSsZxv4Njw5,0.641,0.818,6,-6.757,1,0.0453,0.119,0.000444,0.168,0.355,109.967
27,Like A Circle,2mxcjwn0koMIgVtgqiMJtH,0.446,0.111,4,-10.269,1,0.0371,0.938,0.0,0.0686,0.259,90.666
28,I Guess I Just Feel Like,4Im6GRj17qa7NW76OsJh1s,0.548,0.483,4,-9.102,1,0.0268,0.515,0.0674,0.0922,0.166,159.952
29,Days Like This,0W6vig3DpP1D3R4w72hdWp,0.642,0.214,3,-9.25,1,0.198,0.909,0.0,0.122,0.38,80.444
30,The Bones,7yFhA2fUsL2oIMWlw5DaHQ,0.612,0.57,11,-6.642,0,0.0347,0.278,0.0,0.0963,0.334,77.004
31,Older Than I Am,15VDHAMS4JCLziCjNkmQl1,0.44,0.306,9,-8.947,1,0.0363,0.891,0.0,0.103,0.201,117.288
32,Conversations in the Dark,6TYlDTa9AQDvjqwbxlvFyI,0.372,0.355,8,-8.436,0,0.03,0.754,0.0,0.167,0.142,126.705
33,Lonely City,4q3biaQQoADspV16lbsfPH,0.735,0.37,5,-12.581,0,0.0705,0.389,0.00163,0.106,0.305,112.015
34,Girl,6zP2bIJWqFZtJ8dtxeDzcp,0.377,0.334,1,-11.755,1,0.0292,0.714,0.000599,0.115,0.22,110.013
35,This Time Tomorrow,1Cu8QneXq0Hq1HJqkZDPbN,0.606,0.326,10,-10.031,1,0.0294,0.841,0.0,0.139,0.414,91.626
36,Lover,1dGr1c8CrMLDpV6mPbImSI,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534
37,Young And In Love,4uBwFIBwZcgHNvwNjOqICX,0.626,0.575,4,-7.507,1,0.0535,0.0694,3.34e-06,0.114,0.222,119.97
38,Until I Found You,0T5iIrXA4p5GsubkhuBIKV,0.539,0.508,10,-6.05,1,0.0288,0.727,0.0,0.174,0.227,101.358
39,Crying Over You,53bCcVMGv0S2aIYvfju2Tt,0.463,0.411,11,-8.25,1,0.0414,0.679,0.0,0.0453,0.163,147.3
40,A Little Closer (FINNEAS Version) - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,3tcquFqOHmSIDmhW4rH2Pn,0.373,0.144,11,-17.085,1,0.0372,0.932,4.51e-05,0.0924,0.157,140.384
41,Full Circle,2DtYtc9nMEdyjtJsT1ARqt,0.298,0.324,6,-9.436,1,0.0312,0.756,2.03e-05,0.107,0.0628,179.426
42,The Subway Song,2ynBghJiu4H9qGoXhuFS8x,0.58,0.662,0,-6.208,1,0.059,0.123,0.000131,0.138,0.406,108.047
43,Meet Me At Our Spot,07MDkzWARZaLEdKxo6yArG,0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995
44,Slow Fade,3KAPg0XP3176meHGFGN16F,0.725,0.313,2,-10.201,1,0.0497,0.769,0.000901,0.0659,0.394,80.009
45,Love on the Weekend,2ZrIGSO7RUz0Di1QrrqiI9,0.715,0.59,7,-7.855,1,0.0286,0.652,0.000551,0.0627,0.395,119.966
46,slow summer,4JEGeqPF0RH7oi1lHdtbK6,0.658,0.431,5,-8.902,1,0.0437,0.817,8.28e-06,0.21,0.464,90.003
47,Hot Tears,1aU0F8KL0vaKQacSMQRN9d,0.699,0.453,11,-9.67,0,0.0428,0.0622,0.00308,0.0958,0.68,150.231
48,Put A Little Love On Me,7LyBwug9tJgbaEzRCqtY78,0.589,0.471,10,-4.908,1,0.0262,0.674,0.0,0.105,0.262,95.972
49,Put Me Back Together,6LpxEWeuvaMrrsGgX5CSQv,0.497,0.527,0,-5.192,1,0.0276,0.691,2.41e-05,0.0629,0.293,137.061
50,Caroline,7FTtz6C2lhpUHAZxMd1XcG,0.434,0.155,0,-10.549,1,0.0329,0.861,0.000384,0.0919,0.0657,104.022
51,The Stranger,6lJQpz7R61Yn05aa7bKZ3k,0.269,0.484,6,-6.985,0,0.0309,0.219,0.000568,0.091,0.152,78.792
52,Texas Sun,24ntSW3QVJzR79lHAAOTaY,0.636,0.634,7,-10.01,1,0.0342,0.0364,0.147,0.0998,0.599,111.563
53,Dreams - Piano Version,7lcUx8bgiwGEn0BHNo3O31,0.562,0.187,0,-9.156,1,0.0313,0.921,0.0,0.0813,0.199,117.59
54,Believe,5U8frcz1zLfKDX5sDTpsnV,0.395,0.332,7,-9.503,1,0.0262,0.852,0.0169,0.104,0.0493,95.089
55,Better Off,2oBzsiZT8qmlovYS1FMf06,0.623,0.458,11,-7.727,1,0.0262,0.737,2.69e-05,0.7,0.426,97.92
56,What A Time (feat. Niall Horan),3mJiMnKrpIYSNRRFounMtY,0.538,0.463,0,-6.185,1,0.0295,0.652,0.0,0.087,0.376,132.953
57,Coming Home,65GbQI9VDTs7vo6MJL2iJA,0.424,0.465,6,-6.595,1,0.0297,0.461,5.52e-05,0.154,0.462,112.418
58,No Right To Love You,4SHJLxcRicQyT42jG95Y5u,0.602,0.43,1,-9.484,1,0.0401,0.654,0.00013,0.104,0.298,159.845
59,Somebody - Acoustic,4uY3I4GYC1NfonzhQZuMax,0.698,0.391,3,-5.923,1,0.0483,0.942,7.67e-06,0.101,0.322,117.799
60,For Tonight,61Emqg95O9zo1GNOcyxq4Y,0.442,0.517,9,-7.807,1,0.0548,0.0699,0.0,0.114,0.2,79.867
61,Incredible,5bZeugrr7oIATt1CLJuhT4,0.556,0.589,0,-6.209,1,0.0431,0.306,0.0,0.147,0.264,180.942
62,Love Flew Away,6FwkV9baY3ERqmxPsBLzYf,0.364,0.36,5,-8.464,1,0.0308,0.92,2.27e-06,0.102,0.313,83.578
