setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Blue Moon,1pZn8AX1WulW8IO338hE5D,0.639,0.269,8,-11.435,1,0.0698,0.982,0.12,0.141,0.539,124.866
2,Say It (Over And Over Again),016HKF7A4O7tatoJ9BgZM1,0.488,0.124,3,-13.038,1,0.0404,0.963,0.333,0.246,0.205,66.105
3,Someone To Watch Over Me,3Gcpi1CwKoQtc8B3H2ZOIX,0.419,0.0284,0,-24.09,1,0.0357,0.987,0.586,0.105,0.121,71.502
4,Everything Happens to Me,4Y5fyQ5fBysC32Na5sZT3J,0.511,0.193,7,-15.148,1,0.0439,0.809,2.17e-05,0.129,0.164,116.348
5,This Is Always,6Kr25pa3pTd4no3yA0EcW1,0.417,0.0644,4,-19.687,0,0.0359,0.971,0.000134,0.126,0.138,113.713
6,All The Things You Are,5gPetRvxQKyOjjwZX1dzbt,0.45,0.154,1,-14.485,1,0.0373,0.938,4.37e-06,0.16,0.243,110.666
7,My Foolish Heart,6yKkA8HzwWTZ5taIMaG4Nm,0.395,0.121,9,-23.427,1,0.0327,0.935,0.397,0.697,0.139,114.521
8,'Long As You Know You're Living Yours,5z7deaTe21B7QVPhSDouL1,0.605,0.376,5,-14.978,1,0.0322,0.253,0.207,0.117,0.948,131.927
9,Dedicated To You,7981FAW8DbDs1ueK4Ha8R2,0.462,0.0536,8,-17.55,1,0.0321,0.96,0.000219,0.121,0.138,63.118
10,Moon River,4rrLFMxzVVwAJjmvHLPL8y,0.319,0.157,0,-19.728,0,0.0368,0.987,0.849,0.138,0.266,191.259
11,Misty,7gHFBNy0Qn86xGKJ9OdFTw,0.224,0.214,2,-14.455,0,0.0348,0.976,0.00094,0.367,0.14,83.906
12,Night And Day,5S31HUP7cg0iOFxZ3QGFN5,0.45,0.285,8,-10.087,1,0.0414,0.796,0.0,0.0666,0.426,117.494
13,Hipsippy Blues,3iFlfQ0CXc9URaAvai8VUe,0.573,0.247,5,-19.282,0,0.0627,0.713,5.64e-05,0.103,0.604,138.234
14,Line For Lyons,0GUUhTWMylAx5pHDI42t1V,0.543,0.133,7,-16.846,0,0.1,0.805,0.00135,0.125,0.464,171.493
15,Foolin' Myself,1M0bEJicvT2qmdJej9wjyk,0.493,0.295,1,-15.536,1,0.0489,0.537,0.241,0.241,0.486,99.579
16,Stormy Weather,2IdwQxhJn9ZE4zIotcCefR,0.262,0.356,0,-8.031,0,0.0303,0.613,0.0,0.175,0.426,174.176
17,"Köln, January 24, 1975, Pt. II C - Live",4FMI4Ln1LhyxGldkNXan5e,0.27,0.688,0,-16.305,1,0.0547,0.973,0.884,0.669,0.219,75.845
18,Autumn In New York,0f2489MzoisF9pKduawvce,0.425,0.0469,7,-18.612,0,0.0354,0.955,0.0,0.137,0.154,135.335
19,My One And Only Love,1BPmVDqR4cX9aFC0Qx0eWn,0.461,0.0546,0,-18.982,1,0.0362,0.988,0.208,0.126,0.23,128.91
20,It's A Lovely Day Today,5BLr7EEgi2JdKbMbYjFXas,0.573,0.275,8,-10.684,1,0.0534,0.84,0.0,0.196,0.588,140.9
21,Teach Me Tonight,0Rk9byjmZksAJX15onGns5,0.558,0.231,5,-11.436,0,0.0812,0.805,0.0,0.142,0.403,73.103
22,I Can't Give You Anything But Love,5doczA8CcUYo0J9H7uvHgU,0.749,0.152,5,-16.745,0,0.0493,0.655,0.000254,0.086,0.292,101.779
23,It Never Entered My Mind,6PKCEB5JzjCizpz9hUQcpX,0.564,0.097,5,-16.442,1,0.038,0.958,0.0588,0.119,0.393,132.653
24,I Remember You,5eMz1VtT2zNtsyh1bDgDhb,0.564,0.305,10,-14.224,0,0.063,0.794,0.0983,0.152,0.571,115.739
25,These Foolish Things - Remastered 1995,7AHF3V7qRPhZV7gzJLZ3CL,0.593,0.103,10,-14.961,1,0.081,0.986,0.6,0.12,0.443,66.283
26,I'm A Fool To Want You,3kYrQXSao9IXp3EzMZQt5J,0.497,0.153,5,-12.65,0,0.0407,0.978,0.809,0.138,0.276,100.222
27,Louise,4z1E9GltZHciLum0ybby9h,0.781,0.106,9,-17.396,0,0.0584,0.947,0.0835,0.12,0.313,113.528
28,Softly As In A Morning Sunrise,4vWMrM0AwlhRlkAdQtC2zn,0.634,0.327,0,-9.703,0,0.0551,0.709,0.0131,0.158,0.498,80.825
29,How Long Has This Been Going On?,0HEU3berJ5OBojU8XmEk1c,0.303,0.175,1,-14.203,0,0.0378,0.974,1.32e-06,0.105,0.25,168.743
30,For Lena And Lennie,5uNtaTmigAubx5fLfO92AW,0.437,0.0857,0,-18.129,1,0.0384,0.84,0.641,0.0898,0.206,73.161
31,But Not For Me - Vocal Version,3pfbQmD5xGH9Tcc7GqGfSL,0.626,0.152,5,-14.182,0,0.0405,0.934,6.05e-05,0.12,0.545,82.174
32,St. Thomas,05LNBtMuc26HSAHh7C6iG8,0.552,0.509,0,-9.828,1,0.0428,0.605,0.509,0.0827,0.74,112.049
33,Stormy Weather,5PocwBP4qm33W4eQSZyVBZ,0.621,0.197,7,-14.483,1,0.0573,0.99,0.878,0.152,0.569,120.194
34,What's The Rush,2GIqdPK9c8npWf07kU6bqH,0.405,0.0277,3,-21.897,1,0.033,0.97,0.535,0.114,0.279,51.059
35,Almost Like Being In Love,6CDQBADsdzJwc3qZ3OPDHH,0.561,0.346,0,-12.596,0,0.0409,0.873,0.399,0.104,0.697,93.689
36,Porgy (I Loves You Porgy) - Outtake,3NmLBig4t7RZWbLT3U2eBb,0.389,0.145,5,-22.965,1,0.0301,0.92,0.876,0.656,0.15,99.541
37,O Pato,5PXIzyJURVKyO1cwVDuGEK,0.608,0.387,11,-20.157,0,0.0411,0.86,0.662,0.187,0.809,91.489
38,Solitude,30QD4VRP9yEneOh0eGTrtJ,0.462,0.15,8,-13.531,1,0.0522,0.984,0.000902,0.105,0.19,98.66
39,The Way You Look Tonight,4jCoxXaEKeTWkQ7HL1d5de,0.649,0.271,5,-15.198,0,0.0498,0.708,4.54e-06,0.124,0.626,126.026
40,'Round Midnight,1wl5b2lw3YagQtZiYZbQWP,0.542,0.32,8,-9.975,1,0.0387,0.907,0.649,0.0609,0.206,116.648
41,It Could Happen To You,34xixFi5y3I5FIOH1ZWisx,0.623,0.403,5,-11.121,0,0.0426,0.451,1.13e-05,0.448,0.631,93.911
42,Love For Sale - 1959 Version,43hj7RjOE5vXtgnqPidEv4,0.388,0.461,10,-11.718,0,0.0924,0.705,0.0,0.186,0.674,72.884
43,Joy Spring,2oMaXY0yiWhAEWD7SutXh2,0.654,0.334,8,-12.662,1,0.0521,0.702,0.714,0.114,0.697,81.544
44,Skating In Central Park,1cpANF6zMBoFoxkoIjZHjv,0.478,0.0294,0,-25.319,1,0.0453,0.993,0.948,0.105,0.148,124.308
45,On The Sunny Side Of The Street,38R2EViAkYOFG8ZkG3GLtW,0.671,0.352,0,-11.511,1,0.0556,0.532,0.000141,0.11,0.396,120.235
46,April In Paris,34zhjduFdQFhkRUJ230h9T,0.496,0.127,0,-14.211,1,0.0382,0.927,7.07e-05,0.132,0.211,74.746
47,"Straight, No Chaser",6YYu8qFzcY1ZyzzsJIQM12,0.465,0.35,3,-12.977,1,0.0403,0.41,0.279,0.135,0.62,93.336
48,I Fall In Love Too Easily,1wnbi9NzQPBCobZ6OYCpqH,0.476,0.0794,9,-19.166,0,0.0365,0.955,0.872,0.112,0.118,103.181
49,Solar - Rudy Van Gelder Remaster,16KZuJfRKqMZQvmOibsVqX,0.636,0.181,5,-17.511,0,0.0456,0.864,0.00251,0.0706,0.697,84.203
50,Cheek To Cheek,3MRu7wA7ziRNf2cZr9gqtb,0.632,0.202,2,-13.068,0,0.0587,0.766,0.0,0.146,0.488,134.298
51,Have You Met Miss Jones?,6916T4FnaJvcmGl9PDbbz7,0.7,0.0908,10,-20.601,1,0.0528,0.842,0.511,0.0883,0.0864,81.153
52,Autumn Leaves,1QlTNF43OyKK9BorIRsJ8o,0.35,0.607,5,-11.141,0,0.0498,0.794,0.446,0.116,0.597,187.101
53,Crystal Silence,5F8rPLt2c52p0SK7kiH26b,0.203,0.0186,9,-24.277,0,0.0408,0.985,0.377,0.0728,0.0481,76.591
54,Summertime,6cU4urQRUieTBH08yKHAqj,0.339,0.342,7,-7.596,0,0.0313,0.962,0.319,0.162,0.393,132.599
55,Alone Together,47xU4Sm1RWZgRgugWPFxzz,0.589,0.386,5,-8.013,0,0.0441,0.75,0.0,0.15,0.518,142.371
56,Stolen Moments,1tbzRQCZUoKYMCxzK0Jx5p,0.476,0.273,7,-17.457,0,0.0334,0.89,0.9,0.0978,0.164,117.779
57,Stella By Starlight (feat. John Coltrane & Bill Evans),4zxd4tiXPlWMqoJltbVTbE,0.47,0.144,10,-12.824,1,0.0365,0.912,0.000118,0.0965,0.243,84.787
58,There Will Never Be Another You,6oSm3mBWFxJHEnjE2IqhmA,0.588,0.0387,0,-17.944,0,0.06,0.978,0.823,0.116,0.342,83.4
59,You Go To My Head - 2020 Mix,7KsJkshpIjjeIwyKnkhQUc,0.147,0.215,3,-14.594,0,0.0346,0.965,0.000928,0.184,0.102,171.46
60,Windows,0m8tSPLHhjhGToD6LW0RPp,0.503,0.344,1,-19.024,1,0.0369,0.673,0.381,0.096,0.468,108.489
61,A Day In The Life,5FBf12F4ry9TXoZAvISu6F,0.483,0.364,9,-10.78,0,0.0265,0.564,0.299,0.0542,0.349,98.445
62,Never Will I Marry,2bOUrmH6OljKtXOLjvVEU8,0.589,0.184,0,-12.282,1,0.049,0.631,0.0,0.0819,0.343,98.365
