setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,cherry blossom,3PT3dmokgfqJSsZxv4Njw5,0.641,0.818,6,-6.757,1,0.0453,0.119,0.000444,0.168,0.355,109.967
2,Fancy,2em9RcCS4mlJFHQ2Xw82T9,0.439,0.674,10,-7.64,0,0.0845,0.252,0.00461,0.143,0.306,106.789
3,So Hot You're Hurting My Feelings,5B6Kjha6RRIMWGN7zGsAaT,0.795,0.576,6,-4.971,1,0.0289,0.0787,1.01e-05,0.121,0.847,111.975
4,I F*cking Love You,7lYjepjDeboEus0v2nSqu5,0.66,0.761,5,-5.864,1,0.0502,0.153,0.0,0.0922,0.356,107.016
5,Yuck,5cYEuFqzITZlZzpoR1sHvu,0.765,0.675,1,-5.687,1,0.0402,0.0585,1.51e-06,0.0703,0.886,100.939
6,ARE YOU LETTING GO? (feat. BENEE),48yXA9OSJ02608WYnTo4ps,0.559,0.737,3,-6.487,0,0.0298,0.331,1.98e-05,0.163,0.145,127.038
7,You,2cc8Sw1OnCuA5bV8nqWqpE,0.691,0.695,0,-5.6,1,0.0367,0.0592,0.0,0.0647,0.514,106.064
8,Lose Yourself,50BCSiudZXPTLHWkQzulII,0.651,0.638,0,-8.14,1,0.0797,0.149,0.00127,0.0846,0.28,125.966
9,For My Friends,6vs83ufnw4IVbotV0qv6C8,0.472,0.683,1,-6.007,1,0.0694,0.0243,0.0,0.163,0.197,85.045
10,If You Want Me,1zzUsVoY12XzrKN3dYHELh,0.198,0.423,8,-10.613,1,0.0366,0.339,0.00606,0.344,0.089,109.049
11,SUPERIMPOSE,09c6U0P7mywiapQTEw9Vgk,0.709,0.688,2,-7.008,1,0.0491,0.191,0.00166,0.176,0.369,107.958
12,Gasoline,3KyKxJ4P3pVCgaZwaq2rUC,0.728,0.741,6,-7.075,0,0.0473,0.000582,0.00206,0.33,0.31,123.006
13,Temper,5Zt29iKebWhkpbnsv92HuT,0.701,0.776,6,-5.735,0,0.0594,0.239,0.0,0.0974,0.543,137.989
14,POSE,1Mf7qE54NoBp5hrZV2iPrX,0.851,0.562,4,-8.02,0,0.114,0.328,0.0476,0.14,0.424,115.964
15,Constant Repeat,0U9ltIN4q3aBKGZDZq5cAW,0.832,0.677,0,-6.442,0,0.0414,0.113,0.0,0.241,0.49,126.015
16,Far Cry,1XbclEPLmGD9jYPzdR4avl,0.712,0.47,0,-7.238,1,0.0419,0.101,0.249,0.095,0.214,117.047
17,Slow Dancing - Hazel English Remix,5XLyFoBmLC4iV9R1Uqsfzw,0.542,0.817,7,-4.433,1,0.0284,0.0554,0.424,0.0717,0.43,114.031
18,Anything But Me,32JZt8EmiioCGTU6UIXJ4E,0.641,0.776,0,-5.171,1,0.0684,0.0017,0.00021,0.127,0.554,114.679
19,Lola,5VDmaEUjH0SGBDDjYgoxHW,0.589,0.631,3,-7.566,1,0.0389,0.0988,0.00317,0.17,0.773,158.988
20,Naked in Manhattan,74oXlQPr6x05HDrGVaiYXZ,0.771,0.704,1,-5.098,1,0.0315,0.0835,0.0,0.0935,0.55,118.01
21,That's Where I Am,4f1KkbXHnfIVZ9vmIExByJ,0.269,0.764,7,-3.735,1,0.0534,0.132,0.0,0.0723,0.15,181.299
22,Love Me More,2OnrjKShafw7qtoyLkKNR2,0.55,0.707,1,-6.222,0,0.0323,0.323,2.56e-06,0.098,0.487,136.318
23,Slow Song (with Dragonette),7HDcd1vyDdNWq897wSILCZ,0.77,0.743,6,-3.251,1,0.0299,0.0205,0.0003,0.144,0.843,123.014
24,Dance Alone,4jlFQMGIn42SphX3hk2r8l,0.767,0.542,6,-5.941,0,0.0629,0.041,0.0,0.0933,0.911,99.012
25,"How Long - From""Euphoria"" An HBO Original Series",05eZlxyjbkHMPCnunUasCS,0.668,0.687,7,-7.129,0,0.058,0.0157,0.000822,0.149,0.468,97.025
26,Belmont Park,4qSDDMj8hSkjSMEybf3jdX,0.629,0.425,10,-10.504,1,0.0515,0.446,2.38e-05,0.102,0.4,137.853
27,MIDDLE OF THE NIGHT,58HvfVOeJY7lUuCqF0m3ly,0.41,0.611,4,-8.271,0,0.0467,0.0228,0.0,0.116,0.0899,185.727
28,Purple Sun,3Av5sPAsNXVW2tmbz0LA6j,0.648,0.79,9,-6.612,0,0.0351,0.0657,0.0149,0.148,0.893,150.026
29,Nicer,3mL3jFNJ2irVn02EdkYBu2,0.705,0.566,2,-6.146,0,0.0236,0.00329,0.525,0.14,0.642,102.949
30,Say You're In Love,4lb6XqntzcSRbYXw6AXX3y,0.661,0.726,0,-4.795,1,0.0278,0.185,0.014,0.195,0.765,105.957
31,Lights,11ozIUBoXAgRTVWelDn4pL,0.703,0.731,8,-6.283,0,0.0311,0.0721,0.00191,0.138,0.719,120.028
32,No Romeo,2GNH6YhM2rBaJoxYKy0iF8,0.561,0.859,2,-4.129,1,0.0736,0.00322,0.0,0.0909,0.344,98.053
33,Sirens (feat. Caroline Polachek),56Qg15afWhWx83aFusmXc4,0.325,0.746,6,-3.358,0,0.0789,0.124,0.0016,0.0992,0.0831,73.534
34,I Don't Know Why,0ZXdzaT1k688dkpNeEgQiV,0.499,0.898,8,-4.181,0,0.124,0.124,7.2e-06,0.0832,0.618,120.04
35,tears in the club (feat. the weeknd),1GsSM1Fju5J1Fsu51jEsTg,0.616,0.717,8,-6.178,1,0.11,0.194,9.81e-05,0.0731,0.72,167.99
36,"Head On Fire (feat. Sigrid, King Princess and MØ)",12hynh3DSRI7CSHA9FJVEF,0.659,0.735,2,-5.043,1,0.0463,0.0806,0.0,0.358,0.467,96.037
37,Skin and Bones,6slWOE0SO6HjBH0fNd13YB,0.613,0.633,0,-6.494,1,0.0292,0.0439,0.0,0.0839,0.334,115.98
38,Die 4 Ur Love,0lpTna9kRkFgbq9htSBmOK,0.7,0.62,7,-6.631,0,0.026,0.0171,0.00465,0.369,0.791,103.042
39,Love You Like That,3lwj9NfzoDQSgO55pKPoEe,0.689,0.598,8,-6.557,1,0.039,0.308,3.03e-05,0.178,0.192,98.987
40,Microdose,6iNRJ4TuoDqkI0o6wFRR2w,0.649,0.658,4,-5.952,1,0.096,0.0366,0.0,0.13,0.239,191.965
41,Lost In The Moment,3nF5FjUP4W0QBxW4JCyUoa,0.577,0.813,10,-7.141,0,0.0355,0.00102,7.21e-06,0.343,0.682,159.981
42,Somebody Like You,07OnuLnONfO6tyukgyB2qh,0.288,0.577,2,-8.291,0,0.13,0.54,0.00331,0.114,0.146,191.755
43,THE SNAKE,4tRXJwAv2zZrcDcfjTUekQ,0.544,0.366,6,-11.496,0,0.0386,0.657,0.016,0.113,0.0948,175.864
44,Hurricane,6fMZJZqhauwGrwobkPZVJ7,0.689,0.723,11,-7.493,0,0.034,0.00134,0.000995,0.0682,0.415,104.042
