setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Un Sueño,6iPDBwtiOZGlfQt9HD0jAG,0.66,0.666,9,-3.996,0,0.0269,0.0459,0.0,0.0518,0.737,149.445
2,El Listón De Tu Pelo,5hrxAFrYbNTLjAYSrmbpgr,0.695,0.432,11,-8.195,0,0.0479,0.312,0.0,0.296,0.765,81.109
3,Tiene Espinas El Rosal,1JO6kEdXrxBq9QobefZg0H,0.672,0.43,11,-11.113,0,0.151,0.0319,0.0,0.0902,0.787,169.193
4,Ya Supérame (En Vivo),6HIIuuUIEzH1meVdGbMXyf,0.436,0.4,0,-6.521,1,0.11,0.463,0.0,0.76,0.568,75.576
5,Cumbia Con La Luna,0mgTAs7MVas9SyGNQeKFJp,0.821,0.78,1,-6.42,1,0.0486,0.227,3.56e-06,0.095,0.887,105.314
6,Llorar,2f9XA7pBMjrHPO2cJW5XCu,0.783,0.591,5,-6.917,0,0.113,0.0577,0.0,0.0524,0.962,172.013
7,Todo Me Gusta De Ti,5gUoppDphfYsIiguGr5drh,0.64,0.505,10,-5.766,1,0.0362,0.176,0.0,0.0769,0.786,180.625
8,Me llamo Raquel,6sr4ax5EHAsAxC4jjEaZJ0,0.618,0.744,0,-5.426,1,0.0583,0.166,0.0,0.234,0.958,177.506
9,La niña fresa,2nbq7IAJfYK9fuw5g2ePv3,0.864,0.662,11,-10.182,1,0.0977,0.125,0.0,0.148,0.964,136.48
10,Cómo Te Voy A Olvidar,6ltYnjVswCQtRdxmRjCG35,0.613,0.513,11,-6.869,0,0.0551,0.158,0.0,0.197,0.673,83.064
11,Un Puño De Tierra,466JLm2qQmjOzfbee0PIg6,0.539,0.717,9,-6.819,1,0.196,0.103,3.63e-05,0.071,0.87,208.029
12,El Colesterol,1jjLhYePEexexawOF6DgzP,0.722,0.652,7,-7.172,0,0.0351,0.388,0.0,0.106,0.963,89.613
13,Na Na Na (Dulce Niña),6M870HixVgIS4VTudBHcz8,0.781,0.795,11,-5.88,0,0.0433,0.444,0.0,0.333,0.968,101.987
14,Mira oye,4l3SD9S0EOaBAPejqNti6E,0.854,0.741,0,-5.19,1,0.0503,0.101,1.28e-05,0.0671,0.873,104.119
15,En Tu Perra Vida,0ldT3gl7aGNzrJyd4b1CA4,0.546,0.438,5,-4.748,1,0.0669,0.353,0.0,0.261,0.568,112.136
16,El Botecito,2DzLlUtscN7QECJ6E3yvHE,0.841,0.86,1,-8.915,0,0.0394,0.173,1.84e-06,0.224,0.915,111.982
17,La Del Moño Colorado,4fkCG6ZvZ4oFHnNJQmD0lE,0.917,0.603,9,-6.576,1,0.0567,0.113,0.0,0.0243,0.962,93.038
18,Cumbia De La Cobra,68uupqD2ijA27hJxtvnsLH,0.744,0.738,7,-7.282,1,0.0362,0.045,0.0134,0.0746,0.924,98.14
19,Sshh!!,6FuPWuTNlltDIM26lPycVF,0.75,0.739,2,-3.545,1,0.0465,0.44,0.0332,0.322,0.876,184.083
20,17 Años,1Y372uxsCkKqNclj2ercap,0.738,0.483,0,-9.097,1,0.0526,0.467,0.0,0.086,0.774,90.941
21,La Cumbia De La Cerveza,2J0QDG9aKp41dl3nT9d9IQ,0.688,0.725,9,-9.161,0,0.0626,0.474,0.857,0.291,0.671,182.067
22,El Columpio,2OFmcOC5m9iAvt4kcdXBSz,0.517,0.489,8,-7.598,1,0.0508,0.191,5.99e-06,0.0506,0.768,165.908
