setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Plus Je T'embrasse,5UiaszjisznaX77YaCgUhX,0.619,0.11,5,-17.7,0,0.0564,0.941,0.0,0.103,0.397,137.181
2,J'attendrai,0ik9ZRMOJjA9GK2QCcuVXj,0.735,0.257,3,-14.814,1,0.0596,0.764,0.0,0.336,0.468,116.034
3,Les eaux de mars,32FfL5hpFQdweMkxg8Z55o,0.736,0.276,1,-12.762,1,0.0438,0.868,1.22e-05,0.0985,0.622,139.801
4,J’ai ta main,3xWxjeErA8FvMcF0Gq7yUO,0.321,0.426,6,-8.85,1,0.0398,0.667,0.0115,0.2,0.359,80.458
5,De Temps en Temps,76jd74pjVZT9MlEozWQM5u,0.452,0.182,6,-9.993,1,0.0418,0.982,0.000106,0.107,0.459,74.763
6,Le soleil,2eGGZSSdnady1oqoV2JGVP,0.465,0.423,5,-9.707,1,0.0371,0.0962,0.00653,0.518,0.309,101.574
7,Les eaux de Mars,5m12MQSNBHP3SoIoYTgnyX,0.74,0.411,4,-15.198,1,0.0418,0.754,0.00015,0.128,0.769,131.842
8,Dans mon île,3B0A0AbPSCerFYJwk1FvjU,0.618,0.272,8,-13.729,1,0.0417,0.863,0.000435,0.115,0.261,172.753
9,Tout Doucement,0OGo0CHKYXBzb9A9KdtQLz,0.488,0.156,8,-17.617,1,0.037,0.89,0.0,0.14,0.379,96.576
10,Ces petits riens,1f5RkzhoRnzCO6AzMhkhdY,0.574,0.392,10,-13.092,1,0.056,0.771,0.000356,0.119,0.618,149.137
11,Les voyages,0ID6Hh3bFnyW7wpUsiCAbQ,0.473,0.401,7,-11.098,1,0.0361,0.841,0.0,0.124,0.42,81.666
12,Les yeux ouverts (dream a little dream of me),2RcwqefTH11THzlwJHoS6D,0.368,0.197,5,-12.884,0,0.0346,0.901,2.22e-06,0.128,0.175,81.97
13,Ces Petits Riens,6oprRIQ5Vis7NXtJUPIQ3w,0.543,0.0645,6,-20.666,0,0.0645,0.883,1.1e-05,0.116,0.233,82.838
14,L'ombre et la lumière,7yzUHiCgF7JOzJOFE0Bnpd,0.73,0.545,4,-10.644,0,0.0581,0.585,0.0154,0.127,0.491,137.166
15,Les feuilles mortes,4yKTDPH6iRBHmA44AipmIk,0.353,0.0743,2,-19.717,0,0.0452,0.977,0.000539,0.0969,0.155,172.507
16,Le premier bonheur du jour,4Z1SQ54lhPoTqrdquQp9V9,0.572,0.25,9,-15.706,0,0.0309,0.884,1.84e-05,0.11,0.403,85.453
17,Chambre avec vue,0x4apd0yJVkvU7h4JB7a2i,0.573,0.308,4,-14.924,1,0.0432,0.113,0.0246,0.118,0.255,159.935
18,Je suis vous tous qui m'écoutez,6t5ed6P4mmaCu7tdZOecqo,0.397,0.19,7,-15.57,1,0.0378,0.86,1.69e-05,0.0987,0.405,110.587
19,La mer,2btsOBBDI1iyEvTgyy0oPC,0.797,0.282,7,-12.764,1,0.0367,0.746,2.83e-06,0.0918,0.445,113.351
20,Mi amor,3Uh59UJXvhhvsqIuLXGYua,0.601,0.301,1,-14.2,0,0.0573,0.917,0.000475,0.125,0.363,118.303
21,C'est si bon - 2012,5PcCSUGriuhWuyyWxuBnnM,0.653,0.2,8,-10.744,1,0.044,0.906,0.00276,0.192,0.319,127.609
22,À quoi ça sert l'amour,5oMQIQXbz5dnxU6BTUewlY,0.814,0.386,2,-17.111,1,0.068,0.806,0.775,0.0729,0.907,90.002
23,La Rua Madureira,3jFtKmNqDyHp27m8lmEANY,0.583,0.402,7,-10.659,0,0.0317,0.898,1.36e-06,0.143,0.589,85.936
24,Salle des pas perdus,1yi77TrGsSLuR0rKY6TXsq,0.542,0.405,9,-10.951,1,0.042,0.141,0.31,0.123,0.283,135.128
25,Je Suis Seule Ce Soir,0l5rSE550QrVceVHcBCiDM,0.694,0.404,9,-5.654,1,0.0393,0.889,0.000133,0.099,0.504,98.429
26,Samba Saravah,2g86TduNPjOj3bRcgpQEpL,0.644,0.314,8,-14.51,1,0.0556,0.906,0.000547,0.0873,0.613,147.709
27,Un jour comme un autre,5cMZLL8DVg2TRgdb407LrF,0.459,0.0471,5,-22.979,0,0.0822,0.937,1.52e-05,0.108,0.506,182.878
28,Jardin d'hiver,7gHRVNiuL66Z6fE6DwZaFT,0.684,0.144,11,-17.419,0,0.0708,0.534,0.0249,0.241,0.573,119.659
29,Que rest-t-il de nos amours?,6QZ2OZGes6LAku3d5rIAeX,0.602,0.0804,9,-20.085,1,0.0432,0.936,9.1e-05,0.102,0.21,99.372
30,Petite fleur,6Xy0TKhM0Ytjt65QuVEN67,0.616,0.214,9,-9.634,0,0.0329,0.86,0.000164,0.0945,0.447,114.99
31,Puisque vous partez en voyage,6AxIQYB4hZhhwyUHTRkThH,0.571,0.401,10,-12.822,1,0.0426,0.665,0.0143,0.341,0.306,95.972
32,Les eaux de Mars,3FopnRPK626Fbu4ErKdtUo,0.861,0.502,0,-8.474,0,0.0517,0.802,0.0,0.107,0.691,126.077
33,Sous le ciel de Paris,4jB7708yIKZBISPLw4RS6j,0.46,0.255,7,-9.585,1,0.033,0.824,3.7e-06,0.206,0.623,94.707
34,J'ai Deux Amours,4HcY6ds4TeEo9j4Aj3soFp,0.503,0.226,0,-9.966,1,0.0362,0.947,4.12e-06,0.144,0.287,86.349
35,Le Mal de Vivre,7HMUSp18RlaBFpBD2yVgel,0.506,0.0953,5,-17.104,0,0.06,0.949,0.0,0.094,0.278,85.243
36,Que reste-t-il de nos amours ? - Bonus track,7vY7W8DL8JSaS6aBDFHGW3,0.534,0.0889,9,-17.076,1,0.0892,0.968,0.0471,0.11,0.186,173.205
37,Jazz Méditerranée,2yHTFqjyTh32XPddASX3sV,0.661,0.389,2,-11.833,1,0.0354,0.323,0.000147,0.0935,0.33,120.764
38,Les Etoiles,3a61AXiLnRT456B4MeW7mT,0.626,0.317,7,-13.692,0,0.0414,0.931,0.363,0.0937,0.568,97.281
39,La chanson d'Orphée (Manha Do Carnaval),4fx4Ubr7JJVh6pwumqU4tf,0.569,0.25,3,-11.435,0,0.031,0.907,0.0,0.135,0.444,120.203
40,Fibre De Verre,1DaKM1Mzf9cOhHF9eKZZ4w,0.658,0.457,9,-8.635,0,0.0485,0.669,0.000585,0.105,0.31,132.216
41,Sympathique,1sKpay0q1lsH8RgafNzdI1,0.571,0.352,5,-11.946,1,0.0531,0.728,0.0,0.096,0.775,129.443
42,Boum,2jmnsU9irersAKdgxJwmGz,0.652,0.365,7,-12.338,1,0.245,0.812,0.0,0.305,0.723,98.361
43,Où est la fantaisie ?,73Dh1k49xHgPCXo9wXvKuW,0.881,0.317,0,-10.3,1,0.104,0.87,6.43e-05,0.101,0.642,119.937
44,La fille d'Ipanema,54HjqZdYLyQTirAJTieAnx,0.62,0.385,1,-10.372,1,0.053,0.815,0.0,0.114,0.642,155.977
