setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Texas Sun,24ntSW3QVJzR79lHAAOTaY,0.636,0.634,7,-10.01,1,0.0342,0.0364,0.147,0.0998,0.599,111.563
2,Come On In,6HwVmEL610Sd9QtZ96Ysmr,0.61,0.564,5,-6.086,0,0.0258,0.147,0.00109,0.155,0.551,80.734
3,Officer of Love,4KhBvLbRr58rHPF24bdL9Q,0.662,0.574,4,-8.696,1,0.0261,0.298,0.00902,0.115,0.948,109.085
4,Thank You - 2008 Remaster,2zLIjfjQ8kMy7WSSLmF0I2,0.67,0.279,5,-15.589,1,0.0289,0.793,0.00879,0.109,0.552,77.82
5,Ride with Me,2ARIyufUagbk2YXbqJXYOH,0.695,0.528,6,-8.582,1,0.0315,0.199,0.684,0.0995,0.75,124.385
6,Bitter with the Sweet,6MBS3ARYYlI4FtYjaTinK5,0.68,0.426,0,-13.683,0,0.0652,0.756,0.000148,0.11,0.661,99.078
7,Everything Is Just a Mess,61wUA5kA0F88dsakAPSjPg,0.81,0.471,3,-10.148,1,0.0496,0.639,0.00303,0.0774,0.525,111.972
8,Rose Pink Cadillac,3YC7FYhduZbYObLRCdhANa,0.746,0.804,1,-6.824,1,0.0338,0.315,0.00669,0.104,0.89,100.0
9,Walk the Streets of Love,595G8mWzlzHOpCtWWKOMUm,0.711,0.829,11,-6.872,0,0.0537,0.022,0.00259,0.171,0.568,120.99
10,Best Worst Year,4mrMneeP6gYjDezM4tyxMD,0.703,0.704,4,-9.42,1,0.0702,0.36,0.00996,0.0942,0.609,119.945
11,Aphrodite,60q1qCrbsMcz1Dj0mBTjhH,0.646,0.615,9,-12.868,1,0.0913,0.785,0.00234,0.269,0.664,95.988
12,"Changes, Pts. 1 & 2",3N1D6ofDVT7i2B9oR6aKAQ,0.581,0.77,11,-7.245,0,0.0515,0.0187,0.405,0.0725,0.835,103.426
13,Better Now,2qYApuzKCwsnUY6btG3bTm,0.657,0.316,7,-7.802,1,0.0325,0.753,0.0068,0.0977,0.226,74.349
14,"Planes, Boats and Trains",4DHzUFdHMJRouGGJ4XqrKQ,0.677,0.611,11,-9.9,0,0.0331,0.454,0.907,0.163,0.41,102.966
15,"All Day, All Night",0H9PHWhpMI7LEhZu6U9Cfb,0.724,0.41,1,-13.986,0,0.0757,0.154,6.58e-05,0.113,0.533,166.264
16,Now That Everything's Been Said,2QJKcw2rUb6RUM8uDBPSJq,0.455,0.471,5,-12.78,1,0.0272,0.273,0.0135,0.0986,0.781,135.913
17,Kids Fallin' In Love,4LPiZEE28GPCQPES6Xxy5A,0.574,0.66,7,-8.414,1,0.0437,0.327,0.821,0.146,0.931,170.196
18,Freedom For a Change,6IED3V6GMa9SyP8xwkeqpD,0.632,0.724,7,-10.758,1,0.0393,0.791,0.0617,0.127,0.792,103.963
19,Free - Single Version,26ka7pzhIonUoQFYjB6PbG,0.692,0.708,10,-7.2,1,0.037,0.478,0.00051,0.0706,0.964,87.985
20,You're so Fine,3xBWfh0s2XgT65AGgMPsj6,0.519,0.369,2,-13.43,1,0.0357,0.837,0.162,0.127,0.677,68.875
21,When It Was Wrong,3qotcshuy4CD99hVZXFWvH,0.64,0.741,1,-7.03,1,0.0648,0.29,0.0,0.0884,0.885,121.737
22,I Tried to Tell Myself,3gVz8BKr8qaGvBs0mnpGi1,0.676,0.474,0,-16.477,1,0.032,0.0971,0.12,0.216,0.894,118.147
