setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Innervate,2ZUsvuyl43t1oqiwGaHMt7,0.148,0.00389,7,-37.419,1,0.0425,0.993,0.829,0.108,0.0395,138.012
2,Molecules,4G5VeedjbIEbvNP45vxBvJ,0.119,0.0319,0,-29.867,1,0.033,0.988,0.932,0.109,0.128,77.69
3,Neblinoso,6uZF7xC32ewhpsm36IaM5T,0.198,0.00582,7,-37.049,1,0.0466,0.99,0.914,0.17,0.0369,73.79
4,Ashes to Dawn,5P08ISI8K0fUqHuJJZoYlq,0.162,0.00243,0,-43.742,1,0.0421,0.99,0.954,0.146,0.224,78.257
5,Morze Bałtyckie,1cpOnZ05SwPJ2uy2vIAqy4,0.0952,0.0185,11,-31.878,1,0.0506,0.992,0.788,0.0985,0.0856,70.243
6,Mixture,0OXgaVgiSiuPYjPRiFSyiY,0.205,0.0046,3,-35.189,0,0.0408,0.992,0.882,0.101,0.0484,67.784
7,Montania,6t3e2UfHXGVdxXJhPYj6Lg,0.213,0.0429,6,-28.484,0,0.0413,0.88,0.724,0.105,0.101,69.86
8,Quiet Times,0DnhhwJ9zw3xjRHGB7eo7R,0.0687,0.00959,0,-31.321,1,0.0424,0.957,0.754,0.102,0.0319,64.987
9,I et andet liv,48UNHWGzRfk4AOKrCJM7XJ,0.0685,0.00769,7,-38.523,1,0.0439,0.991,0.859,0.107,0.111,74.874
10,Free Heart,20Swwc4vZdDM00QexotXce,0.195,0.00284,1,-35.977,1,0.0466,0.981,0.662,0.109,0.0381,67.863
11,Lasai,1vXPvFeZGpojHygGjSjQfH,0.132,0.00572,5,-34.217,1,0.0453,0.927,0.792,0.101,0.0348,74.676
12,Callisto,7o4AVqj9WYHeLsh2MKrx3N,0.136,0.00264,4,-36.567,1,0.0463,0.98,0.898,0.0938,0.0765,69.827
13,Satin,6Oi0X7GXhInlEgJC5FIZKQ,0.217,0.0526,1,-35.063,1,0.0407,0.806,0.939,0.103,0.0621,69.623
14,Lifetimes,7w0Svp1oDZJtoBBq8JGKUn,0.07,0.0108,9,-33.264,0,0.0409,0.867,0.879,0.112,0.0649,74.847
15,Epiphany,7etqolbqNqTmybDTIN77pt,0.0907,0.0423,5,-33.884,1,0.0316,0.99,0.864,0.0973,0.199,72.341
16,Dans le noir,6oL6yOWVL8zJfwg2mlkMag,0.132,0.00735,0,-37.541,1,0.0494,0.953,0.864,0.103,0.0564,73.273
