setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Hayloft II,0kYMwaQWABTkFff8AZjmYI,0.326,0.866,9,-4.541,0,0.101,0.0044,7.37e-06,0.0912,0.172,178.181
2,Black Summer,2a5cbTg2UIi784t9E2wT35,0.417,0.682,1,-5.071,1,0.0295,0.0267,0.000669,0.109,0.351,105.542
3,The Funeral,1nU2ooQKyk4CsYJMBdIK4J,0.576,0.869,7,-4.339,1,0.0339,8.57e-05,7.1e-05,0.0573,0.746,92.538
4,maybe (feat. Bring Me The Horizon),25wdC7CJmCJPgnKw9rYquJ,0.601,0.92,5,-4.802,0,0.0505,0.000735,0.0,0.0998,0.537,88.014
5,how could you do this to me feat. Kellin Quinn from Sleeping With Sirens,6jhBI8HZ1qxetz13hjL1PE,0.501,0.853,4,-6.677,0,0.113,0.0123,1.66e-05,0.411,0.27,96.025
6,Loved You A Little (with Taking Back Sunday and Charlotte Sands),0IPKskRI33eRXjUhNUr9b5,0.484,0.828,11,-5.197,1,0.0543,0.0288,0.0,0.313,0.577,195.999
7,.intoodeep.,5QhNhUBkNtz9f6NQLrv5A8,0.592,0.674,8,-6.26,1,0.0417,0.00039,1.26e-05,0.354,0.499,124.928
8,Wild Child,0dgAZ1j5irH1FlA5WrpHW4,0.68,0.639,5,-6.233,0,0.0278,0.017,5.09e-06,0.0398,0.957,106.991
9,2am,04no0XXxXd3F5uLZi3qDYK,0.698,0.794,0,-3.333,1,0.0483,0.000335,0.605,0.0622,0.861,135.981
10,Smile,0wQKKPy050lguUxlKvHIi5,0.515,0.764,11,-5.238,1,0.0444,0.000152,0.878,0.064,0.342,93.579
11,MYSTERY,5iXnD2VizcAbErpkcuNQ6I,0.403,0.892,0,-6.244,1,0.0913,0.00374,0.0113,0.882,0.185,163.991
12,Bones,0HqZX76SFLDz2aW8aiqi7G,0.773,0.742,5,-3.678,0,0.046,0.0206,0.0,0.0754,0.571,114.071
13,Honeybrains,3OtId2P71K4wGAAJk8QCIR,0.523,0.8,9,-5.243,1,0.101,0.00537,0.0,0.398,0.604,125.886
14,Bite Me,6dfwRetlyLPBoQzdufbOWj,0.491,0.792,8,-4.382,1,0.0699,0.00381,0.0,0.359,0.74,169.997
15,Loser,01VbCa15MmvNg3KMOfoHa2,0.61,0.894,5,-3.956,0,0.129,0.00317,0.0,0.0539,0.65,96.622
16,Re-Entry (feat. Mark Hoppus),2f2WCKwB1r2SH7AvJc0P8W,0.435,0.852,0,-4.895,1,0.0781,9.45e-05,4.34e-05,0.393,0.382,128.627
17,CASUALTY,3OWxpc6Zguzep0XKWGxDyc,0.513,0.916,4,-3.191,0,0.0987,0.00219,0.00113,0.338,0.474,96.095
18,I WANNA BE YOUR SLAVE,4pt5fDVTg5GhEvEtlz9dKk,0.75,0.608,1,-4.008,1,0.0387,0.00165,0.0,0.178,0.958,132.507
19,Planet Zero,3GL1RQKHV0TDRq8EXHMhGq,0.416,0.964,9,-2.967,1,0.112,2.35e-05,0.000875,0.473,0.212,157.925
20,Masterpiece,2gF7u3yLBTy6vGrxwQBoGF,0.324,0.863,10,-3.716,0,0.123,0.000109,0.0,0.311,0.394,177.985
21,Won’t Stand Down,6hIr2IDeBDXfRFk0rYe5Tz,0.514,0.882,7,-4.406,1,0.0862,0.0043,2.52e-06,0.156,0.424,104.85
22,Hung Up,6BvbBevaIuLHffC5Q09ueO,0.435,0.95,2,-3.138,0,0.0621,1.44e-05,0.166,0.233,0.439,79.999
23,Epiphany,37EMTlg8KIQRED2lsxuNhj,0.439,0.894,6,-4.973,0,0.0894,5.29e-05,0.0147,0.115,0.44,165.087
24,Bad Habits (feat. Bring Me The Horizon),7vrKEP66NdiQDPryPG6olO,0.59,0.849,11,-4.691,0,0.0792,0.0305,0.0,0.11,0.178,131.018
25,Destructible,73IXs3h1OUIecDOAoYvH15,0.498,0.914,0,-6.391,1,0.0552,0.0283,7.55e-05,0.14,0.506,160.06
26,Zick Zack,5hPxC9i9lj9pJwg7DK2MvC,0.669,0.812,5,-5.384,0,0.0679,0.00121,0.00113,0.0732,0.399,130.012
27,So Called Life,5EIKp1TKhUNdsThloWPa53,0.502,0.905,2,-4.162,1,0.0634,0.00021,0.0,0.0601,0.481,160.064
28,Taking Me Back,37FjxvMhMjt3YRecpx7HsC,0.674,0.73,7,-6.766,1,0.12,0.000816,0.000364,0.113,0.419,116.987
29,In The Mirror,11ytsbCqnMlj2bV0hVKp5P,0.527,0.93,1,-1.637,1,0.0491,0.00193,6.4e-05,0.338,0.9,155.042
30,DIE OUT HERE (feat. POORSTACY),3PqpLZTiiwJjYD1uSvQoCC,0.593,0.849,6,-5.727,0,0.0911,0.0095,0.0,0.234,0.646,75.021
31,Life's Coming in Slow - from GRAN TURISMO 7,24SyVpif5eshcNmLKdvOcj,0.507,0.973,9,-3.773,1,0.0504,0.000544,0.0139,0.386,0.756,148.044
32,Talk,1upVvXlWQUwAPuLN3oh8lk,0.451,0.97,0,-4.858,1,0.0605,0.000372,0.105,0.222,0.532,113.39
33,Jackie Down The Line,7fhoVNqC9nHGTz3VjlFV7A,0.547,0.877,7,-4.561,1,0.0448,0.0102,0.0,0.0884,0.449,134.98
34,A Little Bit of Love,0eLXFaZoGjVbzNmMd4LpmA,0.586,0.83,2,-6.088,1,0.0265,0.0135,0.0,0.0993,0.337,92.328
