setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Cold Beer Calling My Name,3dV1fjKOlLnaNK5MeZHXGv,0.581,0.86,7,-4.092,1,0.039,0.048,0.0,0.169,0.79,148.318
2,Thinking 'Bout You (feat. MacKenzie Porter),5c37mE38KCxduL41dwsdwg,0.403,0.711,8,-4.189,1,0.0569,0.137,0.0,0.109,0.801,203.803
3,Drunk (And I Don't Wanna Go Home),0QULNNd9z5s35entfiiXoa,0.612,0.884,5,-4.4,1,0.0459,0.00516,0.0,0.0997,0.626,119.991
4,Learn From It,2CqfyB7PQznYxHNSmmF6lE,0.599,0.899,4,-3.574,1,0.0492,0.129,0.0,0.333,0.792,91.036
5,Zero Trucks,2GdP6I6v6fHCyTx2vSsUEz,0.643,0.636,0,-4.927,1,0.0288,0.135,0.0,0.114,0.777,89.991
6,Beer Can’t Fix,7idmHTAQQPUFqdjXkoooXD,0.711,0.774,7,-4.068,1,0.0308,0.0317,0.0,0.124,0.939,111.016
7,When It Rains It Pours,1mMLMZYXkMueg65jRRWG1l,0.551,0.801,6,-5.069,1,0.0303,0.013,6.03e-06,0.265,0.625,128.027
8,These Days,1EEhU59CbUAW8TaLpxqNNZ,0.464,0.778,9,-3.013,1,0.0489,0.41,0.0,0.16,0.423,175.895
9,Whiskey Glasses,6foY66mWZN0pSRjZ408c00,0.614,0.68,6,-4.58,1,0.0289,0.369,1.84e-06,0.115,0.707,149.959
10,Summer In A Small Town,6RqP6dYpC5egfSw9DppTAi,0.483,0.802,11,-4.394,0,0.0532,0.106,0.0,0.345,0.36,160.073
11,All My Favorite People (feat. Brothers Osborne),0tEPv5fuzMhtm6NM5GvQiF,0.422,0.919,4,-4.0,1,0.0639,0.0327,0.000605,0.33,0.553,83.867
12,Heartache On The Dance Floor,0w3Q14i073jLoew1hgJkwD,0.596,0.834,9,-4.308,1,0.0474,0.0563,0.0,0.0866,0.618,116.0
13,hole in the bottle,2yySWxfeRN2QRZnFMnYMQl,0.478,0.873,4,-3.637,1,0.122,0.0486,0.0,0.374,0.739,104.365
14,Drink In My Hand,1cktZnxiONH0hR6Q3DKy8h,0.626,0.913,0,-4.452,1,0.0318,0.00635,0.0,0.293,0.946,113.044
15,Good Beer,55M9eKCXJFCpid6WBVyEct,0.702,0.778,6,-4.25,1,0.0287,0.302,0.0,0.126,0.879,91.014
16,Day Drinking,1pxXqJZBrCREdC0s4Xs6Xz,0.591,0.959,9,-2.515,1,0.057,0.103,0.0,0.779,0.86,163.883
17,Freedom Was A Highway,3J5jotqUAjU479WhAiNkpU,0.563,0.847,1,-4.493,1,0.0468,0.0891,0.0,0.121,0.666,96.06
18,Southbound,7qXPZxXn6Xmv1sjh03skiW,0.614,0.884,0,-4.019,1,0.0402,0.00122,0.0,0.077,0.721,100.531
19,Snapback,7I5fYc4qKJddht8Ozhqqdx,0.687,0.793,5,-3.577,1,0.0333,0.302,3.46e-06,0.1,0.673,100.993
20,Sunshine & Whiskey,6aNwDe5YH5YUPlpHkku52w,0.67,0.737,9,-6.794,1,0.0434,0.223,0.0,0.325,0.754,92.983
21,Beers On Me,19ZzEzb4BVK1wVO4brrmZz,0.59,0.846,4,-4.251,1,0.0396,0.182,0.0,0.53,0.733,146.028
22,Waste of Lime,5KNQ5MHkfr1Nc9TW8ht9tO,0.642,0.732,9,-5.353,1,0.036,0.261,0.0,0.289,0.649,107.858
23,One Mississippi,4FdPnT2cFrpWCmWZd7GXc3,0.471,0.846,0,-5.269,1,0.0389,0.00279,2.86e-06,0.145,0.539,100.089
24,Fix a Drink,0s6OWiWGuiCcm1Muzch5A8,0.563,0.887,1,-5.013,1,0.0857,0.0297,0.0,0.352,0.794,158.05
25,Sway,6EUDUDQP5ynE3g5SWCA8sc,0.7,0.706,3,-5.479,1,0.0265,0.39,0.0,0.366,0.648,97.028
26,Summertime,3cE5ltZFHmBpiS77itKaOM,0.48,0.928,4,-5.501,1,0.0899,0.169,0.0,0.0479,0.713,167.986
27,Tequila Does - Remix,5OAR2NIvwDJ5QAmrJYgGv5,0.709,0.7,0,-6.253,1,0.0349,0.0306,1.24e-05,0.0918,0.573,109.985
28,23,4PuAqZlL1tkidkuxfDlLbF,0.641,0.78,3,-5.138,1,0.0852,0.0206,0.0,0.143,0.693,98.004
29,Just Drive,6JSH36hKFusIabTu1egYO5,0.714,0.766,6,-4.42,1,0.0365,0.0957,0.00183,0.0595,0.665,114.964
30,Something Like That,6leiB1fEsTnVCuPiielde5,0.507,0.85,5,-5.679,1,0.0472,0.378,0.0,0.0567,0.847,171.8
31,AA,77oKig47u34qCCFWKMfu1e,0.635,0.747,4,-6.227,1,0.0293,0.00313,0.0,0.346,0.753,104.027
32,Take It From Me,3dCZm5HrG0jIXAHfNkg2H0,0.592,0.891,10,-3.144,1,0.0512,0.0267,0.0,0.352,0.674,99.983
33,Somewhere With Beer,2qa1gBkgc1OaZAWiF9DCzz,0.586,0.754,7,-5.439,1,0.0472,0.0308,0.0,0.338,0.66,140.068
34,Whatever Floats Your Boat (feat. The Boat Boys),501FhMCfSth5wUP8sLzbgt,0.682,0.808,8,-4.933,0,0.0335,0.22,0.0,0.17,0.891,106.968
35,No Shade,1qD3k0gSDVJNw4laVAIqjp,0.526,0.747,9,-6.274,1,0.0672,0.00897,0.000753,0.129,0.59,153.926
36,Every Little Thing,3kgCJPXDlnL5bl1HFesHUi,0.637,0.853,1,-4.664,1,0.109,0.216,0.0,0.0357,0.861,93.87
37,Man! I Feel Like A Woman!,6sxptembJVty4sNtcPMAVz,0.657,0.639,10,-7.527,1,0.0412,0.581,0.0,0.278,0.674,124.882
38,Fancy Like,58UKC45GPNTflCN6nwCUeF,0.647,0.765,1,-6.459,1,0.06,0.111,0.0,0.315,0.855,79.994
39,House Party,1TwLKNsCnhi1HxbIi4bAW0,0.747,0.861,8,-5.251,1,0.0514,0.113,0.0,0.026,0.859,103.966
40,Redneck Yacht Club,4etE2X6t7GmyiuYLIdI8H5,0.49,0.817,8,-5.405,1,0.0355,0.455,0.0,0.0885,0.808,168.115
41,Here for the Party,0SuzUhWAgStNIMZR4jEGgk,0.656,0.717,0,-4.871,1,0.0279,0.0127,1.22e-05,0.904,0.809,123.988
42,Beachin',5dNGORzxFb5z3v7vSAFkTU,0.527,0.902,6,-5.352,1,0.0601,0.344,4.63e-05,0.0669,0.709,181.964
43,I Was On a Boat That Day,1nnsiuuYlvPF9gxXIiyAr8,0.535,0.915,11,-3.819,1,0.0991,0.00699,0.0,0.224,0.731,140.13
44,My Church,1LM5zQv5pBKPyO7rm7Uz6U,0.517,0.743,9,-4.336,1,0.0363,0.243,3.36e-06,0.107,0.664,76.979
45,Follow Me,4KoecuyOpZaNFZ0UqVsllc,0.817,0.585,5,-4.688,1,0.0301,0.439,0.0,0.147,0.916,105.014
46,Short Skirt Weather,6PN7QeNItfzZBpCTQvsLyq,0.699,0.893,9,-5.412,1,0.0431,0.0626,0.0,0.253,0.944,128.044
47,Somebody Like That,3hboOw4dS0aXGuP0fyyvbC,0.574,0.798,6,-5.356,1,0.0485,0.0152,0.0,0.111,0.58,105.034
48,Sweet Home Alabama,7e89621JPkKaeDSTQ3avtg,0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798
49,One Margarita,6NhS5LwYbJ6xD7BGvlWRJO,0.641,0.842,9,-4.872,1,0.0464,0.0969,0.0,0.169,0.738,89.997
50,This Is How We Roll,2TR7A4ulH9R1PNwMyd8o8U,0.555,0.931,8,-2.969,1,0.0367,0.016,0.0,0.405,0.723,132.085
51,Rosé,4kZpsP1KaQG5XbJaRbepro,0.542,0.793,11,-4.361,1,0.0591,0.0288,0.0,0.15,0.702,80.97
52,Tequila On A Boat (feat. Chris Lane),22Ll3X3LtYOgpZWy4N7F3p,0.591,0.877,10,-3.364,1,0.0887,0.13,0.0,0.387,0.854,157.174
53,Chillin' It,0Utg7sirTPqrs6Cx0FbriQ,0.576,0.849,9,-3.057,1,0.0386,0.511,3.89e-05,0.109,0.666,137.982
54,Woman You Got,2NNioXX1t4whQsBF8FfExl,0.523,0.896,10,-3.556,1,0.0575,0.105,0.0,0.143,0.729,169.94
55,Beers And Sunshine - Summer Mix,3fZ3sjzr53Yg7WJzHDwzmU,0.588,0.722,5,-4.779,1,0.0489,0.363,0.0,0.101,0.829,161.957
56,Barefoot Blue Jean Night,3ts6xK5GzfMAAriT9AIBmP,0.599,0.807,4,-4.679,1,0.0402,0.202,0.0,0.196,0.812,172.017
57,She's Country,0PspNrE4MSjr1JeB4OW0jn,0.553,0.872,1,-2.832,0,0.0782,0.198,0.0,0.0659,0.638,172.138
58,Fishing In The Dark,3i5QyEUyXa9Y7lIklr5sWk,0.765,0.494,2,-7.348,1,0.0377,0.31,0.0,0.0836,0.91,77.724
59,When the Sun Goes Down,5vLonpxn4VN0A8GtQOBSG0,0.798,0.741,9,-6.802,1,0.0284,0.0432,3e-06,0.252,0.708,104.945
60,That Summer,4eb7VLZEQhNo10TnJDQmCx,0.604,0.817,0,-5.306,1,0.0404,0.0317,0.0,0.1,0.639,117.994
61,GOOD TIME,2S8UMuLJ0z8agFgFGJ6Ztt,0.802,0.59,5,-7.189,1,0.0493,0.0874,0.0,0.275,0.687,138.084
62,If I Was a Cowboy,6F7UOC6fPWOkPqybOWBHSv,0.575,0.644,6,-5.68,0,0.0309,0.271,0.0,0.131,0.626,80.07
63,Long Live,0YfRAYTNTNszGg8VARrSIH,0.611,0.846,7,-3.548,1,0.0374,0.178,0.0,0.12,0.544,129.961
64,Pickin' Wildflowers,2GgIDaPLsowybB3WgxLWUj,0.561,0.716,8,-3.341,1,0.0291,0.0353,0.0,0.122,0.667,152.089
65,Knee Deep (feat. Jimmy Buffett),60IGhnH20N82dNxKnc8jDd,0.715,0.584,8,-8.231,1,0.0296,0.432,1.41e-06,0.095,0.609,90.99
66,Better on the Water,1eKE1jKNvEHm4BreOJofs6,0.652,0.852,0,-4.007,1,0.0337,0.156,0.0,0.168,0.789,90.939
67,Drinkin' Beer. Talkin' God. Amen. (feat. Florida Georgia Line),1UYfAU2bwgjaM5rIIPQleC,0.627,0.678,2,-4.691,1,0.0294,0.185,0.0,0.374,0.724,100.032
