setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,In Love?,3zl67T77tgvJhH1t6uEBEh,0.615,0.313,11,-14.273,1,0.0888,0.364,0.0177,0.156,0.178,77.538
2,At-Nimara's Journey,4DHAQc7762GgXI0ABZZUkQ,0.572,0.564,1,-12.124,1,0.0447,0.518,0.87,0.144,0.803,110.444
3,Receipt,5SN8d9C032oQFD5OPLQSuT,0.699,0.713,0,-7.126,0,0.199,0.325,8.82e-06,0.134,0.772,80.017
4,Let's Never Stop Growin' Up,5iC1NGvqmo3SieQnWHfcKc,0.86,0.601,0,-5.503,0,0.315,0.444,0.0,0.453,0.553,78.98
5,Turner,3JQTu4OIAORxQ4zyVyHHQJ,0.649,0.474,2,-11.045,0,0.0443,0.476,0.891,0.114,0.18,124.284
6,Objects in the Mirror,3QpiWJ3YnH88gFBQPc709t,0.746,0.328,1,-13.093,1,0.207,0.686,1.1e-06,0.146,0.564,123.945
7,Keep Moving,29NoHW6KNuxUmpxShyQ2n9,0.659,0.73,0,-10.327,1,0.0343,0.015,0.0891,0.15,0.395,110.995
8,Resurgence,5qtmaZ4LY7yXy5Iv556dZX,0.434,0.0666,6,-26.996,1,0.045,0.995,0.938,0.0889,0.355,94.945
9,Yurikamome,5yiO9YPa19e6G0OeDAD5yu,0.55,0.594,10,-11.022,1,0.037,0.864,0.933,0.14,0.0704,119.994
10,Thebe,4QQi5Z7ywBOhWKF1uVxrld,0.68,0.71,0,-11.795,0,0.171,0.45,0.895,0.0771,0.493,171.936
11,You Go To My Head,7utKn0th29oCVTVqyQrSbx,0.653,0.42,1,-12.339,1,0.0255,0.736,0.000278,0.117,0.496,95.066
12,New Beginnings,7hoAD7rYkx0l4m4tXT4ulp,0.497,0.35,9,-12.708,1,0.0275,0.796,0.907,0.0993,0.185,92.634
13,(Take me to the) Wide open lows,2aDvRHREucVtWSlgpZdNvP,0.397,0.606,5,-6.65,1,0.0397,0.259,0.791,0.0761,0.195,80.579
14,All of you,567Sms67UX7VpWCX5j9bfb,0.647,0.551,6,-10.234,0,0.0343,0.342,0.609,0.207,0.696,102.102
15,Orewoet,6K2yNOZ9TrNhvfZLGhhdSC,0.386,0.263,5,-16.357,0,0.0338,0.841,0.905,0.0999,0.0377,100.02
16,Midnight Driver,2ZxCgHFwxs8WqnRTg5XTD7,0.632,0.43,9,-12.402,0,0.0662,0.109,0.836,0.102,0.681,171.845
17,High with Me,4npQ5B7PrxGtxoWHqQ1wbe,0.72,0.493,3,-9.905,0,0.0489,0.12,0.00013,0.273,0.53,84.946
18,PROJECTION,1vTn0QTElNXNRVF94V3Seq,0.607,0.819,8,-8.868,1,0.0368,0.00803,0.934,0.109,0.0665,130.01
19,Meva Festa,0ojt0cv7WeGO49b4Xg23Bb,0.502,0.77,2,-7.877,0,0.0464,0.652,0.886,0.081,0.643,128.182
20,Bossfight,6jQqrQmqPKcMyZA5pbgn7x,0.444,0.851,7,-5.116,1,0.238,0.0697,0.0469,0.57,0.635,135.242
21,Dancing Awa - Radio Edit,6smWKJrW0JNRtVzz3eck8e,0.563,0.476,8,-9.631,1,0.0462,0.456,0.21,0.335,0.172,106.693
22,Stainless Steel,59yM1QTkQSsRCz5dbLT8a0,0.333,0.724,11,-8.593,1,0.0444,0.284,0.836,0.0571,0.936,175.795
23,Shadows,32OmSk7brw7z1d2CX1xCU2,0.809,0.635,2,-9.622,1,0.11,0.224,0.00094,0.132,0.364,100.311
24,Candombá,1FSoeffZQw9s7uNExrwDEs,0.401,0.508,11,-7.304,0,0.0491,0.00344,0.593,0.334,0.313,133.264
25,Long Term Memory,0wTLhxqwM8hLGDfHJIPFdQ,0.53,0.563,7,-10.721,1,0.0412,0.0271,0.0251,0.0946,0.241,140.847
26,Bloom,14MoIsc8Rrw8t3vnp7ioHS,0.604,0.431,9,-10.547,1,0.0339,0.0391,0.735,0.135,0.1,116.975
27,El Paso,4H4zOQwrSsiIoHueDSxBHl,0.371,0.53,5,-10.186,0,0.0324,0.313,0.483,0.154,0.315,139.599
28,Double Lift,1h36Zfam7ws8LNH31RSucf,0.33,0.466,9,-15.704,0,0.0299,0.606,0.918,0.127,0.344,111.799
29,Aguadulce,6A8fKutgBdN4wbGSFYcStY,0.402,0.589,1,-7.907,1,0.0373,0.291,0.821,0.102,0.227,123.842
30,REVOLVER - REBUILD,5LVfjbVJ31mtMMrrA8u3wH,0.223,0.796,9,-8.588,0,0.0362,0.0395,0.937,0.112,0.603,203.591
31,Inner Peace,0EncdyFKNletEI25jFT3Ao,0.766,0.757,6,-5.761,1,0.0734,0.439,0.861,0.0883,0.596,90.018
32,Mantra,6XwOgNjyADq78kAl19qZC9,0.436,0.637,11,-8.868,1,0.0291,0.473,0.94,0.217,0.0646,121.699
33,Santa Cruz,0cXMulo0i9HVgyMUtH3iRs,0.541,0.58,2,-8.66,0,0.0314,0.832,0.9,0.114,0.197,91.285
34,November,5pakrja7GlSgf9GdogxTIv,0.5,0.319,7,-14.841,1,0.0342,0.849,0.824,0.111,0.205,129.14
35,Everybody Wins the Good Fight,3g8rMkaSzgpVDZvo6Zujz3,0.44,0.574,7,-8.513,0,0.0286,0.0586,0.907,0.323,0.378,134.205
