setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Out of Time - KAYTRANADA Remix,4Rrj1QxDqsj28gv9SiHQRA,0.742,0.599,1,-8.796,1,0.297,0.0962,0.000578,0.0981,0.573,108.283
2,Shivers (Dillon Francis Remix) [Main Mix],59zbXPD0j7JxsVVm480g3b,0.744,0.828,2,-5.911,1,0.0289,0.0646,1.4e-05,0.0858,0.579,124.029
3,Go - goddard. Remix,7kjANxR8XN4hCzLaSc2roy,0.728,0.689,6,-6.601,0,0.13,0.222,6.14e-05,0.107,0.0473,89.973
4,Don't Forget My Love - John Summit Remix,55PAYYJuYlKsW4DEcaBpC3,0.554,0.957,9,-5.938,0,0.0376,0.000622,0.373,0.421,0.137,123.981
5,Do It To It - Tiësto Remix,2XKsHHNCtKqk9cF35TRFyC,0.636,0.892,2,-5.573,1,0.0386,0.000422,0.0954,0.156,0.456,125.003
6,Better Days - Regard Remix,7Edhy8323TjVAwvtoqujQu,0.765,0.676,0,-4.169,0,0.0444,0.0394,0.0,0.105,0.561,120.036
7,Love Again - Imanbek Remix,0zg8u9UUlvwSvBJYEjhgDT,0.717,0.91,6,-3.39,0,0.0554,0.00262,0.00194,0.0589,0.682,119.999
8,"Moth To A Flame (with The Weeknd, Chris Lake) - Chris Lake Remix",7u6f174xl25TOBHA2HpFHO,0.587,0.892,10,-6.385,0,0.0415,0.00467,0.276,0.0703,0.285,126.017
9,When I'm Gone (with Katy Perry) [VIP Mix],53y02rkTgMKgaJihn2Y2jE,0.622,0.954,9,-2.829,0,0.0524,0.0165,0.000136,0.311,0.457,125.081
10,Green Green Grass - Sam Feldt Remix,5nS4GAbtHTLQzmLRf7kkg5,0.729,0.868,8,-4.276,1,0.155,0.14,0.0,0.237,0.846,119.941
11,My Universe - Galantis Remix,1DlczmjByrS4qxRVfGjpqN,0.596,0.915,4,-4.711,1,0.0682,0.0949,1.7e-06,0.12,0.629,120.024
12,Sunshine - MOTi Remix,1zgV7obuDgU0DEaNCmPw8u,0.727,0.77,5,-5.915,1,0.0419,0.0764,5.38e-06,0.155,0.542,125.99
13,You - Topic Remix,5bbtc9t6FcerXp732H2XNu,0.733,0.887,6,-5.601,0,0.0692,0.0554,0.000131,0.241,0.696,124.025
14,Never Love You Again (with Little Big Town & Bryn Christopher),676tQQmFrilCR8L7kxRcGd,0.645,0.786,1,-5.337,0,0.0554,0.0343,3.57e-06,0.139,0.597,124.962
15,Leave Before You Love Me (with Jonas Brothers),4qu63nuBpdn0qHUHuObEj1,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976
16,Don't Go Yet - Major Lazer Remix,5Ay8r4qxJ1OYLS91tWysRf,0.806,0.73,10,-5.73,0,0.149,0.228,0.000114,0.0817,0.629,124.914
17,Cold Heart - PNAU Remix,6zSpb8dQRaw0M1dK8PBwQz,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032
18,By Your Side (feat. Tom Grennan) - Oliver Heldens Remix,3ZFosXgzvmN6wXs9wTaIxh,0.682,0.861,4,-6.047,0,0.0442,0.18,0.00684,0.0975,0.392,124.045
19,Drive (feat. Wes Nelson) - Topic VIP Remix,7BkNs7DRxzsa09I3tzk2XO,0.587,0.868,10,-3.025,0,0.0496,0.0672,3.16e-05,0.0696,0.459,126.019
20,Fly Away (Jonas Blue Remix),2xsFQqgLKbYZNUVsbxtwpo,0.735,0.739,1,-6.042,0,0.044,0.135,4.4e-05,0.349,0.6,122.959
21,Don’t Wake Me Up - Sevenn Remix,6k5vdsmeY5yFWLcKhMBIsN,0.717,0.822,8,-5.408,0,0.0425,0.0142,0.000157,0.117,0.702,122.008
22,Good Ones - Joel Corry Remix,2Jt8OOQV33kCWJs7ojOCUJ,0.719,0.807,10,-4.383,1,0.0365,0.0385,0.0178,0.121,0.684,124.961
23,My Head & My Heart - Claptone Remix,0AxhXARnISmbH5UqbqvtDP,0.667,0.842,9,-4.507,0,0.0457,0.0585,2.81e-06,0.227,0.661,121.992
24,How Will I Know,79wbJeLkXOlJh4AzaWCWfL,0.761,0.739,6,-3.591,1,0.0369,0.178,3.35e-06,0.23,0.656,118.997
25,Dancing In The Moonlight (feat. NEIMY) - Tiësto Remix,3dgVBgrgHLzbhAYepa1V1V,0.679,0.619,9,-4.983,1,0.0528,0.213,0.0,0.105,0.497,124.944
26,Message In A Bottle (Fat Max G Remix) (Taylor’s Version),3tGq7hWDCtrnL83y5OGual,0.684,0.733,2,-4.203,1,0.0422,0.00226,0.000125,0.273,0.343,115.969
27,On My Way (Marry Me) - TELYKast Remix,0ldyOpAYtavIapulYOwGfz,0.686,0.608,11,-8.865,0,0.0438,0.0268,0.00242,0.0794,0.234,127.018
