setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Don't Fade - Single Version,0m3hslcOQomyJh8Mz7hdrX,0.676,0.601,2,-7.908,1,0.0325,0.327,0.000107,0.0813,0.233,134.128
2,In a Stranger's Arms,7s6jUeM4ENpUrHCSzQZV0v,0.497,0.433,9,-7.521,1,0.0278,0.377,0.0,0.099,0.357,97.856
3,Dear August,16gW9O8A4rIMx5OOVlzsSn,0.643,0.324,0,-7.817,1,0.0338,0.8,0.0,0.111,0.444,147.019
4,Amsterdam,52BtapS0Wy7LM8R6QvJRpp,0.637,0.482,1,-9.427,1,0.0284,0.217,9.69e-05,0.0904,0.593,140.091
5,Forest,2su8wFMyRZCmi9dVb8gc55,0.469,0.245,7,-14.456,1,0.0422,0.842,3.77e-05,0.298,0.188,83.866
6,look up,0oEji7lz6paMOdk97XEK4Z,0.446,0.295,0,-9.711,1,0.0321,0.829,0.0,0.14,0.197,119.931
7,Worry No More,6Sf1IjXhbfTIYOHhaj5DG0,0.272,0.435,9,-10.096,0,0.0385,0.568,0.00128,0.0879,0.27,78.721
8,Dreamin's Free,6bn9XgZbBTqAFhZDwI3q8N,0.467,0.639,2,-6.81,1,0.0375,0.31,0.0,0.119,0.335,75.544
9,Feels Like Home,38mvvvoJMgzF8dozkEDMmC,0.603,0.508,2,-8.671,1,0.0303,0.088,8.82e-05,0.132,0.157,72.983
10,re: Stacks - Spotify Singles,6X6fJzF0BGbUk6mhqNvgZZ,0.561,0.299,9,-11.392,1,0.0315,0.837,0.000143,0.357,0.107,123.92
11,Opaline,732Zsh1L5ixRNgAmiPyvrp,0.367,0.337,1,-9.857,1,0.0326,0.955,0.117,0.0869,0.283,181.868
12,Side Effects,7l1JgKKbTh8n0o1ya4j67k,0.687,0.323,2,-10.065,1,0.0299,0.757,0.00333,0.109,0.32,140.955
13,Wouldn't Come Back,1zeQjPT367QcGrkpIXYjuW,0.602,0.234,11,-9.419,1,0.0334,0.635,2.54e-06,0.0987,0.307,124.964
14,The City,58gvTZSWei1plTDPQIqXfD,0.372,0.313,2,-13.132,1,0.124,0.879,0.0,0.102,0.417,184.456
15,Let You Love Me,6w8emJs59a4lKbeyfZekSz,0.608,0.496,4,-8.426,1,0.0339,0.538,0.000104,0.0927,0.185,79.982
16,Neon Stars,2hocBXb0VzbeX2ttM2Ngeg,0.676,0.41,7,-7.559,1,0.0299,0.886,7.06e-05,0.0841,0.346,112.988
17,In Your Eyes,5c0z1ccAIoZl1okUhiqNOc,0.44,0.453,1,-7.556,1,0.0392,0.903,1.34e-05,0.112,0.352,90.214
18,Best Day Of My Life,6rUtMKEej81ORTGtCpjyOJ,0.683,0.187,10,-13.185,1,0.0347,0.983,0.00246,0.107,0.101,117.92
19,Keeping The Light On,1Uacdg0eFpE2bpjS90feZQ,0.69,0.693,5,-6.252,1,0.0577,0.186,2.39e-06,0.0927,0.728,83.99
20,Tiger Lilies,3UTtblnDHe2GOuP3Pil8MV,0.74,0.557,9,-5.164,1,0.031,0.631,0.0184,0.134,0.503,84.043
21,Yours in the Morning,1z0XiixCTxeuknmhTrTDvk,0.446,0.73,11,-5.243,1,0.0719,0.0157,1.01e-05,0.11,0.215,148.102
22,Bloom,1cIXqC75Zx6nwoYOfFyCae,0.57,0.371,3,-10.314,1,0.0306,0.896,0.0,0.114,0.308,94.921
23,Mentiras Con Cariño,2NbEme35zJq2g10jOBwHHI,0.715,0.527,10,-6.488,0,0.0311,0.381,0.00125,0.0715,0.565,86.054
24,Alabama Haint,3NVGIampibL0YVG3wwaX8G,0.589,0.422,4,-10.78,0,0.0296,0.868,0.0279,0.0897,0.293,94.968
25,heavenly light (work Tape),3EVNmodyyDaO7fjN31gsPc,0.481,0.628,4,-6.118,1,0.0572,0.626,0.0,0.101,0.607,174.002
26,Misnomer,7wy7FXfzZFAbsrpcM924nw,0.471,0.49,10,-9.044,1,0.0469,0.625,0.000608,0.157,0.386,116.436
27,Into The Mystery,7zUgIo1qgHuJ3LmeFxmqiN,0.405,0.633,5,-7.646,1,0.0285,0.00188,0.00864,0.236,0.273,169.989
28,Be Slow,3j2SaDGyzZhiifh5g5tmNw,0.586,0.437,4,-12.673,1,0.0326,0.786,0.00335,0.144,0.2,94.008
29,Every Shade of Blue,57z9G8G9978wYqpdnO8dW8,0.538,0.61,2,-6.103,1,0.0329,0.105,5.88e-06,0.22,0.187,120.051
30,Come Home To Me,2K8elWg8ihrZRwZJ7Gy6L3,0.66,0.193,11,-8.904,1,0.0725,0.953,0.0,0.0953,0.296,82.035
31,Every Colour,7nNq5Q2Khh1bOyF1QQFLjd,0.537,0.495,8,-9.237,1,0.0329,0.118,0.0187,0.101,0.189,98.024
32,Alaska,3NPkwNFvfOoski2eJj89cL,0.462,0.417,3,-8.533,1,0.0342,0.86,0.00347,0.106,0.348,100.979
33,Thinking 'Bout Love - Acoustic,1nHPM4cx7QvCaFakEPMsho,0.684,0.173,5,-13.535,1,0.0595,0.846,0.0,0.162,0.358,137.742
34,Joy Of My Life,4EuaDcxHmHKS6gZ5iuGba0,0.63,0.485,3,-8.955,1,0.0299,0.223,0.0535,0.103,0.398,149.23
35,Glitter,2B3kOESoYsMNFr8LxijuIc,0.527,0.285,7,-9.835,1,0.0349,0.884,0.0,0.123,0.268,129.856
36,If I Didn’t Love You,2Zy7SjGT12yzvFohfAKWDq,0.567,0.242,10,-11.616,1,0.0487,0.879,9.12e-06,0.105,0.35,147.299
37,Say My Name - Recorded at Spotify Studios NYC,2xbuycY0MolcTZGENc4PuK,0.607,0.462,0,-8.383,1,0.0551,0.52,1.83e-05,0.229,0.376,117.41
38,Slow Burn,6ET9kf9riLETWs9lePUEAI,0.555,0.43,2,-9.105,1,0.0295,0.462,0.000191,0.0869,0.274,147.613
39,This Too Shall Last,0CuXzMEgFzuQhLEYQHYas4,0.503,0.49,4,-8.553,1,0.0279,0.323,0.799,0.0873,0.68,148.884
40,See the World,0YPX6ztcWM4QTbR9tpnHNB,0.616,0.638,7,-7.981,1,0.0334,0.0245,3.59e-05,0.296,0.507,89.989
41,Lost at Sea,59crDqEUjV0UEI9QVlQn2B,0.44,0.215,5,-11.24,1,0.0285,0.95,2.55e-06,0.341,0.23,155.793
42,Hung the Moon,7Hgn6MVuZTVHL17KlBsoSa,0.428,0.309,0,-6.888,1,0.0296,0.706,0.000287,0.11,0.35,141.088
43,If Ever (with Jack Johnson & Ben Harper),5CeXAfGpk9baITQvV0feoG,0.803,0.477,1,-7.567,1,0.0321,0.702,4.37e-05,0.11,0.682,104.967
44,Right on Time - In Harmony,07kMJNzJGnq8Vge6DBN9tA,0.457,0.178,10,-10.243,1,0.0345,0.946,2.28e-05,0.153,0.249,112.068
45,Pontiac,1dNxCqZyAl9XhIDX578usC,0.379,0.905,5,-6.466,1,0.0947,0.12,5.27e-05,0.187,0.38,82.253
46,Falling Apart,3TAGAAWQ9HeosMtv4dz2jf,0.389,0.256,10,-9.01,1,0.0508,0.822,0.0,0.114,0.382,74.517
47,Every Time You Go Away,5OtvDpNhxUde1hkAjvzSzE,0.322,0.127,7,-14.197,1,0.0352,0.894,5.99e-05,0.143,0.119,144.2
48,Times Like This,1YldiVKQnq52Y0PeZn94Y4,0.623,0.655,2,-7.485,1,0.0266,0.553,2.04e-06,0.365,0.277,122.881
49,Days Like This,0W6vig3DpP1D3R4w72hdWp,0.642,0.214,3,-9.25,1,0.198,0.909,0.0,0.122,0.38,80.444
50,Sapling,3pMbjkN5k9z6kZ2bcEZH1s,0.447,0.458,10,-8.532,0,0.0702,0.585,0.000422,0.105,0.158,129.861
51,Friday I’m In Love - Recorded at Spotify Studios NYC,6vC7mF2CXYW6MVF2voO4FU,0.448,0.123,7,-15.193,1,0.0409,0.948,0.0,0.0816,0.143,123.491
52,Autumn Love,0Oo5Vuk60VCYYGqcyXTemd,0.527,0.64,2,-9.913,1,0.0313,0.735,0.575,0.104,0.337,94.996
53,Godlight,3cgf3PmzUZKLCRulrKrzZG,0.375,0.709,4,-6.34,1,0.0576,0.00506,0.0,0.163,0.384,169.1
54,Vanilla (Stairwell Version),7yuecadXy2rAgc6Id2D6Qw,0.396,0.276,0,-9.238,1,0.0749,0.881,0.0,0.155,0.394,80.573
55,The Best,7zLqJdc0e37PpGKADGnOUt,0.612,0.346,6,-10.213,1,0.0297,0.881,0.000222,0.126,0.15,135.763
56,Under The Sun - Acoustic,3mP7zuWtH3QQPEWBTXG3RE,0.907,0.333,4,-11.178,1,0.079,0.896,0.0,0.332,0.615,105.896
57,The Weather (Acoustic),7nECboGB4x2fYyf7lPyg7C,0.373,0.316,1,-7.298,1,0.0418,0.911,0.0,0.118,0.258,78.261
58,The Worst Of You,06rX4GEEjsVTSbRBWycs2U,0.555,0.35,10,-10.955,0,0.0503,0.791,6.64e-06,0.11,0.404,77.772
59,Hold On,6FZlUjVbVWocdZG2mJNMlU,0.287,0.271,3,-8.674,1,0.0313,0.714,0.000224,0.0941,0.214,178.501
60,Tell Her You Love Her (feat. Mat Kearney),7b9oZ5tuGDKRWsL0lgQXqg,0.287,0.208,2,-11.3,1,0.0368,0.66,0.0,0.119,0.233,74.889
61,October Sky,4dGuN04mLIr6EgFkrBe5Vl,0.519,0.493,2,-6.023,0,0.0261,0.582,0.000101,0.349,0.428,81.891
62,Pretty Places,465IQvyDIpnizvUbZ8ULyo,0.577,0.797,2,-5.039,1,0.0366,0.0969,0.0766,0.311,0.427,127.995
63,Wolves,59hfgU3tsQ0zKpSX7toiwn,0.584,0.214,2,-9.323,1,0.0418,0.88,2.52e-05,0.103,0.41,95.822
64,the author,0uqFo6F9DppKZtwm3zhG3s,0.354,0.264,0,-12.571,1,0.0544,0.832,0.0,0.11,0.227,80.567
65,Teenage Drug,2FpLyV7tVMRHJAq3foYHPU,0.649,0.536,7,-9.869,1,0.0393,0.25,0.00468,0.0878,0.802,155.866
66,If It Makes You Happy,7ia7SaMGhr00G8EX5DMiFq,0.659,0.122,11,-12.573,1,0.0325,0.911,0.0,0.0724,0.181,92.521
67,Better Days,02HJc2G0BfiJBJhet27Scm,0.536,0.286,2,-12.444,1,0.0287,0.41,0.00671,0.136,0.242,89.74
68,Song for B,1m7R5WgnPGcJpp7MXvJJqC,0.612,0.472,1,-9.655,1,0.0534,0.0521,0.0588,0.0766,0.315,87.032
