setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Get Down,4kcuzPfVaPlElWRv9jNGHi,0.761,0.553,1,-8.318,0,0.156,0.296,1.74e-05,0.194,0.367,87.487
2,nice pup,44ZzrQnqhQt3bAOOJ9iQbE,0.793,0.46,4,-6.208,1,0.061,0.153,2.13e-05,0.104,0.667,129.987
3,Was It Something I Said,65j65yDSE06CNKAPjsHoJt,0.587,0.724,6,-6.775,1,0.0321,0.618,0.000166,0.157,0.837,106.994
4,Cherry Wine,1a1LrfgkTvfHFykIxcv8WU,0.761,0.565,11,-7.016,0,0.0411,0.345,0.0,0.0825,0.583,105.008
5,Show Me How,01TyFEZu6mHbffsVfxgrFn,0.791,0.267,5,-11.997,1,0.0415,0.674,0.534,0.102,0.544,165.99
6,THE BOTTOM,5SG2BVsZr0W7cFAkjh60TT,0.747,0.614,9,-6.759,0,0.0256,0.00326,0.561,0.185,0.843,110.001
7,Punching Bag,68LD7fYCVnACJtnLKHd3Q9,0.621,0.766,1,-1.73,0,0.0392,0.433,9.2e-06,0.323,0.612,138.974
8,at least i'm pretty,5o9iQVktO08gIlRAHqqxtj,0.86,0.422,1,-9.785,1,0.0296,0.541,0.00449,0.139,0.523,99.958
9,That's What Everybody Said,4sp2EycL8CwmVklKhqUjpR,0.621,0.673,10,-8.648,1,0.0301,0.235,0.116,0.182,0.118,120.053
10,Dark Red,37y7iDayfwm3WXn5BiAoRk,0.603,0.783,6,-4.023,1,0.062,0.449,7.96e-06,0.119,0.775,172.041
11,Cotton Candy,4FF0tP9mkoiFKLiXFeXm0q,0.686,0.456,0,-7.81,1,0.234,0.662,8.93e-06,0.357,0.569,96.889
12,Hot Rod,0zePbRMJ9sd7wsZRlbPQua,0.707,0.767,7,-7.072,1,0.0323,0.0279,0.000295,0.169,0.832,139.985
13,Kids,3pyyGVqWvRMq43qtJBzxe0,0.828,0.66,6,-9.669,1,0.0337,0.508,0.403,0.0755,0.904,113.45
14,MESS U MADE,7xW3rU5rzv4ghw0h8APxuH,0.674,0.366,4,-6.539,1,0.0381,0.341,7.3e-06,0.125,0.346,126.994
15,Sugar,2joEpsXflccZD0ZwKEdz5m,0.823,0.461,9,-12.75,0,0.0366,0.647,0.327,0.14,0.798,114.026
16,Shy,3TFNxpIwIzMi3jsMRy9GVZ,0.727,0.531,8,-8.219,1,0.0321,0.301,0.000343,0.152,0.94,105.617
17,Oh Well,2nGYf3UkZEsYZ5MfNjPDxx,0.59,0.795,9,-6.321,1,0.0286,0.202,0.327,0.181,0.463,97.973
18,Maple Syrup Tears,11mZeNMQTR2It49wtB4gTv,0.701,0.655,4,-5.023,1,0.0284,0.385,0.000182,0.293,0.595,113.017
19,Hey Lover!,7rC3P7tpWriaC4hYWKwGQd,0.586,0.744,4,-10.142,1,0.0508,0.00614,0.000172,0.372,0.523,117.006
20,Baby Baby,5zdOAL1xFVSbSCKxBbuKxh,0.772,0.681,11,-5.22,1,0.0346,0.162,0.785,0.0404,0.83,153.006
21,4EVER,5mIOsPuQdXchVY0jB5NO9Q,0.75,0.585,9,-7.576,0,0.0285,0.049,0.00552,0.155,0.584,102.331
22,New Flesh,6HJxxqHWMdidwTVZmZWeHU,0.62,0.594,9,-16.066,1,0.0383,0.887,0.5,0.0917,0.698,165.861
23,Cooks,75TDPu9k7Yv3IovdYaNCwk,0.45,0.583,4,-10.49,0,0.0811,0.434,0.0126,0.244,0.701,77.066
24,Pretend,2XzQvMj0sczBQmAceS8gyT,0.655,0.635,7,-11.305,0,0.0309,0.113,0.461,0.0906,0.669,144.975
25,Deer Island,7IQhSyhmcQvGAjL9G7FpwS,0.587,0.798,1,-6.924,1,0.0473,0.377,0.97,0.111,0.839,190.923
26,You Want Everyone To Love You,1OMpWqQCH6GGmHtHJ1xeZk,0.553,0.551,7,-9.477,1,0.0351,0.212,0.134,0.254,0.118,109.929
27,Marigold,0xtRShSDM9MNsaARH6hJkF,0.788,0.533,4,-8.81,1,0.0573,0.119,1.29e-05,0.212,0.633,131.047
28,Frankenstein,1xSmjB0t19q4CSJ0X0ymGB,0.826,0.745,2,-6.091,1,0.141,0.13,1.32e-05,0.178,0.883,119.92
29,Tree Among Shrubs,4JYJU761kWJEK91hyug33F,0.713,0.443,11,-11.704,0,0.0531,0.656,0.804,0.111,0.864,76.791
30,Can I Call You Tonight?,64lsIF5pw0sJY0gV5kz0RN,0.641,0.842,9,-7.27,1,0.0292,0.132,0.91,0.419,0.5,129.98
31,Friday,4GQGU0CI1lR4xRcxxioIIQ,0.661,0.506,2,-10.022,1,0.0306,0.775,0.814,0.154,0.49,124.983
32,I Love You So,4SqWKzw0CbA05TGszDgMlc,0.575,0.648,10,-4.891,1,0.0358,0.583,0.0,0.115,0.466,75.977
33,Shadows,7gF4K3K2EqWHkLHh1gE3vO,0.543,0.431,5,-7.479,0,0.0612,0.749,0.146,0.116,0.381,146.0
34,Are You Bored Yet? (feat. Clairo),57RA3JGafJm5zRtKJiKPIm,0.682,0.683,8,-6.444,0,0.0287,0.156,2.32e-05,0.273,0.64,120.023
