setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Sunshine,5r43qanLhUCdBj8HN3fa6B,0.697,0.875,5,-4.621,1,0.034,0.137,0.0,0.28,0.774,140.069
2,Shivers,50nfwKoDiSYg8zOCREWAm5,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02
3,Follow Me,2Xy1UIVfOlukyye6Fd0wrI,0.673,0.729,6,-4.879,1,0.0496,0.083,0.0,0.1,0.675,122.023
4,Fly Away,5ri4zqtWhG07hIuNNDWP76,0.806,0.513,4,-6.208,1,0.0685,0.217,0.0,0.217,0.503,124.988
5,Don’t Wake Me Up,3LEgGAl9zLcQWGTp7ptqtQ,0.621,0.747,11,-5.084,1,0.0337,0.222,0.000194,0.147,0.426,124.015
6,Dive,2aXC0fD6qziwlOZZqhCqTd,0.654,0.787,4,-4.999,1,0.0502,0.00515,0.0,0.144,0.409,123.979
7,Bam Bam (feat. Ed Sheeran),0QBzMgT7NIeoCYy3sJCof1,0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996
8,Never Love You Again (with Little Big Town & Bryn Christopher),676tQQmFrilCR8L7kxRcGd,0.645,0.786,1,-5.337,0,0.0554,0.0343,3.57e-06,0.139,0.597,124.962
9,Cloudy Day,0mA7zotmg2ZFMRALljdZsS,0.705,0.776,4,-6.096,1,0.0445,0.0643,2.81e-06,0.0246,0.366,116.011
10,The Best Days (feat. Tabitha),140XpWSdJ0jZEbLj9iVnPA,0.667,0.827,11,-5.631,1,0.0368,0.0863,0.0,0.0565,0.573,107.95
11,You for Me,73QyyUMMvtNELmULI4FOsp,0.733,0.886,2,-1.856,0,0.0426,0.0481,1.81e-06,0.191,0.696,126.031
12,Remember,4laAKIq9ZxBCwf99rauPYb,0.612,0.862,8,-2.903,1,0.037,0.041,0.0,0.0907,0.354,123.849
13,Friends,18RdChpgvaAO7GXDjLks2B,0.747,0.537,10,-5.76,1,0.0413,0.198,1.26e-05,0.18,0.453,97.056
14,Love You Better,4UuGBDjt8gLXsANZqZxMBz,0.733,0.786,11,-7.494,1,0.0422,0.0931,0.0013,0.1,0.786,102.999
15,Runaway (with Sigala and JP Cooper),6tS1Fm9z3UKuLSxrinY3pC,0.617,0.756,3,-5.811,1,0.104,0.213,0.0,0.152,0.432,121.828
16,Heartbreak Anthem (with David Guetta & Little Mix),5K6Ssv4Z3zRvxt0P6EKUAP,0.595,0.784,1,-4.878,1,0.102,0.216,0.0,0.0608,0.479,124.111
17,Love Me Now (feat. Zoe Wees),1c1sdxrYLIiuJOlE7PPttb,0.662,0.489,5,-7.067,1,0.0525,0.163,0.0,0.172,0.506,102.04
18,Summer of Love (Shawn Mendes & Tainy),0z8hI3OPS8ADPWtoCjjLl6,0.776,0.808,11,-4.501,1,0.117,0.0297,0.000127,0.103,0.494,123.988
19,Smile,3OUlwrGsM6xGuA66YVpeGT,0.592,0.749,6,-6.165,0,0.0295,0.000618,0.00122,0.166,0.799,127.038
