setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Millennium,3G1nE9ZEv4eGEM48IAIv8u,0.687,0.691,2,-6.743,1,0.0378,0.325,0.000153,0.12,0.831,98.055
2,Bottom of the Ocean,2aZd0oQUnICyk3KYFbBaW1,0.455,0.537,7,-9.043,1,0.0482,0.078,0.0,0.154,0.291,165.864
3,F*****g Up What Matters,5Asn2tpsfEpP4h5iio8lL5,0.596,0.487,7,-8.879,1,0.143,0.0321,0.0,0.112,0.506,174.906
4,Unconditional I (Lookout Kid),0Zd9Nub5lwmzSBoWaVOWrP,0.486,0.68,11,-8.911,1,0.0313,0.0222,0.000132,0.171,0.532,97.502
5,victim of nostalgia,6oHXQQLzea4keyHSbFUxtS,0.671,0.818,6,-4.89,1,0.03,0.00288,0.00132,0.0368,0.85,119.021
6,Kind Of Girl,04cy0BQeW4ZDLspMIfpMLv,0.354,0.532,2,-5.791,1,0.0325,0.0944,0.0,0.375,0.355,73.002
7,crushed.zip,11ldKuHFoIe2onUknizn55,0.612,0.911,0,-5.183,1,0.0339,0.0262,4.58e-05,0.115,0.73,127.99
8,Big Time,0OhZEVzS5iCdPyVANAqGqm,0.589,0.522,10,-5.291,1,0.0249,0.16,0.00175,0.0957,0.33,102.052
9,One and Only,3nQcCZarfJoDbebUXa9hxa,0.682,0.744,7,-5.288,1,0.0355,0.3,0.0814,0.459,0.782,124.058
10,stoned,2lHLhy71ZIqedHum50FhvF,0.52,0.562,3,-7.472,1,0.0256,0.0644,0.0175,0.358,0.235,97.253
11,Empty in My Mind,7oqpMyBrfVsk5QBjDMhqOZ,0.772,0.674,5,-7.41,0,0.0461,0.0552,0.43,0.107,0.692,134.987
12,chem bath,6lqdNLE6pMZ3eFX8TlY1XS,0.831,0.687,0,-9.837,0,0.0501,0.251,0.283,0.148,0.769,92.131
13,Caution,5aU5htHGCvb5ZGUvMm6nAF,0.769,0.598,9,-6.672,1,0.0454,0.228,0.0,0.381,0.537,129.978
14,I Met God Online,3shB8ksTOqgJ6fj0L09FT9,0.663,0.544,6,-8.249,1,0.0284,0.205,0.319,0.346,0.339,97.821
15,Where Are You Now? (feat. girlhouse),7wDCuLAQtfq7HHoVOpGsTK,0.59,0.485,2,-6.62,1,0.0268,0.0809,0.0,0.331,0.291,81.497
16,Crosswalk,7o8CauLugNjyHaRI1ko6Fw,0.697,0.626,2,-6.945,1,0.0277,0.00745,0.0266,0.0779,0.564,102.975
17,In Situ,7LVck898vegWlmM0Rwc81Z,0.483,0.88,8,-5.334,0,0.119,0.0156,4.64e-05,0.0898,0.53,165.052
18,Up the Mountain,2ZvnNPBAlUzwXmlMkJxWDZ,0.713,0.491,2,-10.89,1,0.121,0.0479,0.0118,0.11,0.0378,95.005
19,Nobody But Me (feat. Cold War Kids),4DMDtsHojzFgAKbtFYKoJ9,0.639,0.925,0,-2.884,1,0.061,0.0266,0.000187,0.721,0.652,110.001
20,Time On,6hwlAQ9DSZlXOWqdIEtevQ,0.808,0.595,5,-7.861,1,0.0286,0.0338,0.0019,0.498,0.926,99.986
21,JUMPSHOT!,1hWIeur5Q8BJ9hUrDyTI8W,0.583,0.59,11,-7.759,0,0.0352,0.458,1.86e-05,0.355,0.303,156.007
22,Tomcat Disposables,3Co6zjPlUCDgm8jDOhG5EE,0.398,0.752,2,-7.003,1,0.0777,0.742,0.000114,0.124,0.326,114.706
23,All Comes Crashing,1gKLWryPONC9dyrx5fX3Dr,0.7,0.686,7,-6.888,0,0.0343,0.00606,0.000345,0.447,0.302,111.021
24,excuses (feat. The Ready Set),5UeDZJFN8XrWeqI6lP6Kea,0.807,0.628,6,-3.699,1,0.0675,0.404,0.0,0.103,0.81,134.017
25,Bottle of Bombay,7fxhjn01owKU2TZ2OJ7iG7,0.42,0.684,0,-6.938,0,0.0498,0.458,0.00431,0.181,0.456,57.13
26,Doja Cat,2kXgy7JdxMUlk6OzkxWbzg,0.578,0.375,4,-9.873,1,0.175,0.0127,0.414,0.112,0.115,177.109
27,Love333,0wAQl7JsYX4PgX3YCBf8RN,0.268,0.354,9,-8.846,0,0.0366,0.8,0.105,0.0545,0.154,93.965
28,Sunday,4PIRYikRcmstbumpMmPHav,0.535,0.557,7,-8.182,1,0.0282,0.13,0.000631,0.108,0.217,89.966
29,Might as Well,7sgFIERLa5s8K4DnXlKStc,0.738,0.291,0,-12.608,0,0.0458,0.361,0.0,0.213,0.326,98.009
30,GIRLFRIEND SONG,2QVs38RF95zCnylGTeYsAk,0.575,0.967,7,-5.339,0,0.0678,0.251,0.0,0.102,0.375,120.046
31,coyote (2015-2021),6D0qeYwdqBBb2x6t2aondQ,0.328,0.546,4,-10.271,1,0.0326,0.819,0.368,0.0963,0.268,77.605
32,Look at it in the Light,4hFwJpN49gRhIXD967q3MB,0.678,0.422,0,-7.738,1,0.0384,0.379,0.00104,0.127,0.609,145.765
33,Free In The Knowledge,0Jb9xtnDpX4BOCal2mXBUn,0.237,0.371,5,-9.524,0,0.029,0.844,0.0274,0.371,0.13,147.469
34,Glide - cover,7K3oVOub8m4XQr54pcOhqr,0.206,0.632,7,-9.199,1,0.0354,0.213,0.0137,0.11,0.185,145.904
