setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Branches,3QbKOB6CpRAl7EwL1ByG95,0.241,0.0581,6,-26.036,1,0.0423,0.874,0.846,0.101,0.0975,64.543
2,Minutes,4zIyhdolfQSwPrclbLyvUT,0.168,0.00249,8,-36.64,1,0.0434,0.992,0.956,0.099,0.0609,70.348
3,Return To Balance,5EqTQIOh5R88E6ZgP0lF0u,0.186,0.0222,0,-24.84,1,0.0413,0.918,0.834,0.112,0.0375,79.37
4,Break Even,11zpUtuGDKo3wpzgvzxgVe,0.167,0.0251,2,-34.196,0,0.038,0.943,0.902,0.115,0.038,65.631
5,Whale Song,0zTECcg1F5l9lTIu53e3P5,0.184,0.113,10,-26.285,1,0.0419,0.86,0.856,0.112,0.109,69.306
6,Ljung,4S3rgz60bvE155xKGyCaZe,0.143,0.0599,10,-30.011,1,0.0485,0.93,0.782,0.111,0.115,71.965
7,Across The Purple Expanse,1nh7NOJDfy3oewkGM6u08b,0.158,0.00867,5,-34.619,1,0.0431,0.954,0.904,0.0929,0.132,69.347
8,Mångata,1dpvthn5aYPgBmk7LiKOsl,0.141,0.0118,0,-33.323,1,0.0457,0.962,0.55,0.112,0.0399,141.753
9,Truth Dawn,47mtEViwvEqAb0ihroZ146,0.195,0.00454,7,-37.166,1,0.0433,0.991,0.841,0.111,0.118,70.99
10,Canto de los Andes,3CKC1Y3Yu4mYoUdkIRf6bv,0.17,0.129,9,-28.2,1,0.0403,0.839,0.703,0.107,0.106,137.042
11,Hollow,0r0SemZMW04XkiIp8dvFQQ,0.0975,0.0408,2,-28.907,1,0.0406,0.903,0.868,0.109,0.151,87.402
12,Shinrabansho,6S1cvapi9HH9tr1uX9clVb,0.065,0.017,2,-32.598,1,0.0564,0.989,0.686,0.0937,0.123,31.237
13,I et andet liv,48UNHWGzRfk4AOKrCJM7XJ,0.0685,0.00769,7,-38.523,1,0.0439,0.991,0.859,0.107,0.111,74.874
14,Intentions,4V6wywWLT9rFRH4CFtsRxU,0.164,0.0381,9,-30.458,1,0.0353,0.989,0.959,0.0777,0.0766,69.802
15,Somewhere Else,5pE4svRKo7XAXlxclmO9t1,0.135,0.0031,7,-35.466,1,0.0535,0.915,0.843,0.114,0.0756,142.648
16,Haldast,1DFHGwyQq7EXsLMELxOvEH,0.235,0.0264,8,-27.792,1,0.0604,0.929,0.948,0.116,0.0846,69.763
17,Rooted,3Ac6RvFQVb4TMY4rjGLS2Y,0.102,0.0238,1,-30.575,1,0.0404,0.981,0.943,0.175,0.0393,91.031
18,Fliessend,6USOZA7NMQwoL9LaNfBPJP,0.163,0.0234,10,-34.246,1,0.0399,0.855,0.96,0.123,0.0488,132.775
19,Nelle tue braccia,2X92IuhmBnbF8Wg05rKJLY,0.135,0.00307,0,-35.327,1,0.0539,0.962,0.919,0.126,0.05,72.691
20,Innervate,2ZUsvuyl43t1oqiwGaHMt7,0.148,0.00389,7,-37.419,1,0.0425,0.993,0.829,0.108,0.0395,138.012
21,Dusk Sermons,4eoA6gqXBqpCuCemOineDh,0.186,0.0123,3,-34.008,1,0.0442,0.934,0.942,0.112,0.0533,64.416
22,Een mooie droom,6nxvSAvwbVJIK4CaAjwA5N,0.0983,0.00486,7,-36.47,1,0.0455,0.987,0.747,0.11,0.0371,65.583
23,Neblina,36JZbTsvp44NkViBfn5o0o,0.212,0.0279,3,-29.587,0,0.0437,0.941,0.597,0.105,0.0764,72.204
24,Los ojos de Agua,31K0kVuLjlXbKXomkWwwlj,0.133,0.0339,8,-30.419,1,0.035,0.948,0.877,0.108,0.0576,87.817
25,Nattljus,2QrJ8fjauMnKHUkdnghNzB,0.472,0.0465,0,-32.668,1,0.0325,0.994,0.955,0.0756,0.231,119.973
26,Amanhã,6dGdz2BG7ZhQz4euJxcfo9,0.0866,0.00772,4,-33.081,1,0.0414,0.99,0.956,0.0785,0.0903,167.637
27,Calm Down,2At5E780QvmswvvPuTKPh9,0.203,0.0061,4,-35.375,1,0.0411,0.996,0.926,0.0829,0.094,70.598
28,Crystalé,3GEys1hRIgMNpfeYZj6Dtw,0.158,0.00786,1,-33.93,0,0.0391,0.915,0.876,0.108,0.0332,133.914
29,Eclipse,4UtZIzqtA5l7pnK9btaANX,0.153,0.0377,9,-28.395,1,0.0391,0.974,0.772,0.0851,0.0386,76.533
30,Limitless,3XCBgIzcE8jBv4QYHiIgt6,0.163,0.0219,2,-33.511,1,0.0405,0.975,0.944,0.119,0.109,68.69
31,Dream of Me,34RHSQBCMRHLGPnqZMSepL,0.149,0.0171,7,-31.946,1,0.0401,0.995,0.995,0.0972,0.0662,139.228
32,Nourish,0t4SxD4RI2sZYu7ehNF0Dt,0.202,0.0362,1,-31.89,1,0.0444,0.981,0.809,0.134,0.0379,68.962
33,Morning Haze,6C6joxj0BbyQUJWBpNv4Fc,0.0686,0.0544,11,-25.561,1,0.0446,0.936,0.955,0.0976,0.0398,70.535
34,Cold Spring,5qzs925pSB9rD5v8tdu9CZ,0.363,0.11,0,-23.408,1,0.0324,0.873,0.855,0.0991,0.105,70.02
35,Dès vu,5n3P1XLlsYNdm14Mugb0ED,0.155,0.00558,0,-34.159,1,0.0461,0.984,0.657,0.0967,0.038,135.16
36,Radiant,7KMOtD1iXghmWWR2Wn7PEq,0.472,0.139,8,-23.663,1,0.0312,0.878,0.926,0.201,0.118,99.974
37,Evenfall,1hU9z6EpQLMP1OGu1iGZHL,0.0772,0.00611,5,-34.632,1,0.0438,0.979,0.903,0.113,0.075,80.52
38,Pneuma,5Lc1wnS6xGMw2xajdDvKAp,0.0821,0.0961,9,-28.966,1,0.052,0.814,0.679,0.111,0.0381,172.476
39,My Paradise,4FqRXEGuyM0YfpdtvecUgv,0.187,0.0405,2,-27.446,1,0.0406,0.986,0.859,0.0765,0.0522,63.65
40,Taking Back Time,0YpuEGBfjQyPeKBplateZF,0.128,0.0395,2,-29.812,1,0.0413,0.939,0.972,0.13,0.0433,70.931
41,Rendevouz In Orbit,7lY8H2VrsaOHXjQv2IaW12,0.0745,0.0582,0,-23.814,1,0.0411,0.995,0.987,0.114,0.0375,66.276
42,Levitation,0zQ2Qbxic7cXWOVv9Qy98n,0.152,0.0191,1,-28.133,1,0.0386,0.912,0.959,0.104,0.148,136.724
43,Cadeau,1uDuwJazJz7RRgrrkkEonw,0.18,0.00704,8,-32.382,1,0.0417,0.994,0.955,0.104,0.0784,88.142
44,Philadelphia Shore,1dCJ7AFJVbt8dVTLdsSswV,0.359,0.0337,0,-25.797,1,0.0386,0.964,0.774,0.0963,0.0875,88.901
45,Spiritual Tour,14cdbX7Qi3fiyW7nFhhr6G,0.132,0.106,5,-21.61,1,0.0447,0.929,0.855,0.103,0.0561,74.888
46,Again,3IALa7JyFUltHFC5bm50dC,0.224,0.00631,10,-31.635,1,0.0462,0.973,0.91,0.112,0.0396,70.063
47,Hermosa,5Qg04tWgRG0Yv8VNRUKs9k,0.198,0.0328,1,-30.954,0,0.0395,0.988,0.988,0.0914,0.0652,87.36
48,Giant Steps Tomorrow,2KiBZ6xU6dnj47aT71G28P,0.192,0.0409,0,-29.467,1,0.0391,0.994,0.98,0.0956,0.0394,69.071
49,Echo,63xMceq88HYzM98ZruGHMf,0.171,0.0727,9,-25.084,1,0.0401,0.969,0.95,0.109,0.0416,124.898
50,Somnolence,2T9BgAmZQT2dLqllKA5UPj,0.165,0.00847,9,-33.25,1,0.0419,0.982,0.863,0.0983,0.0431,71.749
