setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Perfect Sunday,3y9l6PAbOOGYBH1AY4XaTO,0.621,0.65,3,-9.925,1,0.0541,0.601,0.925,0.325,0.433,168.069
2,Exhale,5w4bufYITsxPjmG7xSu8Ga,0.638,0.489,6,-10.288,1,0.0391,0.892,0.919,0.203,0.476,82.01
3,Sundance,0t7lbaAiA6zU79AMi1Eb7K,0.8,0.547,5,-9.716,0,0.04,0.5,0.869,0.1,0.706,104.036
4,Feels Like Friday Night,3bDsnnpzrp67FMcHmxOCFQ,0.855,0.571,5,-6.4,0,0.035,0.233,0.836,0.0795,0.914,109.984
5,BLUE MOON,4Nq3SI3SNpsnxwlkaHYL94,0.713,0.778,7,-6.203,0,0.0341,0.257,0.0285,0.0391,0.556,91.02
6,Let’s Get Serious,2vSHFGFj1iS7QcCzLwi6Rm,0.759,0.515,10,-9.74,0,0.0314,0.696,0.76,0.0932,0.794,106.052
7,Fluid,2OCteRb2LiiMEN6XA2cqaL,0.809,0.552,2,-8.678,0,0.041,0.161,0.859,0.127,0.628,95.016
8,When We Dance,09N0r6vIBIEbqcpuAYvKEL,0.339,0.617,7,-9.396,0,0.0312,0.893,0.933,0.0857,0.726,91.328
9,Stronger Now,1ldNcaMyLRYnRgYORskmlX,0.59,0.455,2,-11.335,1,0.0277,0.218,0.907,0.217,0.435,139.994
10,Seventh Heaven (feat. Jeff Golub),2ZZ6st5XTa8wDNqsE1bHa7,0.641,0.625,5,-11.644,1,0.0371,0.68,0.927,0.202,0.604,91.917
11,Magic Hour,1AbQCUGbvIbO2NUen6tVAg,0.585,0.838,5,-6.884,1,0.0348,0.146,0.858,0.0716,0.794,172.023
12,Stockholm Summer,7nDChpaHBKx9ZCJmEcTdtX,0.711,0.476,11,-9.448,0,0.0358,0.802,0.742,0.105,0.382,102.925
13,New Bounce (feat. Vincent Ingala),0Oy7FMqWqf5ksonP766CNc,0.731,0.629,5,-8.959,0,0.0294,0.375,0.827,0.0872,0.644,95.976
14,My Song for You,2WkpgjnqTOPCi60IvlDtvB,0.705,0.635,4,-6.395,0,0.0278,0.536,0.0161,0.113,0.525,102.933
15,Summer Nights,61S3v0zujG9J171zdMEap7,0.637,0.818,10,-7.178,0,0.0338,0.189,0.886,0.0703,0.799,97.983
