setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,See you Soon,5W5N23Xz1Zk6Qi8wkP8UPM,0.593,0.544,2,-7.644,1,0.0257,0.476,0.602,0.324,0.112,103.989
2,whatever u like,4tv72g5KnIy4XbyDBhEFgA,0.615,0.484,2,-9.938,1,0.045,0.361,1.11e-05,0.154,0.489,91.92
3,Colours Of You,7hjPM7rlZo3netjXWOZqcT,0.482,0.542,5,-7.932,0,0.034,0.598,4.78e-05,0.0975,0.251,149.916
4,Pool,1ZP4Qxb7USL3EezbxfpOVF,0.664,0.477,0,-10.53,1,0.0551,0.394,4.15e-05,0.136,0.273,100.046
5,American Teenager,2k5D4U0IEcEW5eGyNtpXhH,0.425,0.743,4,-5.006,1,0.0462,0.00302,0.0,0.0915,0.151,119.912
6,Look at it in the Light,4hFwJpN49gRhIXD967q3MB,0.678,0.422,0,-7.738,1,0.0384,0.379,0.00104,0.127,0.609,145.765
7,Like a Prayer - Live,1nM9BUwYIkDbLABWUHjNZH,0.49,0.913,2,-4.004,0,0.0468,0.0184,4.95e-05,0.827,0.24,112.137
8,Yuck,5cYEuFqzITZlZzpoR1sHvu,0.765,0.675,1,-5.687,1,0.0402,0.0585,1.51e-06,0.0703,0.886,100.939
9,cant celebrate,7FASEsOoEfBpUjdkIuz40V,0.543,0.97,6,-6.897,1,0.0356,0.00569,0.744,0.155,0.688,145.448
10,A New Kind Of Love - Demo,3fuyYaLhZ2RoP9eWpvfP1H,0.674,0.487,9,-13.307,1,0.0331,0.169,0.00411,0.127,0.329,132.97
11,That's Where I Am,4f1KkbXHnfIVZ9vmIExByJ,0.269,0.764,7,-3.735,1,0.0534,0.132,0.0,0.0723,0.15,181.299
12,better,15rVXXprHKchfNG4kLnIqP,0.769,0.373,7,-10.732,1,0.0702,0.385,0.000172,0.143,0.323,105.088
13,ONE IN A MILLION,2XkDm5m2vPowecEAAR5gmb,0.765,0.484,11,-6.96,1,0.0738,0.699,0.0,0.12,0.507,80.003
14,News At 9,4ve3XvrdiYbKeDZ1QdeBU7,0.344,0.409,3,-6.001,1,0.033,0.371,0.000181,0.332,0.119,134.147
15,coyote (2015-2021),6D0qeYwdqBBb2x6t2aondQ,0.328,0.546,4,-10.271,1,0.0326,0.819,0.368,0.0963,0.268,77.605
16,As It Was,4LRPiXqCikLlN15c3yImP7,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93
17,Lovely Day,0bRXwKfigvpKZUurwqAlEh,0.692,0.651,9,-8.267,1,0.0324,0.292,0.00241,0.105,0.706,97.923
18,j's lullaby (darlin' i'd wait for you),7LNm1oWd6PniO9wRYpNY5o,0.54,0.11,8,-19.885,1,0.0328,0.498,0.000614,0.0781,0.172,76.068
19,Gonna Bleach My Eyebrows,3Am6nVgWd4pwO2hguNHqI7,0.876,0.843,5,-5.669,0,0.0701,0.18,0.0021,0.116,0.527,131.997
20,Baby Tonight,6iQNowW9ulIf5rQuMCSLFt,0.421,0.768,10,-6.729,1,0.0341,0.000232,0.000114,0.113,0.138,189.967
21,ceilings,3hiuZQQ33aDnu4Xmmn8Lr7,0.514,0.327,9,-11.702,1,0.0292,0.478,0.0015,0.215,0.265,148.004
22,book of spells,7n8bTcvJbZbdTxT9aCDNQ4,0.627,0.487,8,-12.366,1,0.0648,0.796,0.815,0.109,0.468,168.078
23,UH OH! (feat. BENEE),3smlpsXoDcTvDqHZTYfJLe,0.759,0.582,9,-7.414,0,0.331,0.5,9.05e-06,0.197,0.484,150.772
24,Castles,7pbDDgeQjKt3fOrjePnwFu,0.586,0.661,8,-9.087,1,0.0448,0.262,0.8,0.144,0.363,129.873
25,Cry Baby,6EhLEIwLKrqjf6VTx9eGOd,0.536,0.685,2,-6.511,1,0.0286,0.491,0.0133,0.166,0.786,78.92
26,all i ever wanted (was you),3Lq24mWk6irXyj6CBccvjV,0.563,0.713,1,-4.693,0,0.0523,0.257,1.32e-05,0.0597,0.507,162.07
