setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,I'M ON ONE (feat. Drake),6wyhUr4Xw8z5uSy0AhoZfU,0.773,0.707,11,-5.71,1,0.0568,0.0103,1.04e-05,0.296,0.113,76.977
2,Knife Talk (with 21 Savage ft. Project Pat),2BcMwX1MPV6ZHP4tUT9uq6,0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887
3,Ambition For Cash,1tkipCYkIgti8f1tqjfcWe,0.841,0.732,7,-5.186,0,0.19,0.0115,2.18e-05,0.136,0.576,149.012
4,Super Gremlin,4A8cWXxKfIL3lAyUDzXbCF,0.825,0.414,2,-6.634,1,0.144,0.00265,0.0,0.357,0.106,72.993
5,pushin P (feat. Young Thug),3XOalgusokruzA5ZBA2Qcb,0.773,0.422,1,-4.572,0,0.187,0.00783,0.00693,0.129,0.488,77.502
6,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),1EJIcDYXwSqipW5dFe4uJz,0.477,0.727,2,-4.053,1,0.286,0.000866,0.0,0.108,0.227,150.062
7,RAPSTAR,43PGPuHIlVOc04jrZVh9L6,0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.437,81.039
8,"Shake It (feat. Cardi B, Dougie B & Bory300)",0RkCnqwF8Tfl2QGPZwopyk,0.87,0.835,1,-5.875,1,0.311,0.0353,0.0,0.142,0.901,140.051
9,Don't Play That,6BczFLHW9aIf9aWn5NFuNL,0.947,0.605,10,-8.621,0,0.346,0.0748,7.54e-06,0.0901,0.656,129.988
10,Hold That Heat (feat. Travis Scott),6OrTKLtcF7EBayOV2QqkSK,0.744,0.608,2,-6.386,1,0.0442,0.0295,0.0,0.397,0.0692,130.045
11,Element,57BGVV6wcyhbn3hsjlqEZB,0.772,0.878,2,-4.22,1,0.324,0.0301,2.18e-06,0.251,0.305,61.311
12,Nail Tech,62Yo3FDddWY8ydu6PW2wyz,0.647,0.581,4,-7.678,0,0.0884,0.0029,7.76e-06,0.119,0.113,150.149
13,4 Da Gang (with Roddy Ricch),1mAey8kEPmDM2icL56kS9d,0.87,0.561,7,-10.388,1,0.186,0.0124,0.0,0.103,0.691,100.458
14,Back In Blood (feat. Lil Durk),7JuHVG3qQKQKxC4doneXVW,0.759,0.538,8,-8.256,0,0.384,0.151,0.0,0.126,0.831,146.933
15,Right On,6ws54n2IzyrIxxyzlG2bVJ,0.535,0.618,2,-5.668,1,0.382,0.0245,0.0,0.103,0.211,165.991
16,Runnin,5SWnsxjhdcEDc7LJjq9UHk,0.819,0.626,10,-4.574,0,0.202,0.00748,0.101,0.167,0.415,143.01
17,Over The Top (feat. Drake),3yaYgjEFkRw3PVjW9mV1TO,0.833,0.498,10,-5.196,0,0.117,0.0493,0.0,0.119,0.259,139.928
18,Got It On Me,25zlnOAzbVoOzIeXSvQFf1,0.688,0.647,2,-7.258,1,0.19,0.00815,1.65e-05,0.095,0.195,88.834
19,HOME,2WnPietHTd9hrIPbZnpoHL,0.895,0.468,0,-5.777,0,0.378,0.342,0.0,0.213,0.428,118.019
20,Remember (with Nigo),0PGRXJFSwpn5OAGFpEwiqK,0.685,0.744,11,-3.687,0,0.187,0.201,1.74e-05,0.161,0.167,134.95
21,Million Dollars Worth of Game (feat. 42 Dugg),3IZWCcD1FYpyeY3ki2VUmL,0.808,0.677,2,-4.922,1,0.106,0.00407,0.0,0.132,0.46,97.009
22,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",4yNoUQkYf1QF8iYlEzNynH,0.739,0.74,5,-5.86,0,0.333,0.0045,0.0,0.161,0.488,75.575
23,Hot (Remix) [feat. Gunna and Travis Scott],56AMYGJzxBO6p8v0wEe9de,0.845,0.631,7,-8.206,0,0.216,0.188,0.0,0.0806,0.545,111.983
24,City of Gods,4huBDGP4I3S0pYI0EaRN1c,0.474,0.801,8,-5.978,0,0.375,0.102,0.0,0.322,0.497,147.356
25,Shmoney (feat. Quavo & Rowdy Rebel),10TaZTWBzpWwDTVlsfXzMf,0.789,0.896,8,-4.018,1,0.283,0.00199,0.0,0.348,0.887,145.039
26,Collard Greens,0zO8ctW0UiuOefR87OeJOZ,0.825,0.575,11,-4.87,1,0.0633,0.025,9.94e-06,0.205,0.65,153.954
27,Surround Sound (feat. 21 Savage & Baby Tate),0cp97b37sFNsdIbQH6po3T,0.57,0.573,5,-6.935,1,0.476,0.156,0.0,0.256,0.517,76.006
28,ESCAPE PLAN,4R67rQNSbbsR4TdUVOIdez,0.839,0.506,5,-6.714,0,0.133,0.00207,0.0,0.13,0.44,154.12
29,Off The Grid,6LNoArVBBVZzUTUiAX2aKO,0.546,0.64,8,-5.582,1,0.37,0.0438,0.0,0.137,0.63,137.728
30,Maybach (feat. Future),2Qt8qG9SWPdtRiaWcPNJRm,0.735,0.446,5,-10.232,1,0.109,0.0071,1.93e-05,0.173,0.121,150.915
31,Elon Musk (feat. Gunna),6g6FfeozIEkVUXecpSq16Q,0.826,0.583,2,-5.186,0,0.0626,0.441,0.0,0.155,0.539,140.039
32,Beat Box 3 (feat. DaBaby),6toQdWWc4noiOk3Eo5mVDS,0.853,0.426,1,-6.812,1,0.374,0.0765,0.0,0.104,0.201,160.051
33,GATTI,40mjsnRjCpycdUw3xhS20g,0.594,0.676,2,-5.808,1,0.344,0.135,0.0,0.163,0.472,143.477
34,Flossin’ (feat. YoungBoy Never Broke Again),3zDMTxEANpj6hedyCrHXBg,0.713,0.57,2,-8.126,1,0.113,0.0425,0.0,0.131,0.155,159.99
35,Having Our Way (feat. Drake),2NM0qHzx4Ohy8iXHEEgwlO,0.927,0.538,1,-3.917,1,0.116,0.0312,0.0,0.0945,0.221,125.983
36,Heatin Up (feat. Gunna),0ecBpKN02kcskxhv9zU36y,0.788,0.436,1,-9.435,1,0.364,0.0612,0.0,0.0979,0.341,129.848
37,Alright,3iVcZ5G6tvkXZkZKlMpIUs,0.796,0.766,7,-5.974,1,0.238,0.0742,0.0,0.0827,0.558,110.034
38,Coming In Hot,1kVYXfxTWSftIZtmYr6yH8,0.889,0.453,8,-8.782,1,0.261,0.0274,4.75e-06,0.156,0.428,140.025
39,Bout A Million (feat. 42 Dugg & 21 Savage),4LaGu95Ui2s4vprSQYWUAZ,0.716,0.67,0,-6.995,0,0.101,0.526,0.0,0.13,0.411,145.043
40,Way Bigger,0HNKMJ2EKCaT2EqcCBj1EH,0.752,0.531,1,-6.236,1,0.0568,0.0534,0.0,0.124,0.2,131.97
41,too easy (Remix) [feat. Future & Roddy Ricch],6DmhZu3SFOPOf4PkngL6TE,0.779,0.601,5,-6.474,0,0.118,0.0133,0.0,0.126,0.248,156.019
42,Do We Have A Problem?,1PNs0uGru3TcrA94kpyGnc,0.842,0.505,1,-8.627,0,0.402,0.472,0.000322,0.117,0.538,119.993
43,m.A.A.d city,2cDCojn6uIBM6A5xTAbl3H,0.487,0.729,2,-6.815,1,0.271,0.0538,4.07e-06,0.44,0.217,91.048
44,Champions (feat. Wiz Khalifa),6MBBMgzOJjVsBuhZglGJXw,0.932,0.582,10,-7.761,0,0.146,0.0644,0.0,0.0814,0.637,118.107
45,LEVELS,76FG8HZ27lqfceC1af0aHn,0.499,0.682,8,-6.248,0,0.0593,0.215,0.0,0.0802,0.412,155.085
46,AIN'T MY FAULT (feat. 42 Dugg),30An28ovHzHONcqysPKIIs,0.654,0.786,7,-4.802,1,0.245,0.109,0.0,0.381,0.735,155.953
47,Floor Seats,6AomCkEOQUODCYzQwH4SWC,0.705,0.733,5,-4.942,1,0.102,0.069,0.154,0.823,0.681,135.993
48,"Nuthin' But A ""G"" Thang",4YtoipFgf4k0AfD17ZfD5X,0.801,0.699,11,-8.18,0,0.279,0.00575,0.0,0.146,0.655,94.605
49,thought i was playing,5dqeWGM9sqLd5bZhyBikrZ,0.679,0.73,1,-7.483,1,0.0689,0.00421,0.0,0.0736,0.292,148.038
50,Lay Wit Ya (feat. Duke Deuce),0RlsFYqkOzlg4ZxVQs9YJA,0.913,0.861,1,-7.36,1,0.204,0.0332,4.26e-06,0.766,0.969,140.003
