setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,It's A Great Day To Be Alive,3oW6SWwGqiZSPTiAp7ZQoH,0.595,0.653,7,-4.935,1,0.0265,0.246,0.0,0.264,0.542,128.93
2,Ain't Nothing 'Bout You,6CkydK3NOAMScIhViRzXoB,0.325,0.887,0,-4.199,1,0.0569,0.144,1.35e-06,0.431,0.705,202.339
3,Before He Cheats,0ZUo4YjG4saFnEJhdWp9Bt,0.519,0.749,6,-3.318,0,0.0405,0.271,0.0,0.119,0.29,147.905
4,Something Like That,6leiB1fEsTnVCuPiielde5,0.507,0.85,5,-5.679,1,0.0472,0.378,0.0,0.0567,0.847,171.8
5,Somebody Like You,0b9djfiuDIMw1zKH6gV74g,0.624,0.84,4,-5.768,1,0.0337,0.108,0.000546,0.144,0.656,111.02
6,Cowboy Take Me Away,3rXCZRMiMZp0feGcYXpwYX,0.467,0.622,6,-7.255,1,0.031,0.365,0.00527,0.0982,0.455,164.418
7,Picture (feat. Sheryl Crow),69j0KoPJuwpnbGWrfn7Yll,0.692,0.496,7,-7.332,1,0.0241,0.172,6.42e-06,0.107,0.376,97.945
8,I Go Back,57I7CUbXo4XlWuTVB8pXW6,0.532,0.842,5,-5.754,1,0.0503,0.0409,0.0,0.217,0.67,90.187
9,Gunpowder & Lead,3z1PqYwMtct2Dm4R9lhWnT,0.333,0.907,0,-3.191,1,0.0959,0.153,0.0,0.395,0.353,187.826
10,Suds in the Bucket,6NhpIdjYoufuNNlBsgOztc,0.511,0.903,10,-3.163,1,0.0397,0.052,0.000529,0.304,0.898,161.992
11,Red Dirt Road,3EZzghqykkfOB0Z8d0kTSt,0.555,0.868,5,-3.798,1,0.0403,0.0664,0.000117,0.116,0.479,136.12
12,Chicken Fried,0LQtEJt7x0s6knb6RKdRYc,0.566,0.713,6,-4.25,1,0.0418,0.645,0.0,0.114,0.805,169.861
13,Redneck Woman,26bL4gSULWDgdIMX0pRFrG,0.499,0.825,6,-5.146,1,0.177,0.13,0.0,0.306,0.753,185.069
14,Live Like You Were Dying,7B1QliUMZv7gSTUGAfMRRD,0.416,0.546,7,-7.728,1,0.0297,0.492,0.0,0.0845,0.418,159.929
15,Our Song,15DeqWWQB4dcEWzJg15VrN,0.668,0.672,2,-4.931,1,0.0303,0.111,0.0,0.329,0.539,89.011
16,Goodbye Earl,7rqaqQurHzR5xHAhdm1gmM,0.705,0.7,0,-7.38,1,0.0295,0.0192,0.0,0.0755,0.765,122.841
17,She's Country,0PspNrE4MSjr1JeB4OW0jn,0.553,0.872,1,-2.832,0,0.0782,0.198,0.0,0.0659,0.638,172.138
18,My Wish,6Gfmj0HbpvxTdW0sdlzTDU,0.548,0.769,4,-4.853,1,0.0312,0.0307,5.53e-06,0.0867,0.388,135.712
19,Boondocks,3duP6mBVDsHM8ioN7o7dAK,0.41,0.78,9,-5.391,1,0.0332,0.211,0.0,0.48,0.695,88.016
20,Leave the Pieces,1VnQfAPIHwFImjfO9gnyUt,0.514,0.679,6,-6.117,1,0.0273,0.0255,0.0,0.0594,0.496,164.109
21,19 Somethin' - Greatest Hits Version,0ElpjZyX8YBiXuYcDC1Ci9,0.58,0.816,4,-5.165,1,0.0726,0.132,0.0,0.0776,0.814,89.938
22,Breathe,3y4LxiYMgDl4RethdzpmNe,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859
23,Love Like Crazy,6Ozp6ac86CSHMik8lbvJuM,0.535,0.725,10,-5.108,1,0.0275,0.0203,1.45e-05,0.176,0.292,78.489
24,Mr. Mom,0jSIovJtKxEXH6vI4oRx7I,0.505,0.842,10,-3.316,1,0.0475,0.0576,0.0,0.111,0.671,172.136
25,If You're Going Through Hell (Before The Devil Even Knows),7vSn3VNbzOtPebdj6ZSebj,0.566,0.898,9,-3.659,1,0.0634,0.0613,0.0,0.126,0.791,115.954
26,Who I Am,0rK4HCKzv2r1IXqKX3DKpq,0.463,0.674,7,-5.422,1,0.0319,0.0115,0.0,0.123,0.259,84.039
27,Bless The Broken Road,4YjjNHtEsTX6Af4mCTupT5,0.591,0.45,0,-6.369,1,0.0266,0.671,2.23e-05,0.159,0.344,135.893
28,Good Directions,7GQjJEwqlp6m5HNWVQd6OR,0.716,0.72,5,-2.183,1,0.0319,0.307,0.0,0.135,0.464,122.512
29,Alright,5JlH51YDYsGj2dyEJKKjcN,0.601,0.806,7,-4.579,1,0.0345,0.0527,0.0,0.185,0.711,89.87
30,Austin,2WQAknZHrJAEQOFXe0F44P,0.605,0.609,7,-7.063,1,0.0278,0.188,0.0,0.0982,0.275,119.914
31,In Color,7CNd7rjfVt74TFlcOcnZgN,0.544,0.404,3,-8.751,1,0.0354,0.391,3.98e-06,0.157,0.251,129.518
32,When the Sun Goes Down,5vLonpxn4VN0A8GtQOBSG0,0.798,0.741,9,-6.802,1,0.0284,0.0432,3e-06,0.252,0.708,104.945
33,Drive (For Daddy Gene),1FV374EPG5CrjdIbIMLkcv,0.713,0.579,11,-8.066,1,0.0413,0.338,0.0,0.174,0.511,125.179
34,Would You Go With Me,1KhrAWvLIjRlQIJtSTgvsi,0.605,0.864,6,-5.365,1,0.0292,0.13,0.000827,0.113,0.736,122.918
35,I Wanna Talk About Me,3VHevS1BocAcrihLnl11DG,0.765,0.87,5,-5.191,1,0.0499,0.168,0.0,0.125,0.684,106.06
36,Watching Airplanes,63u5QGp9dKXAoYTVKUKBYn,0.374,0.711,11,-3.587,1,0.0354,0.547,4.12e-05,0.147,0.468,160.001
37,Just Got Started Lovin' You,4b0XF7CDpJEBAdVHMw7amV,0.705,0.606,7,-7.047,1,0.0243,0.159,0.00149,0.242,0.876,98.001
38,Brokenheartsville,0WB48shl2wAH4KqyQkQ8nJ,0.686,0.631,10,-5.182,1,0.0232,0.126,0.000183,0.107,0.509,103.953
39,Whiskey Lullaby,0f7OHfUNNs5DGTijGFPalp,0.532,0.371,2,-8.908,1,0.0334,0.817,0.0,0.131,0.161,74.47
40,People Are Crazy,5JnLiuMgRAWoHYOhatFP3s,0.651,0.699,5,-5.006,1,0.0265,0.213,0.000265,0.12,0.36,141.938
41,Paint Me A Birmingham,7cxOL3nvmqd6w811wOlWT1,0.545,0.428,6,-9.388,1,0.0279,0.319,0.0,0.114,0.335,131.784
42,Landslide,5hviCr3lgg6LY6noG6DPKs,0.571,0.438,2,-7.007,1,0.0279,0.534,1.56e-05,0.187,0.444,145.948
43,Toes,4S518ci8UY4op0Xyp6Hx6o,0.801,0.759,11,-5.398,1,0.0378,0.657,0.0,0.0897,0.821,129.971
44,It Won't Be Like This For Long,4gzeYkzuzxuzAUTsGcdjqA,0.584,0.524,4,-6.001,1,0.0287,0.335,0.0,0.11,0.389,143.863
45,Watching You,5OusUgzHz6Ulb3GZT7WUo5,0.625,0.848,2,-4.008,1,0.0314,0.105,0.0,0.23,0.716,137.993
46,Save a Horse (Ride a Cowboy),5s7m2xNZWgz5FqVSIvJcGA,0.7,0.896,2,-2.276,1,0.191,0.108,0.0,0.453,0.817,102.065
47,Ol' Red,5wane5dFpp8xgriui6y0c7,0.664,0.556,10,-7.713,1,0.0365,0.146,3.91e-06,0.113,0.494,75.049
48,It Must Be Love,16OFkCrdYH524sqvTPt6CT,0.816,0.669,6,-7.925,1,0.0295,0.284,0.0,0.0563,0.967,112.132
49,Find out Who Your Friends Are,73njvNJmgXA180vTPkA16C,0.524,0.797,2,-4.777,1,0.0329,0.209,0.0,0.286,0.783,159.859
50,Travelin' Soldier,0AkZjWYCMJ8wWiNex7LmkY,0.569,0.365,9,-7.047,1,0.0265,0.691,0.0,0.17,0.508,145.859
51,Tequila Makes Her Clothes Fall Off,6IC6VhpV7D8T1t037Atqpu,0.664,0.706,2,-7.045,1,0.027,0.129,1.06e-06,0.0857,0.681,93.968
52,This One's for the Girls,01CnYyPXMFRzOFVQBU8WMb,0.613,0.801,8,-4.431,1,0.0354,0.0626,1.15e-05,0.124,0.609,126.966
53,Amarillo Sky,0axUHkhMMY0YSC1jFBVWqv,0.491,0.776,2,-3.887,1,0.0393,0.314,0.0,0.146,0.428,154.988
54,I Need You,18wDkct4lkK046D6gcCASs,0.541,0.596,4,-7.09,1,0.03,0.333,0.000164,0.133,0.204,79.697
55,Just Another Day In Paradise,4LlNoNZflek4hZyZigCxpW,0.596,0.706,2,-5.562,1,0.0261,0.359,0.0,0.36,0.705,146.095
56,What Was I Thinkin',0r8iDf65NHgFgZOGLwj5r8,0.551,0.825,5,-6.24,0,0.044,0.152,6.2e-06,0.0999,0.933,164.857
57,American Honey,4xInIiKipU1mtUogJ3ZdYr,0.588,0.684,1,-5.154,1,0.0288,0.508,0.0,0.141,0.121,85.997
58,Something to Be Proud Of,4D8uIY6Wzj7dJDaw0dW0UF,0.645,0.693,0,-6.481,1,0.0344,0.0811,1.22e-05,0.175,0.553,97.555
59,My Front Porch Looking In,2CVJECHIdpe8otFH0XFI4F,0.529,0.811,5,-5.62,1,0.0511,0.0317,0.0,0.311,0.454,102.703
60,Here for the Party,0SuzUhWAgStNIMZR4jEGgk,0.656,0.717,0,-4.871,1,0.0279,0.0127,1.22e-05,0.904,0.809,123.988
61,A Little Bit Stronger,5FIp4LrsffxiHLhmmpCbCx,0.536,0.65,2,-5.603,1,0.0337,0.282,1.16e-06,0.0876,0.288,147.93
62,As Good As I Once Was,7G6l2FtQyRhQgYgut2I6i8,0.68,0.87,5,-4.461,1,0.0393,0.266,0.0,0.109,0.646,119.075
63,Don't Think I Don't Think About It,0XfFxeXzMkIy5SWAVpOQin,0.578,0.752,9,-5.264,1,0.033,0.0275,0.0,0.125,0.405,149.689
64,Red Ragtop,5xErd5QhOvTKFU7l8dffWC,0.551,0.671,7,-7.888,1,0.0286,0.191,2.49e-06,0.202,0.561,77.066
65,She Thinks My Tractor's Sexy,3QV7NYkrmV0Q0IHdFJw9hO,0.689,0.886,10,-7.066,0,0.0382,0.0664,0.0,0.278,0.906,122.07
66,Tim McGraw,0Om9WAB5RS09L80DyOfTNa,0.58,0.491,0,-6.462,1,0.0251,0.575,0.0,0.121,0.425,76.009
67,Amazed,6qc34bnVOyqGDPni8H5W0U,0.561,0.543,1,-8.498,1,0.0324,0.26,0.0,0.124,0.243,139.803
68,Lucky Man,4GiXBCUF7H6YfNQsnBRIzl,0.578,0.471,4,-7.27,1,0.0289,0.368,0.0,0.159,0.532,133.061
69,Born to Fly,1zmvaeDthBdtthb4RgYr9a,0.612,0.663,1,-9.314,1,0.035,0.00931,0.0152,0.0637,0.558,100.178
70,Big Green Tractor,4KAzYqfcijCSZa2P3etHoM,0.623,0.59,4,-5.014,1,0.028,0.646,0.0,0.295,0.579,137.071
71,Must Be Doin' Somethin' Right,6TefPQD0oc88BNALpu4U87,0.489,0.647,9,-3.424,1,0.027,0.205,0.0,0.0504,0.436,167.792
72,What Kinda Gone,7uPReljrrTaqzDCcx4JHmi,0.494,0.861,5,-5.236,1,0.0365,0.257,0.0,0.103,0.668,172.052
73,Gettin' You Home,28Sc21lrWcZD9Ov4rRkPJq,0.639,0.678,7,-5.02,1,0.0278,0.44,1.45e-06,0.221,0.531,106.966
74,Mississippi Girl,79YeQbd1p7MsuT7wHQLRYY,0.499,0.765,9,-4.148,1,0.0521,0.113,0.0,0.0509,0.665,83.916
75,Brand New Girlfriend,4mpUaApNea2QhQshM4xyr4,0.669,0.861,2,-3.547,1,0.0929,0.0273,0.0,0.0586,0.72,133.82
76,Kerosene,2yhhcHTfvLC0HzSajGYL0h,0.628,0.92,7,-3.252,1,0.0287,0.00687,5.34e-05,0.337,0.808,126.998
77,Long Black Train,2HqCaO7BV010qXS5FuiTED,0.537,0.699,10,-6.615,1,0.0399,0.237,2.27e-05,0.114,0.814,84.905
78,Gimmie That Girl,7xoBJ4hih949Jeu5ZfzBai,0.5,0.9,2,-3.577,1,0.117,0.205,0.000251,0.694,0.675,162.249
79,Redneck Yacht Club,4etE2X6t7GmyiuYLIdI8H5,0.49,0.817,8,-5.405,1,0.0355,0.455,0.0,0.0885,0.808,168.115
80,Forever And For Always,5eQtR62IZ8P8qZM2pSD9Ip,0.469,0.722,6,-4.806,1,0.0326,0.232,0.0,0.123,0.529,85.984
81,Need You Now,11EX5yhxr9Ihl3IN1asrfK,0.587,0.622,4,-5.535,1,0.0303,0.0927,0.000636,0.2,0.231,107.943
82,Modern Day Bonnie and Clyde,58rdbCe3SBJuJeWEJa8Htm,0.647,0.874,9,-5.075,0,0.0337,0.101,1.79e-05,0.277,0.918,89.727
83,Red High Heels,7dFSHwa7BNZvWlOuYsvFpy,0.626,0.842,5,-3.74,1,0.0337,0.13,0.0,0.0734,0.54,115.72
84,Good Morning Beautiful,0eHT8N5YQglv8cYYizXvSw,0.565,0.5,7,-8.822,1,0.031,0.452,0.0,0.137,0.242,70.984
85,These Are My People,5jFid6SUnYqohvNvNuZvIz,0.558,0.896,0,-3.687,1,0.0545,0.0316,0.0,0.528,0.63,90.064
86,Play Something Country,7MevrbPAGEaw1IgkaBmv82,0.685,0.909,0,-3.797,1,0.032,0.0782,1.25e-06,0.369,0.864,115.043
87,"Jesus, Take the Wheel",3lec3CzDPAxsZokPph5w87,0.359,0.518,2,-3.537,1,0.0302,0.665,0.0,0.106,0.135,76.572
88,All My Friends Say,539dFCMA8lfEElDPgGpcIB,0.683,0.9,9,-4.422,1,0.0333,0.0439,0.0,0.177,0.962,117.036
89,What Hurts The Most,4bVuIlGQBMWS7vIhcx8Ae4,0.537,0.674,5,-5.134,0,0.0277,0.0088,0.0,0.265,0.33,136.002
90,Love Don't Live Here,16vNQhg2y5RDkkNaQExLTL,0.653,0.873,1,-3.829,1,0.0315,0.0619,3.41e-06,0.144,0.627,139.937
91,Lost in This Moment,6WacAQkSA7QkEPnxse7WWw,0.599,0.574,11,-7.363,1,0.0434,0.32,0.0,0.226,0.677,147.751
92,That's What I Love About Sunday,1fmi1hOBtH8xfUiWz4LVtE,0.6,0.56,8,-6.311,1,0.0325,0.479,0.0,0.111,0.417,139.469
