setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Do It To It - Tiësto Remix,2XKsHHNCtKqk9cF35TRFyC,0.636,0.892,2,-5.573,1,0.0386,0.000422,0.0954,0.156,0.456,125.003
2,My Heart Goes (La Di Da) (feat. Topic),4xMbBESczlHPUO8QeYi56p,0.695,0.781,7,-5.578,0,0.0452,0.0185,3.12e-05,0.295,0.456,124.04
3,Shivers - Ofenbach Remix,1eGlStOBtFJ6Oc4hhN5tUR,0.861,0.832,2,-3.35,1,0.0457,0.0119,0.0,0.0461,0.917,126.989
4,I Got A Feeling,67khZBWjxlHg85xcwdySjS,0.6,0.845,2,-3.695,0,0.042,0.0238,0.0,0.434,0.378,125.027
5,"Calabria (feat. Fallen Roses, Lujavo & Lunis) - Shift K3Y Edit",1gb9DUaeZtyZ8w2cwANM5m,0.701,0.968,8,-5.13,0,0.0513,0.0812,0.000385,0.0833,0.599,125.984
6,Belly Dancer,7fZBQnc0zXwVybgCIrQQil,0.845,0.797,1,-4.984,1,0.139,0.0582,5.57e-06,0.167,0.422,121.985
7,Runaway (with Sigala and JP Cooper),6tS1Fm9z3UKuLSxrinY3pC,0.617,0.756,3,-5.811,1,0.104,0.213,0.0,0.152,0.432,121.828
8,Gimme! Gimme! Gimme! (A Man After Midnight),3Ty6LPBgKjUtTmk14f2Ux4,0.698,0.788,0,-5.508,1,0.0797,0.0143,9.84e-05,0.433,0.578,125.973
9,Say It Right - ILURO Remix,5ofHoV0ywhsZUOArK1Oa1h,0.696,0.934,8,-4.051,1,0.267,0.0129,0.0,0.153,0.472,124.017
10,California Dreamin' (feat. High Jinx),4ASOMWcJUrwEpjJy4GEijz,0.685,0.911,9,-4.977,1,0.144,0.00552,0.0247,0.285,0.351,128.02
11,Drive (feat. Wes Nelson),6eCmK3GQyFuTNWCJHsaF9d,0.81,0.571,10,-7.189,0,0.085,0.0624,1.63e-06,0.094,0.771,125.994
12,Remember,4laAKIq9ZxBCwf99rauPYb,0.612,0.862,8,-2.903,1,0.037,0.041,0.0,0.0907,0.354,123.849
13,When I'm Gone (with Katy Perry) [VIP Mix],53y02rkTgMKgaJihn2Y2jE,0.622,0.954,9,-2.829,0,0.0524,0.0165,0.000136,0.311,0.457,125.081
14,One By One - Radio Edit,6kCvQVXRjVmbtZ4k76s4c4,0.868,0.803,2,-7.376,1,0.0601,0.00684,0.347,0.139,0.805,125.999
15,Paper Planes,4mrAArfFEIqpH6myouJb03,0.643,0.762,7,-4.003,0,0.0373,0.0525,0.0,0.345,0.399,125.947
16,Make My Mind Go (with Jonasu),6TO1XrGYwdw5y6lx3x5Aa7,0.716,0.622,2,-5.161,0,0.0278,0.00646,5.33e-06,0.124,0.576,124.005
17,Chain My Heart,67lbzVADsqJJ6tyVk0XCgn,0.663,0.849,11,-4.462,0,0.0334,0.0791,1.2e-06,0.192,0.722,123.992
18,Titanium (feat. Sia) - David Guetta & MORTEN Future Rave Remix,5072hCBK3Z15qRnTEzd8fy,0.448,0.911,10,-7.121,1,0.0491,0.00107,0.555,0.37,0.0305,126.021
19,Deep End,3zKAZWa3KinlGdhm41IG5A,0.697,0.766,7,-6.738,1,0.0501,0.0354,8.54e-06,0.103,0.564,125.908
20,P.I.M.P. - HEDEGAARD Remix,5UCxWGNXG4kjBmpftwyctt,0.797,0.683,10,-8.056,0,0.136,0.0946,0.0,0.12,0.518,89.964
21,Piece Of Me (with LOVA),5mlNLzIdl6Ae2a4YRphSI4,0.676,0.865,9,-2.899,1,0.0412,0.0347,0.000476,0.117,0.394,121.99
22,Off Of My Mind,1HHnQYqcnlnE9q7LGFFGFj,0.798,0.752,1,-5.947,1,0.227,0.128,0.0362,0.0795,0.565,125.996
23,"Calabria (feat. Fallen Roses, Lujavo & Lunis) - Steve Void Edit",7vUROW0qSrg2HACYL3rglZ,0.579,0.746,10,-8.05,0,0.0552,0.0126,0.0647,0.224,0.108,123.693
24,The Motto - Tiësto’s VIP Mix,6NNpXXkpPDZKxdavZbVhwJ,0.682,0.922,7,-2.936,0,0.0421,0.00956,0.00215,0.0626,0.266,125.004
25,Morenita,0pIiCv0GdhtsOjCJ5Y7zHj,0.639,0.769,1,-5.077,1,0.0383,0.000701,0.742,0.0553,0.177,123.983
26,Can't Come To The Phone,0I5pVidtNjNXeaqHnwhrva,0.742,0.787,9,-4.712,0,0.0479,0.0273,3.25e-05,0.107,0.688,124.016
27,Looking Up,4GvHfRUyNfNz86FbnDThDl,0.741,0.739,0,-6.5,1,0.0428,0.0499,0.0,0.391,0.696,125.956
28,Shower,0G7uY9QSPlMDZvYTiPnPte,0.669,0.77,11,-5.086,0,0.119,0.0988,0.0,0.178,0.331,124.122
29,Way Back Home,6GWRcf3yBx3Y7pSScXoxGk,0.661,0.726,5,-4.705,0,0.13,0.207,0.0,0.0802,0.479,126.999
30,Insomnia - Rework,6uRUfq1y0VayUjh2M935g7,0.57,0.993,4,-2.12,0,0.0408,0.0122,0.392,0.236,0.175,125.989
31,1 Day 2 Nights - R3HAB Remix,6PA6vWgPUdzPe3z8SPmfCs,0.679,0.904,9,-5.387,0,0.141,0.00221,2.53e-05,0.208,0.718,122.08
32,Sandstorm,1o6Wucld04vGF4UBeyHGwF,0.764,0.996,4,-3.378,0,0.11,0.034,0.832,0.312,0.315,128.052
33,Heaven (feat. Sofia Quinn) - Club Mix,6uTCim4OGFZOauCqHWIpu9,0.703,0.963,11,-6.6,0,0.0515,0.00477,0.0169,0.304,0.0301,125.961
34,Something Stupid (feat. AWA) - Rompasso Remix,48OVeiPyCz0KAN0NFxBg7S,0.678,0.939,0,-3.234,0,0.0353,0.0277,0.00559,0.164,0.208,125.011
35,In My Head (On My Mind),6VXRlDvbQbZg8k4TplGW3J,0.733,0.688,6,-6.191,1,0.0898,0.0997,2.53e-06,0.164,0.486,122.095
36,Melody - Tiësto Remix,5aUNPDoeliSUUPw59lQ2vs,0.624,0.676,10,-6.092,0,0.0664,0.00261,5.87e-05,0.0888,0.383,122.974
37,Are You OK? (feat. ILIRA),6Ppext7tYrK3trnspkoSry,0.838,0.654,11,-6.255,0,0.0655,0.0564,0.00294,0.106,0.561,122.963
38,Remedy,5JVA0t7r2Y7m9NaHmgaeiC,0.55,0.75,0,-3.289,1,0.146,0.0561,0.0,0.129,0.381,172.124
39,If I Ruled The World,4OcwgcBMJmL8hHJ7wUGk09,0.656,0.662,4,-5.034,1,0.0971,0.0203,0.0,0.115,0.289,124.772
40,Don't Be Shy,0bI7K9Becu2dtXK1Q3cZNB,0.77,0.787,11,-3.748,0,0.0583,0.198,0.0,0.262,0.513,119.986
41,Body On My Mind,6h1PXppJpiPHDhqdGycFdL,0.438,0.904,6,-5.05,0,0.0458,0.053,0.0013,0.135,0.515,123.123
42,Down For The Ride,0L8NzGlH4nmnbOUSg4gO72,0.705,0.73,4,-4.778,0,0.0894,0.171,2.42e-05,0.294,0.616,125.975
