setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Feast Of Fire,4iJg7QdhqLHwfYOmYHqU9z,0.346,0.949,6,-3.973,1,0.0837,1.42e-05,0.422,0.0524,0.323,178.027
2,Circle The Drain,37LTDJrNmWco1qHO1AuZ1r,0.448,0.969,5,-3.309,0,0.11,0.000129,0.000135,0.0771,0.387,92.512
3,Warrior,0KBRMpZVUTxrU8blRUBfm3,0.477,0.824,1,-3.888,0,0.0826,0.0607,2.97e-06,0.333,0.278,154.673
4,I Am Damnation,17ExHVQYfJBlTSnbidz0LQ,0.476,0.966,6,-4.228,1,0.0727,0.000662,0.000212,0.0538,0.227,92.506
5,Alone Again,3R6WrsYpIuxJw7ZGHT5w85,0.496,0.969,10,-3.085,1,0.0688,7.49e-05,5.93e-06,0.242,0.199,109.977
6,PvP,46HFTyFqLMzSye98Arqa98,0.436,0.963,7,-6.861,1,0.0826,5.13e-05,0.0,0.138,0.515,169.921
7,Dead Inside,47xrDjgTsXiSczuZENqUoH,0.412,0.944,2,-4.607,1,0.0858,9.63e-05,0.172,0.0261,0.266,174.018
8,Unbreakable,0UKIP5PzRX6WY0rURFxxqQ,0.502,0.946,2,-5.976,1,0.0596,6.64e-06,0.0,0.171,0.29,109.017
9,If Tomorrow Never Comes,0OzYhueF403FBct7orzGEg,0.359,0.928,11,-4.915,0,0.147,2.42e-05,0.000687,0.114,0.265,163.976
10,"Deceiver, Deceiver",3jpGc7gcoTyQsrlfQ332Ql,0.185,0.983,1,-7.301,1,0.235,1.66e-05,0.191,0.197,0.102,178.864
11,Breathe Again,1NkHDIbGjHqFjZJrdHjQGZ,0.569,0.891,3,-4.527,0,0.0671,2.42e-05,3.32e-05,0.32,0.646,116.985
12,Warrior (feat. Travis Barker),11zEEKMORg4bIyGZ9HpkKz,0.528,0.908,1,-4.243,0,0.0913,0.0485,0.000581,0.239,0.296,154.958
13,Popular Monster,4GssB27iJeqmfGxS94Tfij,0.461,0.897,3,-3.982,0,0.092,0.00821,0.0,0.0965,0.358,165.107
14,Shatter - Edit,3JTORH8A2qihTOf5eu39NI,0.413,0.923,9,-4.487,1,0.053,9.24e-06,0.00102,0.0883,0.504,150.059
15,Scars That I'm Hiding (feat. Anders Fridén of In Flames),0UOtF2ojhKGYEjvZ28ZA6d,0.492,0.93,2,-3.826,0,0.0396,1.17e-05,0.0,0.307,0.431,126.039
16,Teardrops,3aniWcwiiYKHpm3F5TdeKD,0.497,0.916,7,-3.323,1,0.108,0.000323,0.0,0.36,0.401,96.051
17,Gonna Be OK,76CcaywQzcbgbDj7ovwXUO,0.425,0.907,5,-3.878,0,0.189,0.0035,0.0,0.275,0.606,169.993
18,Hurricane,2GFwwTIVLjnOrtP7m9luHC,0.389,0.885,6,-5.063,0,0.0551,0.000372,0.000311,0.202,0.187,164.989
19,Meteor,0d2mj7p92bZEckjowsc1a4,0.429,0.957,1,-3.069,0,0.107,0.000212,1.87e-06,0.0682,0.249,136.142
20,Heaven,1GxZnEcrRsvk6m7ur6MR4u,0.466,0.787,5,-6.813,0,0.0466,0.00134,0.315,0.518,0.469,82.501
21,FU2 (feat. AJ Channer of Fire From The Gods),5yLQ9epAVnt9Tx19izzDI5,0.599,0.874,2,-6.363,1,0.049,8.86e-05,0.000326,0.08,0.339,129.993
22,Obsolete,4d8iN5Re3A6UOYVxZAbJ7v,0.407,0.95,7,-6.998,1,0.193,0.000103,0.191,0.516,0.246,191.741
23,Locked (In My Head),4UUZ6q9fMXFH4WG6SJ2mQP,0.355,0.973,0,-3.487,1,0.116,1.26e-05,0.00561,0.421,0.483,174.987
24,Omen,2zCwpuQuSzm2Mk7h7JYNtS,0.414,0.951,7,-6.261,1,0.0674,4.23e-06,0.000596,0.34,0.214,127.552
25,Kickstart My Heart,6imjJij6aCM0IbbODUzJQn,0.465,0.977,7,-3.839,0,0.175,0.00111,0.00298,0.201,0.233,89.535
26,Idol (feat. Tech N9ne),3bLU7rl0xkgzcLPYHO3HuK,0.484,0.793,2,-6.797,1,0.211,0.00069,0.000281,0.153,0.106,184.618
27,Survivor,7KIcB8DLf6lygeroA4nYMR,0.374,0.868,11,-5.699,0,0.0441,0.000198,0.0,0.0695,0.371,153.037
28,Another Life,0YZEYxd1oiqZRFhnnmTKKi,0.39,0.939,4,-3.828,0,0.0787,5.08e-05,0.0,0.0968,0.495,161.997
29,Crossfire,1e0AQPT1PJSM15eeVBOIET,0.43,0.909,11,-5.324,1,0.118,6.14e-05,1.69e-06,0.415,0.341,180.106
